Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-02,Addison_Barger,680718,hitter,TOR,BOS,2026,831640,0,141,111,1,670912.0,,1.0,4.0,1.0,1.0,4.0,3.0,3.0,0.0,1.0,4.0,0.073170731707317,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,4.1,8.2,8.307692307692308,1.08,-7.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,3.5,0.5,0.5,3.5,0.5,3.5,0.5,0.5,3.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.6842686679174483,1.0315524390243906,0.849329737335835,0.6505999999999998,0.2784333958724208,1.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Addison_Barger,680718,hitter,TOR,CAN,2026,831437,1,141,784,1,663531.0,,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0789473684210526,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,4.1,8.2,4.0,1.08,-7.0,79.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,3.5,0.5,0.5,3.5,0.5,3.5,0.5,0.5,3.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.5297859649122807,-0.37363947368421035,0.38272368421052627,0.3256,-0.07115789473684186,1.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,0.1437500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4291666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8874999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Addison_Barger,680718,hitter,TOR,ATL,2026,831583,2,141,144,0,519242.0,Chris_Sale,2.0,4.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,2.0,0.0681818181818181,0.8466666666666667,0.8466666666666667,0.6666666666666666,30.0,65.0,4.1,8.2,4.0,1.08,-6.0,85.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,1.5,0.5,1.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.06196060606060605,0.8921045454545458,0.2683257575757576,0.11726666666666663,0.10118181818181826,0.5,2.0,0.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,0.0359722222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3483333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8922222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7797222222222221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Addison_Barger,680718,hitter,TOR,PIT,2026,831525,3,141,134,1,696149.0,Bubba_Chandler,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0,0.073170731707317,0.4599999999999999,0.4599999999999999,0.0,0.0,55.2,4.1,8.2,2.1999999999999997,1.08,0.0,84.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,2.5,0.5,0.5,1.5,0.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.6126276422764227,-0.10311422764227629,-0.1447215447154473,-0.24106666666666665,0.22104878048780474,1.0,2.6666666666666665,0.3333333333333333,0.3333333333333333,2.0,2.0,4.0,0.0,0.0,2.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,0.5218981481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6780555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9614814814814816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8739814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Addison_Barger,680718,hitter,TOR,DET,2026,831627,4,141,116,1,676614.0,,2.0,5.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,5.0,0.0857142857142857,0.9966666666666668,0.9966666666666668,1.0,30.0,65.0,4.1,8.2,4.0,1.08,5.0,79.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,1.5,0.5,1.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.22973333333333334,1.3787500000000001,0.18291666666666684,0.025600000000000067,-0.17320000000000002,0.75,2.0,0.25,0.25,1.5,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.0,1.0,0.0,0.0666666666666666,0.737638888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8224999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7052083333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9688888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8845138888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,Addison_Barger,680718,hitter,TOR,ATL,2026,831513,5,141,144,1,702275.0,JR_Ritchie,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0,0.0789473684210526,0.4599999999999999,0.4599999999999999,0.0,0.0,55.2,4.1,8.2,1.35,1.08,-6.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,2.5,0.5,0.5,1.5,0.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.5731192982456139,0.0018605263157898122,-0.007276315789473686,-0.09439999999999998,0.20934210526315788,1.0,2.6,0.4,0.4,1.8,2.0,5.0,1.0,1.0,3.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.0,1.0,0.0,0.0833333333333333,0.8888611111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9951111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8976111111111109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-13,Addison_Barger,680718,hitter,TOR,MIN,2026,831623,6,141,142,1,690953.0,,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,0.09375,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,5.2708719851577,1.08,11.0,73.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.29805209711174785,-0.2522668203611109,0.12723404125007265,-0.3345655377083333,0.34924689245232965,0.8,1.8,0.4,0.2,1.0,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,0.7631944444444445,-0.3744166666666667,0.0,0.0,0.0,0.0,-0.0032861562789351,-0.0003286156278935,0.8416666666666666,-0.5112916666666667,0.0,0.0,0.0,0.0,-0.0049488772569444,-0.0007918203611111,0.6791666666666668,-0.8993749999999999,0.0,0.0,0.0,0.0,-0.0070244934895833,-0.0003512246744791,0.9944444444444444,-0.5790000000000001,0.0,0.0,0.0,0.0,-0.0066215083333333,-0.0001655377083333,0.8944444444444444,-0.8858333333333333,0.0,0.0,0.0,0.0,-0.0091117800925925,-0.0005467068055555
2026-03-18,Addison_Barger,680718,hitter,TOR,BAL,2026,831600,7,141,110,1,544150.0,Albert_Suárez,1.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0512820512820512,1.05,1.05,1.5,30.0,65.0,11.8125,7.875,7.207417582417583,1.08,14.0,61.0,0,5.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.549664652014652,2.10515,0.4352362637362639,0.11560000000000004,0.6226785714285714,1.0,2.0,0.4,0.2,1.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.0,1.0,0.0,0.1166666666666666,0.6423214285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7584523809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6255952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8691071428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8664285714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,Addison_Barger,680718,hitter,TOR,NYY,2026,831605,8,141,147,1,677960.0,Ryan_Weathers,1.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,4.0,0.0975609756097561,0.2225,0.2225,0.0,0.0,26.7,16.15909090909091,11.65909090909091,2.9512987012987013,1.08,12.0,68.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.15612795981171057,0.4045396883798027,0.0940953736836575,-0.09443831420091725,0.24099734691759966,0.8,2.0,0.6,0.4,0.8,1.0,4.0,1.0,1.0,1.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.1,0.843801655747459,0.0,0.1579967630504269,0.7215760869565216,0.4045561497326203,0.0,0.0,0.0,0.0,0.0121592306796654,0.0012159230679665,0.8127173913043477,0.2267410236822001,0.0,0.0,0.0,0.0,0.0076756438371813,0.001228103013949,0.6636548913043478,0.3462770562770563,0.0,0.0,0.0,0.0,0.0095721870085949,0.0004786093504297,0.98,-0.0375446906035142,0.0,0.0,0.0,0.0,-0.0015325680366901,-3.8314200917253307e-05,0.8815624999999998,0.4315151515151516,0.0,0.0,0.0,0.0,0.0158450755931883,0.0009507045355913
2026-03-21,Addison_Barger,680718,hitter,TOR,PIT,2026,831553,9,141,134,0,694973.0,Paul_Skenes,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,4.0,0.075,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,3.0,12.0,6.75974025974026,1.08,2.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.42918854928602246,-0.9160796436,0.11921642076479078,-0.1947411438663194,0.5414584629425687,1.0,2.2,0.6,0.4,1.0,1.0,1.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.3,0.05,0.9425,0.0,0.1617271874999999,0.7842438271604937,-0.8755000000000001,0.0,0.0,0.0,0.0,-0.0118439443692129,-0.0011843944369212,0.8516666666666666,-0.906,0.0,0.0,0.0,0.0,-0.0133102724999999,-0.0021296435999999,0.725462962962963,-0.832,0.0,0.0,0.0,0.0,-0.0104118444444444,-0.0005205922222222,0.8731327160493827,-0.906,0.0,0.0,0.0,0.0,-0.0136457546527777,-0.0003411438663194,0.8460493827160493,-0.832,0.0,0.0,0.0,0.0,-0.0121425007407407,-0.0007285500444444
