Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1
2026-03-01,Alex_Bregman,hitter,CHC,CWS,2026,831914,0,112,145,1,2.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,0.08108108108108109,1.3533333333333335,1.3533333333333335,2.0,30.0,65.0,4.1,8.2,4.0,1.0277777777777777,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.0,0.5,1.0,2.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.1301441441441442,0.8838888888888887,0.24835135135135133,2.0,1.0,1.0,2.0,1.0,1.0
2026-03-03,Alex_Bregman,hitter,USA,SF,2026,831720,1,940,137,0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,5.0,0.05357142857142857,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,4.1,8.2,3.2142857142857144,1.038888888888889,5.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.0,0.5,1.0,2.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.22934523809523788,0.6374444444444443,-0.019285714285714017,2.0,1.0,1.0,2.0,1.0,1.0
2026-03-20,Alex_Bregman,hitter,CHC,CIN,2026,831902,2,112,113,1,1.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,0.07142857142857142,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,9.0,12.0,6.159987071751778,1.0277777777777777,0.0,100.0,0,17.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,0.5,1.0,1.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.17193385046326215,0.30888888888888877,0.02799935358758887,1.5,1.0,1.0,1.0,1.0,1.0
2026-03-22,Alex_Bregman,hitter,CHC,MIL,2026,831789,3,112,158,1,2.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,0.06818181818181818,1.1233333333333333,1.1233333333333333,1.3333333333333333,30.0,65.0,0.0,3.0,3.935112989477316,1.0277777777777777,0.0,96.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,0.5,0.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.05229845897303198,0.3838888888888887,0.27427080098901724,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0
2026-03-23,Alex_Bregman,hitter,CHC,NYY,2026,831780,4,112,147,1,2.0,1.0,2.0,3.0,3.0,0.0,0.0,3.0,0.06818181818181818,1.1233333333333333,1.1233333333333333,1.3333333333333333,30.0,65.0,3.0,9.0,3.897252747252747,1.0277777777777777,0.0,93.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,0.5,1.0,1.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.00988261738261742,0.5422222222222222,-0.010955544455544364,1.5,0.75,0.75,2.0,1.0,1.0
2026-03-24,Alex_Bregman,hitter,CHC,NYY,2026,831779,5,112,147,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.02702702702702703,2.1,2.1,3.0,30.0,65.0,0.0,12.0,4.5133241758241756,1.0277777777777777,0.0,91.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.5,0.5,1.0,1.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.13707063657063667,0.9938888888888888,0.5944499925749926,1.6,0.8,1.0,2.0,1.0,2.0
2026-03-26,Alex_Bregman,hitter,CHC,WSH,2026,824704,6,112,120,1,1.0,0.0,0.0,5.0,4.0,1.0,1.0,2.0,0.125,0.316,0.316,0.0,0.0,37.92,0.0,15.0,3.0535714285714284,1.0522222222222224,-22.0,49.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.5,0.5,1.0,1.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.6617071428571426,0.17671111111111104,-0.0585214285714285,1.4,0.8,1.0,1.0,1.0,1.0
2026-03-28,Alex_Bregman,hitter,CHC,WSH,2026,824701,7,112,120,1,0.0,0.0,0.0,5.0,5.0,0.0,1.0,2.0,0.12195121951219512,0.0,0.0,0.0,0.0,10.0,0.0,3.0,2.9732142857142856,1.0522222222222224,9.0,41.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,0.5,1.0,1.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.1067364692218351,-0.06328888888888884,-0.45692465156794415,1.4,0.6,0.8,1.0,0.0,0.0
2026-03-29,Alex_Bregman,hitter,CHC,WSH,2026,824700,8,112,120,1,2.0,2.0,2.0,4.0,4.0,0.0,0.0,2.0,0.11764705882352941,1.05,1.05,1.5,30.0,65.0,0.0,12.0,4.6875,1.0522222222222224,4.0,59.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.186492156862745,0.386711111111111,-0.061272058823529374,1.2,0.6,0.8,0.0,0.0,0.0
2026-03-30,Alex_Bregman,hitter,CHC,LAA,2026,824702,9,112,108,1,1.0,0.0,0.0,5.0,4.0,1.0,0.0,2.0,0.1282051282051282,0.316,0.316,0.0,0.0,37.92,2.6,12.15,3.7071428571428577,1.0522222222222224,18.0,77.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.14631391941391958,0.27671111111111113,0.1379263736263736,1.2,0.8,1.0,2.0,2.0,2.0
