Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-08,Ali_Sánchez,hitter,NYY,NYM,2026,831575,0,147,121,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,9.0,0.07692307692307693,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.1,8.2,3.373684210526316,1.08,0.0,82.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.30424237516869085,-0.41584999999999994,-0.4811427125506073,-0.4744,-0.4648542510121457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Ali_Sánchez,hitter,NYY,PIT,2026,831517,1,147,134,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.027777777777777776,0.89,0.89,0.0,0.0,65.0,0.0,13.5,4.032467532467533,1.08,9.0,82.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.5,-0.17251666666666665,-0.08712662337662341,-0.4744,-0.2917099567099567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,Ali_Sánchez,hitter,NYY,TOR,2026,831620,2,147,141,1,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.05405405405405406,0.445,0.445,0.0,0.0,53.4,9.0,13.5,4.202881152460985,1.08,-8.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.09435862777543447,0.10592702702702705,-0.35024783426884265,-0.4744,-0.3857883748093832,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-13,Ali_Sánchez,hitter,NYY,ATL,2026,831563,3,147,144,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.027777777777777776,0.72,0.72,0.0,0.0,65.0,3.0,15.0,4.874274973147154,1.08,0.0,79.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.07712900107411391,0.3043166666666667,0.22479708199069093,-0.4744,-0.30061958467597566,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2026-03-15,Ali_Sánchez,hitter,NYY,DET,2026,831611,4,147,116,1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.05555555555555555,0.0,0.0,0.0,0.0,10.0,0.0,9.0,1.727750190985485,1.08,7.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.1248233256939138,-0.23268333333333335,-0.25686249045072573,-0.4744,-0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03-17,Ali_Sánchez,hitter,NYY,TB,2026,831609,5,147,139,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.023809523809523808,0.0,0.0,0.0,0.0,10.0,0.0,9.0,7.737849087003222,1.0611111111111111,-7.0,56.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.1061527031865378,-0.33841666666666664,-0.16035754564983895,-0.48044444444444445,-0.3781075456498389,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,Ali_Sánchez,hitter,NYY,BAL,2026,832062,6,147,110,1,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,8.0,0.05714285714285714,0.0,0.0,0.0,0.0,10.0,4.5,9.0,6.814285714285715,1.08,-11.0,68.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.029028571428571348,-0.29295,-0.19453571428571426,-0.4744,-0.38508571428571425,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-20,Ali_Sánchez,hitter,NYY,BAL,2026,831603,7,147,110,1,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.03225806451612903,1.27,1.27,1.0,30.0,65.0,27.0,27.0,7.3243788819875775,1.08,-6.0,76.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.5,1.327375806451613,0.5681141053897014,-0.14939999999999998,0.2881544279703466,0.2,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,1.0
2026-03-24,Ali_Sánchez,hitter,NYY,CHC,2026,831779,8,147,112,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,27.0,5.456373626373627,1.0277777777777777,0.0,91.0,0,4.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.5,-0.10041666666666671,-0.20443131868131864,-0.49111111111111116,-0.08818131868131857,0.2,0.4,0.4,0.0,0.4,1.0,2.0,1.0,0.0,1.0
2026-06-07,Ali_Sánchez,hitter,NYY,BOS,2026,823537,9,147,111,1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,9.0,0.05714285714285714,0.0,0.0,0.0,0.0,10.0,0.0,9.0,0.42857142857142855,1.08,14.0,81.0,0,75.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.3597904761904762,-0.29295,-0.5,-0.4744,-0.4323714285714285,0.2,0.4,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0
