Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-04,Andrew_Vaughn,hitter,MIL,CHC,2026,831929,0,158,112,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.08108108108108109,0.0,0.0,0.0,0.0,10.0,4.1,8.2,9.270897832817338,1.0722222222222222,-4.0,80.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.07530823083145055,-0.5,-0.23754294619697092,-0.4768888888888889,-0.23410375700778174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Andrew_Vaughn,hitter,MIL,LAA,2026,831795,1,158,108,0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,3.0,0.08108108108108109,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,4.1,8.2,5.95,1.038888888888889,0.0,75.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.2474774774774774,0.9804572072072073,-0.02858783783783775,-0.1625555555555555,-0.1901486486486486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Andrew_Vaughn,hitter,MIL,SEA,2026,831740,2,158,136,1,2.0,4.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0,4.0,0.10810810810810811,0.635,0.635,0.5,30.0,65.0,4.5,18.0,11.278432494279178,1.0722222222222222,0.0,86.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.06272288535675274,1.1967207207207209,0.6861378409301753,0.173111111111111,0.5885567598490942,0.5,2.0,0.5,0.5,0.5,1.0,4.0,1.0,1.0,1.0
2026-03-11,Andrew_Vaughn,hitter,MIL,CIN,2026,831793,3,158,113,0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,2.0,2.0,0.10526315789473684,0.395,0.395,0.0,0.0,47.400000000000006,13.5,13.5,7.063820396193669,1.08,4.0,77.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.5566896579530101,-0.0973192982456137,0.4664892654237186,-0.24106666666666665,0.41581382682722734,1.0,2.6666666666666665,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.0,4.0,1.0,0.0,1.0
2026-03-13,Andrew_Vaughn,hitter,MIL,ATH,2026,831935,4,158,133,1,2.0,3.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,4.0,0.075,0.7200000000000001,0.7200000000000001,0.3333333333333333,28.333333333333332,65.0,0.0,9.0,4.805108354683907,1.0722222222222222,0.0,89.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.559121000854023,-0.26618333333333277,0.5275054177341956,-0.1477222222222223,0.09145541773419541,1.0,2.25,0.75,0.25,0.5,1.0,1.0,1.0,0.0,0.0
2026-03-16,Andrew_Vaughn,hitter,MIL,LAD,2026,831785,5,158,119,0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,2.0,2.0,0.06779661016949153,0.18,0.18,0.0,0.0,21.599999999999998,0.0,18.0,5.200259458622158,1.0611111111111111,0.0,90.0,0,3.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.610328604705961,-0.549382768361582,0.025186701744667195,-0.34044444444444444,0.16874178649042992,1.2,2.4,0.6,0.2,0.6,2.0,3.0,0.0,0.0,1.0
2026-03-18,Andrew_Vaughn,hitter,MIL,LAA,2026,831818,6,158,108,1,2.0,2.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,2.0,0.09523809523809523,0.6174999999999999,0.6174999999999999,0.0,0.0,65.0,3.0,11.0,2.8013147566719,1.0722222222222222,5.0,98.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.5532807430664572,-0.7372083333333332,0.44844073783359506,-0.3368888888888889,0.052315737833595,1.2,2.4,0.8,0.2,0.6,0.0,0.0,1.0,0.0,0.0
2026-03-19,Andrew_Vaughn,hitter,MIL,TEX,2026,831722,7,158,140,1,2.0,2.0,1.0,0.0,1.0,4.0,4.0,0.0,1.0,4.0,0.10526315789473684,0.445,0.445,0.0,0.0,53.4,0.0,9.0,4.380612244897959,1.0722222222222222,0.0,104.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.06862799856784796,0.22811403508771932,0.1571621911922665,-0.4768888888888889,0.2513200859291086,1.4,2.0,0.6,0.0,0.6,2.0,2.0,0.0,0.0,1.0
2026-03-21,Andrew_Vaughn,hitter,MIL,SD,2026,831767,8,158,135,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,0.09375,0.0,0.0,0.0,0.0,10.0,6.0,12.0,4.833116883116882,1.0722222222222222,7.0,101.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.09419615800865833,-0.2327083333333333,0.05053084415584419,-0.4768888888888889,0.12690584415584416,1.4,1.6,0.6,0.0,0.6,2.0,2.0,1.0,0.0,1.0
2026-03-23,Andrew_Vaughn,hitter,MIL,CIN,2026,832078,9,158,113,1,2.0,5.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,6.0,0.05405405405405406,1.495,1.495,1.5,30.0,65.0,3.0,6.0,8.01189251924546,1.0733333333333333,0.0,64.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.3135315064373887,1.7932270270270272,0.7037027340703814,-0.026533333333333353,0.5276621935298407,1.2,1.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0
