Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Andruw_Monasterio,655316,hitter,BOS,BAL,2026,831638,0,111,110,1,605135.0,Chris_Bassitt,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0465116279069767,0.445,0.445,0.0,0.0,53.4,4.1,8.2,4.0,1.08,-8.0,78.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.47743875968992244,0.40769069767441857,-0.3698953488372093,-0.4744,-0.4048023255813954,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Andruw_Monasterio,655316,hitter,BOS,PUR,2026,831439,1,111,897,1,695684.0,Elmer_Rodríguez,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0476190476190476,0.635,0.635,0.5,30.0,65.0,4.1,8.2,4.0,1.08,-11.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.49306666666666676,1.0944,-0.184,-0.2744,-0.34650000000000003,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,0.9711111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4783333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5851388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0711111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Andruw_Monasterio,655316,hitter,BOS,NYY,2026,831634,2,111,147,1,661563.0,,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,0.0833333333333333,0.4233333333333333,0.4233333333333333,0.3333333333333333,28.33333333333333,65.0,4.1,8.2,0.0,1.08,-15.0,85.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.40423333333333333,0.2881499999999999,-0.03541666666666671,-0.32023333333333337,-0.5,1.0,1.5,0.5,0.0,0.0,1.0,2.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Andruw_Monasterio,655316,hitter,BOS,PIT,2026,831571,3,111,134,0,669387.0,Carmen_Mlodzinski,2.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0714285714285714,0.8333333333333334,0.8333333333333334,0.0,0.0,65.0,3.8571428571428568,7.714285714285715,1.3199999999999998,1.08,0.0,81.0,0,4.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.44515238095238097,0.16298333333333348,0.014416666666666633,-0.4744,-0.393,1.0,1.6666666666666667,0.3333333333333333,0.0,0.0,1.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,0.8580357142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.655357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Andruw_Monasterio,655316,hitter,BOS,PHI,2026,831515,4,111,143,1,669060.0,Bryse_Wilson,1.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,6.0,0.1025641025641025,0.395,0.395,0.0,0.0,47.400000000000006,4.1,8.2,5.571428571428571,1.08,0.0,85.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.034640293040292924,0.05139999999999989,-0.058197802197802184,-0.4744,0.05468681318681323,1.25,1.75,0.25,0.0,0.25,2.0,2.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.0,1.0,0.0,0.0666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8715277777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7505208333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7145833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,Andruw_Monasterio,655316,hitter,BOS,DET,2026,831625,5,111,116,1,680744.0,Ty_Madden,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0526315789473684,0.0,0.0,0.0,0.0,10.0,13.5,4.5,4.0,1.08,-6.0,87.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.14962454769736833,-0.4132927440302143,-0.13064191885964915,-0.4744016770833333,-0.39486409857456145,1.2,1.6,0.4,0.0,0.2,1.0,1.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.05,0.9425,0.0,0.0950605208333333,1.0,0.98125,0.0,0.0,0.0,0.0,0.0094036458333333,0.0009403645833333,0.7847222222222222,0.485,0.0,0.0,0.0,0.0,0.0036473234953703,0.0005835717592592,0.7625,0.8,0.0,0.0,0.0,0.0,0.0058458333333333,0.0002922916666666,0.4666666666666666,-0.015,0.0,0.0,0.0,0.0,-6.708333333333363e-05,-1.6770833333333407e-06,0.5991666666666666,0.7,0.0,0.0,0.0,0.0,0.0040194097222222,0.0002411645833333
2026-03-12,Andruw_Monasterio,655316,hitter,BOS,MIN,2026,831622,6,111,142,0,641927.0,Bailey_Ober,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,6.0,0.1,0.2225,0.2225,0.0,0.0,26.7,0.0,4.5,3.8682745825602973,1.08,0.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.6092735354459304,-0.5267546729555554,-0.1458947969136517,-0.4744368722144097,0.01644102060023722,1.0,1.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,0.9440740740740742,-0.48275,0.0,0.0,0.0,0.0,-0.0052411452314814,-0.0005241145231481,0.6849074074074074,-0.5790000000000001,0.0,0.0,0.0,0.0,-0.0045604559722222,-0.0007296729555555,0.8020833333333333,-0.94,0.0,0.0,0.0,0.0,-0.0086705208333333,-0.0004335260416666,0.2215046296296295,-0.5790000000000001,0.0,0.0,0.0,0.0,-0.0014748885763888,-3.687221440972222e-05,0.4975462962962963,-0.94,0.0,0.0,0.0,0.0,-0.0053784754629629,-0.0003227085277777
2026-03-13,Andruw_Monasterio,655316,hitter,BOS,TB,2026,831616,7,111,139,1,656876.0,Drew_Rasmussen,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,5.0,0.1025641025641025,0.1725,0.1725,0.0,0.0,20.7,0.0,3.0,4.747252747252747,1.08,-8.0,77.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.8446204255898964,-0.530311442074074,-0.2441910572954823,-0.4744087250925926,-0.11156363505901506,1.0,1.2,0.2,0.0,0.4,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.05,0.9425,0.0,0.1283938541666666,0.7368055555555555,-0.444,0.0,0.0,0.0,0.0,-0.0043891506944444,-0.0004389150694444,0.5021825396825396,-0.5439999999999999,0.0,0.0,0.0,0.0,-0.0036652629629629,-0.000586442074074,0.6732142857142857,-0.9066666666666664,0.0,0.0,0.0,0.0,-0.0081892777777777,-0.0004094638888888,0.0478174603174602,-0.5439999999999999,0.0,0.0,0.0,0.0,-0.0003490037037037,-8.72509259259258e-06,0.3996031746031745,-0.9066666666666664,0.0,0.0,0.0,0.0,-0.0048609506172839,-0.000291657037037
2026-03-14,Andruw_Monasterio,655316,hitter,BOS,ATL,2026,831566,8,111,144,0,693821.0,Bryce_Elder,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0,0.0857142857142857,0.4233333333333333,0.4233333333333333,0.3333333333333333,28.33333333333333,65.0,6.75,4.2,3.478846153846154,1.08,0.0,81.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.45385532206944323,0.5773400145488985,-0.17996812869086076,-0.3202603341827568,-0.11884405938644388,0.8,0.8,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.1,0.7550798429693766,0.0,0.1590836052569584,0.3063541666666667,0.8170526315789475,0.0,0.0,0.0,0.0,0.0163480924893031,0.0016348092489303,0.1776388888888889,0.3178421052631579,0.0,0.0,0.0,0.0,0.0036875909306156,0.0005900145488985,0.3953125000000001,0.3921428571428572,0.0,0.0,0.0,0.0,0.010124605669965,0.0005062302834982,-0.09078125,-0.182157894736842,0.0,0.0,0.0,0.0,-0.0010800339769377,-2.700084942344384e-05,0.3042708333333335,0.346904761904762,0.0,0.0,0.0,0.0,0.0068938820208079,0.0004136329212484
2026-03-17,Andruw_Monasterio,655316,hitter,BOS,ATL,2026,831504,9,111,144,1,625643.0,Reynaldo_López,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0294117647058823,0.0,0.0,0.0,0.0,10.0,1.125,7.875,4.250274725274726,1.08,0.0,53.0,0,3.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.08840573986552203,0.20255620425786203,-0.4266997140844702,-0.4746169839850829,-0.4114505388677334,0.6,0.8,0.2,0.0,0.2,1.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.1,0.692879413297673,0.0,0.1765122271871035,0.3131712962962962,-0.5165738916256158,0.0,0.0,0.0,0.0,-0.01490543263114,-0.001490543263114,0.2403858024691357,-0.6240461822660098,0.0,0.0,0.0,0.0,-0.0138215175060091,-0.0022114428009614,0.3959490740740741,-0.5604382183908045,0.0,0.0,0.0,0.0,-0.0204454775523646,-0.0010222738776182,0.1327314814814814,-0.7097142857142857,0.0,0.0,0.0,0.0,-0.0086793594033163,-0.0002169839850829,0.411550925925926,-0.6823850574712643,0.0,0.0,0.0,0.0,-0.0258751737597896,-0.0015525104255873
