Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1
2026-03-01,Andy_Yerzy,hitter,STL,PIT,2026,831477,0,138,134,1,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0625,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.05,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.3427916666666666,-0.484,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Andy_Yerzy,hitter,STL,NCA,2026,831429,1,138,881,1,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.05714285714285714,1.05,1.05,1.5,30.0,65.0,4.1,8.2,7.5,1.05,-15.0,80.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.19199999999999995,-0.033999999999999975,-0.03579999999999994,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Andy_Yerzy,hitter,STL,NYM,2026,831469,2,138,121,1,1.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.058823529411764705,0.445,0.445,0.0,0.0,53.4,0.0,27.0,4.048421052631579,1.05,-12.0,81.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.5,-0.03400000000000003,0.11209752321981425,0.5,0.5,0.5,1.0,1.0,1.0
2026-03-09,Andy_Yerzy,hitter,STL,HOU,2026,831516,3,138,117,0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,8.0,0.07317073170731707,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,0.0,13.5,3.648214285714286,1.08,-6.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.029556213704994283,-0.24106666666666665,-0.22887383855981414,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0
2026-03-11,Andy_Yerzy,hitter,STL,WSH,2026,831465,4,138,120,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.027777777777777776,1.27,1.27,1.0,30.0,65.0,7.7142857142857135,7.7142857142857135,3.2357142857142853,1.08,11.0,83.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.013052380952380815,0.025600000000000067,-0.04754761904761906,0.5,0.25,0.25,0.0,0.0,0.0
2026-03-13,Andy_Yerzy,hitter,STL,HOU,2026,831567,5,138,117,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.027777777777777776,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.823538961038961,1.05,-10.0,72.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.5384415584415585,-0.344,-0.4331563852813853,0.6,0.2,0.2,1.0,0.0,0.0
2026-03-15,Andy_Yerzy,hitter,STL,WSH,2026,831461,6,138,120,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,0.02702702702702703,0.0,0.0,0.0,0.0,10.0,0.0,4.5,2.6142857142857143,1.05,0.0,83.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.17530115830115844,-0.344,-0.4945019305019305,0.6,0.2,0.2,0.0,0.0,0.0
2026-03-17,Andy_Yerzy,hitter,STL,WSH,2026,831454,7,138,120,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.03125,0.0,0.0,0.0,0.0,10.0,0.0,4.5,2.6785714285714284,1.08,0.0,64.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.02618630952380946,-0.4744,-0.5,0.4,0.0,0.0,0.0,0.0,0.0
2026-03-19,Andy_Yerzy,hitter,STL,WSH,2026,831452,8,138,120,1,0.0,0.0,0.0,2.0,2.0,0.0,2.0,5.0,0.04878048780487805,0.0,0.0,0.0,0.0,10.0,4.1,8.2,2.0357142857142856,1.05,0.0,74.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.31486411149825777,-0.484,-0.5,0.2,0.0,0.0,0.0,0.0,0.0
2026-03-21,Andy_Yerzy,hitter,STL,MIA,2026,831449,9,138,146,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,0.02857142857142857,0.0,0.0,0.0,0.0,10.0,0.0,15.0,3.0896103896103897,1.05,-3.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.5,-0.484,-0.5,0.2,0.0,0.0,0.0,0.0,0.0
