Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Ben_Williamson,810938,hitter,TB,ATL,2026,831585,0,139,144,0,625643.0,Reynaldo_López,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0555555555555555,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.08,-10.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.3386,-0.5,-0.5,-0.4744,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Ben_Williamson,810938,hitter,TB,PHI,2026,831532,1,139,143,1,660604.0,Alan_Rangel,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0588235294117647,0.0,0.0,0.0,0.0,10.0,4.1,8.2,6.75,1.0611111111111111,-12.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.2048627450980392,-0.5,-0.4116323529411765,-0.48044444444444445,-0.38632352941176473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,-0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Ben_Williamson,810938,hitter,TB,NED,2026,831432,2,139,878,1,543833.0,,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0652173913043478,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,4.1,8.2,4.0,1.0611111111111111,-13.0,83.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.30079710144927535,-0.4376992753623189,-0.4045760869565218,-0.48044444444444445,-0.447304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,-0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8312499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Ben_Williamson,810938,hitter,TB,NYY,2026,831624,3,139,147,0,693645.0,Cam_Schlittler,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,0.09375,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,4.1,8.2,0.0,1.08,0.0,82.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.41445416666666657,-0.23397499999999993,-0.38879166666666665,-0.4744,-0.11808333333333326,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,-0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8124999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Ben_Williamson,810938,hitter,TB,ATL,2026,831520,4,139,144,1,693821.0,Bryce_Elder,2.0,5.0,1.0,1.0,4.0,4.0,4.0,0.0,0.0,3.0,0.0909090909090909,0.7475,0.7475,0.75,30.0,65.0,0.0,3.0,2.25,1.0611111111111111,0.0,82.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.5423030303030305,1.3132131369616162,-0.17510352774621213,-0.2180347075185185,-0.17951135527609413,0.5,0.5,0.0,0.0,0.25,2.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.05,0.9425,0.0,0.0783938541666666,-0.0094444444444444,0.356,0.0,0.0,0.0,0.0,0.0,0.0,-0.3320833333333333,-0.0439999999999999,0.0,0.0,0.0,0.0,-0.0001120227777777,-1.792364444444442e-05,-0.103125,-0.6066666666666665,0.0,0.0,0.0,0.0,-0.0004796458333333,-2.3982291666666664e-05,-0.8656944444444444,-0.5439999999999999,0.0,0.0,0.0,0.0,-0.0036105229629629,-9.026307407407406e-05,-0.7313194444444444,-0.5066666666666665,0.0,0.0,0.0,0.0,-0.0028407697530864,-0.0001704461851851
2026-03-11,Ben_Williamson,810938,hitter,TB,ATL,2026,831574,5,139,144,0,675911.0,,2.0,5.0,1.0,1.0,3.0,3.0,3.0,0.0,1.0,6.0,0.0833333333333333,0.9966666666666668,0.9966666666666668,1.0,30.0,65.0,4.1,8.2,3.9375,1.08,10.0,86.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.5704,1.7041500000000003,0.27479166666666677,0.09060000000000001,1.120875,0.8,1.4,0.2,0.2,1.0,2.0,5.0,1.0,1.0,4.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.0,1.0,0.0,0.0833333333333333,0.418798611111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2762083333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3578124999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0713055555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062986111111109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-13,Ben_Williamson,810938,hitter,TB,BOS,2026,831616,6,139,111,0,670912.0,,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,6.0,0.075,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,4.1,8.2,9.459183673469388,1.08,-8.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,2.5,0.5,0.5,1.5,1.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.008378553530891564,-0.0977124770277773,0.40948389068557134,-0.09457313369791659,0.493741383881803,1.2,2.4,0.4,0.4,1.6,2.0,5.0,1.0,1.0,3.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,0.7796105664488016,-0.7125,0.0,0.0,0.0,0.0,-0.0063879340788398,-0.0006387934078839,0.8386601307189541,-0.8181250000000001,0.0,0.0,0.0,0.0,-0.0078904814236111,-0.0012624770277777,0.7600490196078431,-0.896875,0.0,0.0,0.0,0.0,-0.007839193091299,-0.0003919596545649,0.608287037037037,-0.99,0.0,0.0,0.0,0.0,-0.0069253479166666,-0.0001731336979166,0.7020370370370369,-0.8625,0.0,0.0,0.0,0.0,-0.0069633298611111,-0.0004177997916666
2026-03-14,Ben_Williamson,810938,hitter,TB,MIN,2026,831613,7,139,142,0,680573.0,Simeon_Woods_Richardson,1.0,1.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,5.0,0.0681818181818181,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,8.625,10.125,5.571428571428572,1.08,4.0,78.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,2.5,0.5,0.5,1.5,1.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.2511284709807873,-0.5388448079001167,0.07716627706169277,-0.194366511049472,-0.18773053505762083,1.4,2.6,0.4,0.4,1.6,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.1,0.777419997837489,0.0,0.1421432716931574,0.8631746031746033,0.2164761904761904,0.0,0.0,0.0,0.0,0.0097044676813046,0.0009704467681304,0.8557142857142858,0.1477559523809523,0.0,0.0,0.0,0.0,0.0065665415333617,0.0010506466453378,0.7767857142857143,0.1334027777777778,0.0,0.0,0.0,0.0,0.0053818182901351,0.0002690909145067,0.5069246031746032,0.0508809523809523,0.0,0.0,0.0,0.0,0.0013395580211209,3.348895052802365e-05,0.6792460317460318,0.2438888888888889,0.0,0.0,0.0,0.0,0.0086036364855447,0.0005162181891326
2026-03-16,Ben_Williamson,810938,hitter,TB,ATL,2026,831557,8,139,144,0,519242.0,Chris_Sale,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.081081081081081,0.4233333333333333,0.4233333333333333,0.3333333333333333,28.33333333333333,65.0,3.0,6.0,3.478846153846154,1.08,25.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,2.5,0.5,0.5,1.5,1.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.04458896094488729,-0.04836914445945961,0.507559965207034,-0.04030849794560193,-0.4448275916486486,1.6,2.8,0.8,0.4,1.4,1.0,1.0,2.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.05,0.9425,0.0,0.1450605208333333,0.8902777777777778,0.3755,0.0,0.0,0.0,0.0,0.0051259226851851,0.0005125922685185,0.8109375,-0.0299999999999999,0.0,0.0,0.0,0.0,-0.0003730312499999,-5.968499999999994e-05,0.7734375,-0.2155897435897435,0.0,0.0,0.0,0.0,-0.0025567596153846,-0.0001278379807692,0.3699652777777778,-0.5299999999999999,0.0,0.0,0.0,0.0,-0.0030065844907407,-7.51646122685185e-05,0.6262152777777777,-0.2104615384615383,0.0,0.0,0.0,0.0,-0.0020208448717948,-0.0001212506923076
2026-03-17,Ben_Williamson,810938,hitter,TB,NYY,2026,831609,9,139,147,1,701542.0,Will_Warren,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,8.0,0.0857142857142857,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,1.0,5.704545454545454,6.073469387755103,1.0611111111111111,-7.0,56.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.5,2.5,0.5,0.5,1.5,1.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.10024231603739509,-0.37354682966806463,0.2214160927021691,-0.20070644194131748,-0.34989283805022997,1.4,2.8,0.8,0.4,1.4,1.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.15,0.7354216373809743,0.0,0.1889866274131246,0.8746379392212724,-0.4734955654101996,0.0,0.0,0.0,0.0,-0.0328715215365974,-0.0032871521536597,0.8289767331433997,-0.4018085735402808,0.0,0.0,0.0,0.0,-0.026438518758736,-0.0042301630013977,0.7726495726495726,-0.708989898989899,0.0,0.0,0.0,0.0,-0.0434808670450541,-0.0021740433522527,0.5422839506172842,-0.2434752402069475,0.0,0.0,0.0,0.0,-0.0104798998749208,-0.000261997496873,0.6964506172839507,-0.7134343434343433,0.0,0.0,0.0,0.0,-0.0394384572997527,-0.0023663074379851
