Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1
2026-03-03,Bo_Bichette,hitter,NYM,NCA,2026,831434,0,121,881,1,1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,0.07692307692307693,0.6533333333333333,0.6533333333333333,1.0,30.0,65.0,4.1,8.2,4.0,1.08,5.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.017476923076923168,-0.14939999999999998,0.033461538461538654,1.0,0.0,1.0,1.0,0.0,1.0
2026-03-05,Bo_Bichette,hitter,NYM,WSH,2026,831479,1,121,120,0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0,0.06976744186046512,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,4.1,8.2,0.675,1.08,0.0,84.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.0933751937984495,-0.4744,-0.15920348837209297,1.0,0.0,1.0,1.0,0.0,1.0
2026-03-07,Bo_Bichette,hitter,NYM,STL,2026,831469,2,121,138,0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,0.07894736842105263,0.0,0.0,0.0,0.0,10.0,4.1,8.2,1.528421052631579,1.05,-12.0,81.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,0.5,1.0,1.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.09414385964912264,-0.484,-0.28373684210526307,1.5,0.0,1.0,2.0,0.0,1.0
2026-03-08,Bo_Bichette,hitter,NYM,NYY,2026,831575,3,121,147,1,0.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.07142857142857142,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,18.0,18.0,2.390625,1.08,0.0,82.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.6616416666666667,-0.4744,-0.06713541666666667,1.0,0.0,0.6666666666666666,0.0,0.0,0.0
2026-03-10,Bo_Bichette,hitter,NYM,STL,2026,831473,4,121,138,1,1.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.075,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,0.0,27.0,2.432545649838883,1.08,0.0,86.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.0,-0.4744,-0.08517271750805583,0.75,0.0,0.5,0.0,0.0,0.0
2026-03-12,Bo_Bichette,hitter,NYM,STL,2026,831472,5,121,138,0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,0.08571428571428572,0.0,0.0,0.0,0.0,10.0,13.5,0.0,2.919937205651492,1.05,0.0,85.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.2841308215593932,-0.484,-0.2742031397174254,0.8,0.0,0.4,1.0,0.0,0.0
2026-03-13,Bo_Bichette,hitter,NYM,MIA,2026,831462,6,121,146,1,0.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,0.09090909090909091,0.0,0.0,0.0,0.0,10.0,0.0,18.0,3.076530612244898,1.08,-12.0,75.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.41023574520717376,-0.4744,-0.39626437847866414,0.6,0.0,0.2,0.0,0.0,0.0
2026-03-17,Bo_Bichette,hitter,NYM,MIA,2026,831463,7,121,146,0,2.0,1.0,5.0,4.0,3.0,1.0,0.0,3.0,0.0975609756097561,1.0150000000000001,1.0150000000000001,1.3333333333333333,30.0,65.0,0.0,18.0,3.068181818181818,1.05,0.0,64.0,0,4.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.5,-0.07566666666666666,-0.22035920177383594,0.2,0.0,0.0,0.0,0.0,0.0
2026-03-19,Bo_Bichette,hitter,NYM,HOU,2026,831500,8,121,117,0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.07142857142857142,0.8233333333333333,0.8233333333333333,0.0,0.0,65.0,6.0,3.0,2.954801920768307,1.08,0.0,72.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,1.0,0.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.5722587434973989,-0.2344,0.6657400960384154,0.6,0.2,1.0,2.0,1.0,5.0
2026-03-20,Bo_Bichette,hitter,NYM,STL,2026,831456,9,121,138,1,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.05405405405405406,0.0,0.0,0.0,0.0,10.0,0.0,9.0,1.2115384615384615,1.08,0.0,73.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.0463456687456687,-0.33440000000000003,-0.48885550935550937,1.0,0.2,1.0,2.0,0.0,0.0
