Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-03,Bo_Naylor,hitter,CAN,TOR,2026,831437,0,784,141,0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,8.0,0.07142857142857142,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.1,8.2,7.714285714285714,1.08,-7.0,79.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.152695238095238,-0.42184999999999995,0.5189642857142858,-0.4744,-0.2542857142857143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03-04,Bo_Naylor,hitter,CAN,PHI,2026,831427,1,784,143,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,0.027777777777777776,0.0,0.0,0.0,0.0,10.0,4.1,8.2,3.2142857142857144,1.08,0.0,83.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.37819523809523803,-0.5,0.1124642857142858,-0.4744,-0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03-17,Bo_Naylor,hitter,CLE,CIN,2026,831883,2,114,113,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,5.0,0.07317073170731707,0.0,0.0,0.0,0.0,10.0,4.1,8.2,3.896533613445378,1.08,0.0,90.0,0,13.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.251511013185762,-0.5,-0.22622819737651162,-0.4744,-0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,Bo_Naylor,hitter,CLE,KC,2026,831846,3,114,118,1,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,6.0,0.10256410256410256,0.0,0.0,0.0,0.0,10.0,1.8,5.400000000000001,7.6149653208476735,1.08,0.0,99.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.12243451026980434,-0.49134999999999995,-0.11993763139351377,-0.4744,-0.29163634934223165,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-21,Bo_Naylor,hitter,CLE,SF,2026,831873,4,114,137,0,2.0,3.0,1.0,0.0,1.0,5.0,3.0,2.0,0.0,5.0,0.11904761904761904,0.708,0.708,0.3333333333333333,28.333333333333332,65.0,4.1,8.2,5.077353522053983,1.038888888888889,3.0,96.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.12857252578450729,0.2255166666666667,0.1200176761026992,-0.33338888888888885,0.1432676761026992,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0
2026-03-22,Bo_Naylor,hitter,CLE,CIN,2026,831896,5,114,113,1,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,7.0,0.07142857142857142,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,0.0,7.435211846976553,1.08,0.0,95.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.8728084738790622,0.40015,0.16767725901549435,-0.4744,0.1837605923488277,0.4,0.6,0.4,0.0,0.4,2.0,3.0,1.0,0.0,1.0
2026-03-23,Bo_Naylor,hitter,CLE,AZ,2026,831885,6,114,109,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,0.075,0.0,0.0,0.0,0.0,10.0,3.0,9.0,4.787218045112782,1.08,0.0,91.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.2994720551378445,0.11454999999999993,-0.3713890977443609,-0.4744,0.1025609022556393,0.6,0.8,0.2,0.0,0.6,1.0,1.0,0.0,0.0,1.0
2026-03-26,Bo_Naylor,hitter,CLE,SEA,2026,823163,7,114,136,0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,5.0,0.12195121951219512,0.0,0.0,0.0,0.0,10.0,9.0,18.0,8.094155844155845,1.08,5.0,52.0,0,3.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.27123214021750597,0.025820731707317024,-0.14688367120684187,-0.4744,0.16312242635413376,0.6,0.8,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0
2026-03-27,Bo_Naylor,hitter,CLE,SEA,2026,823162,8,114,136,0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,5.0,0.11764705882352941,0.395,0.395,0.0,0.0,47.400000000000006,0.0,9.0,7.9772727272727275,1.08,-7.0,52.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.16776541889483076,0.19887058823529413,0.05909893048128345,-0.4744,0.2707165775401069,0.6,0.8,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0
2026-03-29,Bo_Naylor,hitter,CLE,SEA,2026,823160,9,114,136,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,5.0,0.10344827586206896,0.0,0.0,0.0,0.0,10.0,5.0,11.0,8.700487012987013,1.08,0.0,43.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.3098217793700553,0.2696155172413792,-0.1398808217644424,-0.4744,0.035679523063143814,0.8,1.0,0.2,0.0,0.4,1.0,1.0,0.0,0.0,0.0
2026-03-31,Bo_Naylor,hitter,CLE,LAD,2026,823969,10,114,119,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,6.0,0.1111111111111111,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.6999999999999997,1.08,0.0,66.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.3264,-0.23401666666666665,-0.5,-0.4744,-0.3913333333333333,0.4,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2026-04-01,Bo_Naylor,hitter,CLE,LAD,2026,823970,11,114,119,0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,6.0,0.11764705882352941,0.445,0.445,0.0,0.0,53.4,0.0,15.0,2.164285714285714,1.08,0.0,68.0,0,1.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.5,-0.15062941176470585,-0.3420504201680672,-0.4744,-0.4129327731092437,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-03,Bo_Naylor,hitter,CLE,CHC,2026,824458,12,114,112,1,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,5.0,0.11764705882352941,0.2225,0.2225,0.0,0.0,26.7,1.5473684210526315,9.394736842105262,3.4020800627943486,1.08,0.0,70.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.32902087021043247,0.2772455882352941,-0.3925357027426355,-0.4744,-0.417793055683812,0.6,0.6,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
2026-04-05,Bo_Naylor,hitter,CLE,CHC,2026,824459,13,114,112,1,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,5.0,0.12121212121212122,0.1725,0.1725,0.0,0.0,20.7,0.0,9.0,3.3102433281004706,1.08,0.0,44.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.22499155130583692,0.24263863636363636,-0.42013556086770376,-0.4744,-0.4331923790495219,0.8,0.8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-04-06,Bo_Naylor,hitter,CLE,KC,2026,824456,14,114,118,1,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,6.0,0.11764705882352941,0.1725,0.1725,0.0,0.0,20.7,6.0,6.0,8.716836734693878,1.08,0.0,47.0,0,1.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.3240146458583434,-0.02525441176470583,-0.16429786914765904,-0.4744,-0.1670552220888355,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-07,Bo_Naylor,hitter,CLE,KC,2026,824457,15,114,118,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,0.027777777777777776,0.69,0.69,0.0,0.0,65.0,0.0,6.0,6.053571428571429,1.08,0.0,33.0,0,1.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.02004285714285725,0.10948333333333327,-0.14607142857142857,-0.4744,-0.2506547619047619,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-10,Bo_Naylor,hitter,CLE,ATL,2026,824941,16,114,144,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,0.07692307692307693,0.0,0.0,0.0,0.0,10.0,3.0,3.0,0.6428571428571429,1.08,0.0,76.0,0,3.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.2265245421245421,-0.14734999999999993,-0.5,-0.4744,-0.5,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
