Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-02,Brady_Singer,663903,pitcher,CIN,CHC,2026,831930,0,113,112,1,1.0,1.0,5.0,22.5,2.0,13.0,46.0,2.0,7.0,0.0,5.2,5.2,61.0,6.521739130434782,0.34708333333333335,0.16129032258064516,1.08,0.0,86.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,4.5,22.5,2.5,4.5,22.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.9816774193548388,0.16947499999999938,-1.4873625000000033,1.0,5.0,22.5,1.0,5.0,22.5
2026-03-08,Brady_Singer,663903,pitcher,CIN,AZ,2026,831960,1,113,109,1,1.0,3.0,0.0,0.0,3.0,12.0,58.0,2.0,2.0,0.0,3.2,3.2,56.99999999999999,15.517241379310343,0.31542901234567905,0.20934865900383146,1.08,-10.0,85.0,0,6.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,4.5,22.5,2.5,4.5,22.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.5972107279693484,0.027030555555555225,-8.918908333333334,1.0,5.0,22.5,1.0,5.0,22.5
2026-03-13,Brady_Singer,663903,pitcher,CIN,SF,2026,831759,2,113,137,1,1.0,2.0,0.0,0.0,4.0,17.0,59.0,2.0,3.0,0.0,3.7,3.7,64.0,10.16949152542373,0.2652573853615521,0.21496957403651118,1.08,5.0,86.0,0,5.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,2.5,11.2,2.5,2.5,11.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.5522434077079108,-0.7987417658730156,-7.3721689732142845,2.0,2.5,11.25,3.0,0.0,0.0
2026-03-18,Brady_Singer,663903,pitcher,CIN,COL,2026,831866,3,113,115,1,1.0,3.0,0.0,0.0,3.6666666666666665,12.0,51.0,1.0,2.0,0.0,2.381818181818182,2.381818181818182,69.0,17.647058823529413,0.33317836393816785,0.2189083820662768,1.08,0.0,97.0,0,5.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,1.5,7.5,2.5,1.5,7.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.6607329434697857,-0.0930973622782445,-4.046693525592055,2.0,1.6666666666666667,7.5,2.0,0.0,0.0
2026-03-23,Brady_Singer,663903,pitcher,CIN,MIL,2026,832078,4,113,158,0,1.0,3.0,5.0,11.25,4.0,19.0,78.0,1.0,6.0,1.0,5.7,5.7,65.0,11.538461538461538,0.40607253086419753,0.20760389036251103,1.0733333333333333,0.0,64.0,0,5.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,1.5,5.6,2.5,1.5,5.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.428502210433245,-0.06987361111111112,-2.3822156249999997,2.25,1.25,5.625,3.0,0.0,0.0
2026-03-28,Brady_Singer,663903,pitcher,CIN,BOS,2026,824540,5,113,111,1,1.0,5.0,3.0,6.75,4.0,20.0,74.0,2.0,5.0,1.0,5.45,5.45,54.0,20.27027027027027,0.35193690476190476,0.16547619047619047,1.08,0.0,49.0,0,5.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,1.5,6.8,2.5,1.5,6.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.6601904761904762,1.0313160714285714,-1.1045388392857145,2.4,2.0,6.75,3.0,5.0,11.25
2026-04-03,Brady_Singer,663903,pitcher,CIN,TEX,2026,822919,6,113,140,0,1.0,5.0,2.0,3.6,5.0,22.0,87.0,1.0,6.0,0.0,1.8000000000000005,1.8000000000000005,67.0,17.24137931034483,0.3386557239057239,0.21490094745908697,1.08,0.0,74.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,3.5,1.5,3.6,3.5,1.5,3.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.40879242032730456,0.3635507575757575,-0.24560863636363672,3.2,1.6,3.6,5.0,3.0,6.75
2026-04-08,Brady_Singer,663903,pitcher,CIN,MIA,2026,823885,7,113,146,0,1.0,3.0,5.0,16.875,2.6666666666666665,17.0,73.0,0.0,10.0,1.0,5.825,5.825,66.0,12.32876712328767,0.2461115319865319,0.19497863247863245,1.0766666666666669,0.0,72.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,3.5,1.5,4.3,3.5,1.5,4.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.27883760683760705,0.07270189393939375,1.0078688920454546,3.6,2.0,4.32,5.0,2.0,3.6
2026-04-14,Brady_Singer,663903,pitcher,CIN,SF,2026,824531,8,113,137,1,1.0,1.0,1.0,1.5,6.0,25.0,75.0,0.0,6.0,1.0,5.033333333333333,5.033333333333333,67.0,4.0,0.31695622895622894,0.17504311406750428,1.08,-13.0,81.0,0,6.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,3.5,2.5,7.7,3.5,2.5,7.7,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.5756550874599662,0.5939030303030299,-3.0591454545454555,3.8,3.0,7.695,3.0,5.0,16.875
2026-04-19,Brady_Singer,663903,pitcher,CIN,MIN,2026,823718,9,113,142,0,1.0,2.0,3.0,4.5,6.0,26.0,104.0,4.0,5.0,0.0,4.533333333333333,4.533333333333333,63.0,5.769230769230769,0.26518055555555553,0.1926776400460611,1.08,12.0,42.0,0,5.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,3.5,3.5,8.0,3.5,3.5,8.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.0025788796315114,-1.1350875,-4.45263125,3.4,3.2,7.995,1.0,1.0,1.5
