Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-03,Brendan_Donovan,680977,hitter,SEA,LAA,2026,831817,0,136,108,1,691946.0,,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0681818181818181,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,4.1,8.2,3.0,1.0722222222222222,3.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.3357727272727274,-0.42912878787878805,0.3491590909090907,-0.4768888888888889,-0.49381818181818193,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Brendan_Donovan,680977,hitter,SEA,SD,2026,831765,1,136,135,1,621111.0,Walker_Buehler,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0697674418604651,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,4.1,8.2,4.0,1.0722222222222222,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.32144186046511625,-0.4273972868217055,0.40115697674418593,-0.4768888888888889,-0.44195348837209303,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,-0.8718055555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4708333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8718055555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6155555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Brendan_Donovan,680977,hitter,SEA,CWS,2026,831904,2,136,145,1,691799.0,Grant_Taylor,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.081081081081081,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,0.0,9.0,0.0,1.0722222222222222,-10.0,75.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.5,-0.2515427927927929,-0.04475450450450463,-0.4768888888888889,-0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,-0.2468055555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4908333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0541666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8718055555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6155555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Brendan_Donovan,680977,hitter,SEA,AZ,2026,831748,3,136,109,0,668678.0,Zac_Gallen,2.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0909090909090909,0.7200000000000001,0.7200000000000001,0.3333333333333333,28.33333333333333,65.0,0.0,0.0,4.316326530612245,1.0611111111111111,0.0,78.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.8695783039326126,0.9041474695393941,0.14633400763856685,-0.3263309044236111,-0.2542835516019635,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,2.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.05,0.9425,0.0,0.0617271875,0.1913657407407406,-0.404,0.0,0.0,0.0,0.0,-0.0004445426157407,-4.445426157407405e-05,-0.0904166666666667,-0.5039999999999999,0.0,0.0,0.0,0.0,-0.0002620275,-4.192440000000005e-05,0.4600694444444443,-0.8399999999999999,0.0,0.0,0.0,0.0,-0.0022221354166666,-0.0001111067708333,-0.733287037037037,-0.5039999999999999,0.0,0.0,0.0,0.0,-0.0021250658333333,-5.312664583333332e-05,0.0309490740740739,-0.8399999999999999,0.0,0.0,0.0,0.0,-0.0001494840277777,-8.969041666666628e-06
2026-03-10,Brendan_Donovan,680977,hitter,SEA,KC,2026,831836,4,136,118,1,666142.0,Cole_Ragans,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0857142857142857,0.0,0.0,0.0,0.0,10.0,32.400000000000006,10.800000000000002,4.607142857142857,1.0722222222222222,-5.0,75.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.5517760053158067,-0.31834544237037066,-0.29469464186507943,-0.4768888888888889,-0.46166558961199305,1.0,1.25,0.25,0.0,0.0,2.0,3.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.05,0.9425,0.0,0.0783938541666666,0.348472222222222,0.5874999999999999,0.0,0.0,0.0,0.0,0.0015695769675925,0.0001569576967592,0.1677777777777777,0.6699999999999999,0.0,0.0,0.0,0.0,0.0008618185185185,0.0001378909629629,0.6375,0.8111111111111111,0.0,0.0,0.0,0.0,0.0039643055555555,0.0001982152777777,-0.1541319444444444,0.6699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.4255555555555556,0.9055555555555556,0.0,0.0,0.0,0.0,0.0029544588477366,0.0001772675308641
2026-03-12,Brendan_Donovan,680977,hitter,SEA,CHC,2026,831754,5,136,112,0,665795.0,Edward_Cabrera,1.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.1025641025641025,0.4024999999999999,0.4024999999999999,0.0,0.0,48.3,0.0,6.75,2.0510204081632653,1.0277777777777777,0.0,87.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.2952026789004817,0.28467006736938116,-0.2122400424951525,-0.4911674054479167,-0.44913223197582086,0.8,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.05,0.9425,0.0,0.0950605208333333,0.2788472222222223,-0.4017840909090909,0.0,0.0,0.0,0.0,-0.0010736819527961,-0.0001073681952796,0.0463055555555556,-0.5389431818181819,0.0,0.0,0.0,0.0,-0.0002391622747001,-3.826596395202029e-05,0.5356250000000001,-0.5721022727272727,0.0,0.0,0.0,0.0,-0.0029366426816998,-0.0001468321340849,-0.3592777777777778,-0.654,0.0,0.0,0.0,0.0,-0.0022517734722222,-5.629433680555556e-05,0.1267638888888889,-0.6672727272727272,0.0,0.0,0.0,0.0,-0.0008106166561447,-4.863699936868689e-05
2026-03-13,Brendan_Donovan,680977,hitter,SEA,LAD,2026,831801,6,136,119,1,689017.0,,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0930232558139534,0.1725,0.1725,0.0,0.0,20.7,4.1,8.2,4.114285714285715,1.0722222222222222,0.0,87.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.5892797115439183,-0.5435026031277869,-0.37501468828068985,-0.4768888888888889,-0.42602074031345055,1.0,1.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.1,0.9253077650307344,0.0,0.1236649798783735,0.4887685794346976,0.863888888888889,0.0,0.0,0.0,0.0,0.0063076359264484,0.0006307635926448,0.1711775097465885,0.9149305555555556,0.0,0.0,0.0,0.0,0.0023395928544333,0.0003743348567093,0.6857319078947367,0.852662037037037,0.0,0.0,0.0,0.0,0.0087344735888622,0.0004367236794431,-0.4251157407407407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1510127314814815,0.8837962962962963,0.0,0.0,0.0,0.0,0.0019937522509095,0.0001196251350545
2026-03-15,Brendan_Donovan,680977,hitter,SEA,CIN,2026,831890,7,136,113,1,682227.0,,4.0,5.0,1.0,0.0,3.0,4.0,4.0,0.0,0.0,1.0,0.1081081081081081,0.985,0.985,0.25,21.25,65.0,4.1,8.2,4.747402597402598,1.0722222222222222,-4.0,86.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.49118297837057834,-0.0017989943903906624,0.38975569504467944,-0.36140925847222216,-0.1330102120780683,1.0,1.2,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.05,0.9425,0.0,0.1283938541666666,0.2783022774327119,-0.8000000000000002,0.0,0.0,0.0,0.0,-0.0029871111111111,-0.0002987111111111,-0.010933402346446,-0.8400000000000001,0.0,0.0,0.0,0.0,-0.0001232194444444,-1.971511111111156e-05,0.4928959627329189,-1.0,0.0,0.0,0.0,0.0,-0.0066130208333333,-0.0003306510416666,-0.5159523809523809,-0.8400000000000001,0.0,0.0,0.0,0.0,-0.0058147833333333,-0.0001453695833333,-0.0192261904761907,-1.0,0.0,0.0,0.0,0.0,-0.0002579513888888,-1.547708333333351e-05
2026-03-17,Brendan_Donovan,680977,hitter,SEA,SD,2026,831769,8,136,135,1,608566.0,Germán_Márquez,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,1.0,0.1052631578947368,0.0,0.0,0.0,0.0,10.0,15.300000000000002,7.800000000000001,0.9107142857142858,1.0722222222222222,0.0,92.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.21606850623620533,0.32424235889307274,-0.2178931227444818,-0.4770491859177671,0.264784666706823,1.4,1.8,0.4,0.0,0.6,4.0,5.0,1.0,0.0,3.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.15,0.7683706381476194,0.0,0.1717145228573708,0.6731944444444444,0.5378382352941177,0.0,0.0,0.0,0.0,0.0223642603570416,0.0022364260357041,0.3577893518518518,0.1069926470588234,0.0,0.0,0.0,0.0,0.0023645237834576,0.0003783238053532,0.8921296296296296,0.4317524509803923,0.0,0.0,0.0,0.0,0.023791680448712,0.0011895840224356,-0.2891536458333334,-0.359,0.0,0.0,0.0,0.0,-0.0064118811551299,-0.0001602970288782,0.3422916666666666,0.3622058823529412,0.0,0.0,0.0,0.0,0.0076579789483029,0.0004594787368981
2026-03-18,Brendan_Donovan,680977,hitter,SEA,MIL,2026,831784,9,136,158,1,692230.0,,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0857142857142857,1.17,1.17,3.0,30.0,65.0,4.1,8.2,3.900000000000001,1.0722222222222222,4.0,97.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.476,3.3570166666666665,0.4092499999999999,0.34811111111111104,0.5578000000000001,1.0,1.2,0.4,0.0,0.8,0.0,0.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.3,0.0,1.0,0.0,0.15,0.4776998705694943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1868513540422143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7207325268817206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3881211419753086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1758256172839507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
