Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-01,Brett_Wisely,hitter,ATL,TB,2026,831585,0,144,139,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.08,-10.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.4202666666666666,-0.5,-0.5,-0.4744,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,Brett_Wisely,hitter,ATL,DET,2026,831527,1,144,116,0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,7.0,0.07692307692307693,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,4.0,1.0611111111111111,-7.0,80.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.29758974358974355,-0.39491666666666664,-0.39316025641025637,-0.48044444444444445,-0.4135384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Brett_Wisely,hitter,ATL,TOR,2026,831583,2,144,141,1,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,9.0,0.06976744186046512,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.1,8.2,8.357142857142858,1.08,-6.0,85.0,0,3.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.3785771871539314,0.02633604651162791,0.219014119601329,-0.4744,-0.2240963455149501,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2026-03-09,Brett_Wisely,hitter,ATL,MIN,2026,831569,3,144,142,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.023809523809523808,0.89,0.89,0.0,0.0,65.0,0.0,9.0,4.898571428571429,1.08,0.0,84.0,0,4.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.12532380952380945,0.029816666666666602,0.457845238095238,-0.4744,-0.25307142857142856,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03-11,Brett_Wisely,hitter,ATL,TB,2026,831574,4,144,139,1,1.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,9.0,0.08333333333333333,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,4.1,8.2,4.616165413533835,1.08,10.0,86.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.25354661654135335,1.4526500000000002,0.16755827067669182,-0.14939999999999998,-0.25419172932330825,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-13,Brett_Wisely,hitter,ATL,NYY,2026,831563,5,144,147,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.02564102564102564,0.89,0.89,0.0,0.0,65.0,0.0,9.0,2.4857142857142853,1.08,0.0,79.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.07885421245421242,0.1291500000000001,0.37684340659340654,-0.2344,-0.07556043956043956,0.6,1.2,0.6,0.2,0.2,1.0,4.0,1.0,1.0,1.0
2026-03-15,Brett_Wisely,hitter,ATL,PHI,2026,831458,6,144,143,0,2.0,5.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.11764705882352941,0.7225,0.7225,0.75,30.0,65.0,0.0,15.0,5.469029190623618,1.08,7.0,82.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.18343567742886646,0.7582455882352939,0.40981175364882805,-0.07189999999999996,-0.028445599292348467,0.8,1.4,0.6,0.2,0.2,1.0,1.0,0.0,0.0,0.0
2026-03-17,Brett_Wisely,hitter,ATL,BOS,2026,831504,7,144,111,0,2.0,3.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,2.0,0.09523809523809523,0.54,0.54,0.25,21.25,65.0,9.0,3.0,9.573121151294528,1.08,0.0,53.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,1.0553248460517812,0.10765000000000002,0.3484060575647263,-0.218775,0.0956560575647265,1.0,2.2,0.4,0.2,0.2,2.0,5.0,0.0,0.0,0.0
2026-03-21,Brett_Wisely,hitter,ATL,BOS,2026,831502,8,144,111,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.02564102564102564,0.0,0.0,0.0,0.0,10.0,7.955357142857142,6.991071428571429,5.634453781512605,1.08,-6.0,77.0,0,4.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.020083112475759446,-0.41934999999999967,-0.41121961861667744,-0.33440000000000003,-0.049123464770523595,1.4,2.8,0.2,0.2,0.4,2.0,3.0,0.0,0.0,1.0
2026-03-22,Brett_Wisely,hitter,ATL,MIN,2026,831492,9,144,142,0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,0.1111111111111111,0.395,0.395,0.0,0.0,47.400000000000006,27.0,6.0,5.207142857142857,1.08,0.0,79.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.268647619047619,-0.6922666666666666,-0.04764285714285704,-0.33440000000000003,-0.011476190476190362,1.2,2.6,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0
