Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-02,Brian_Serven,661531,hitter,ATH,SD,2026,831934,0,133,135,0,650633.0,Michael_King,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.023809523809523808,0.69,0.69,0.0,0.0,65.0,4.1,8.2,9.0,1.0722222222222222,0.0,85.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.14699999999999996,-0.2705833333333334,0.026249999999999996,-0.4768888888888889,-0.10799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Brian_Serven,661531,hitter,ATH,LAA,2026,831941,1,133,108,0,666201.0,Alek_Manoah,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0196078431372549,0.0,0.0,0.0,0.0,10.0,4.1,8.2,3.525,1.038888888888889,0.0,77.0,0,3.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.42550980392156856,-0.5,-0.5,-0.4875555555555555,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.0,1.0,0.0,0.016666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5562499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Brian_Serven,661531,hitter,ATH,CHC,2026,831949,2,133,112,0,684007.0,Shota_Imanaga,1.0,4.0,1.0,1.0,2.0,4.0,3.0,0.0,0.0,4.0,0.1111111111111111,0.7050000000000001,0.7050000000000001,1.0,30.0,65.0,10.125,3.375,4.872291021671827,1.0277777777777777,-9.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.00563767626275663,1.0102637777777776,-0.051835136416408634,-0.16611111111111115,-0.20721878224974194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.05,0.9425,0.0,0.04506052083333333,0.5756944444444443,1.0,0.0,0.0,0.0,0.0,0.002206828703703703,0.00022068287037037033,0.1583333333333332,1.0,0.0,0.0,0.0,0.0,0.0006069444444444438,9.7111111111111e-05,0.4374999999999998,0.6,0.0,0.0,0.0,0.0,0.0010062499999999993,5.031249999999997e-05,-0.7618055555555555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19305555555555567,0.8,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Brian_Serven,661531,hitter,ATH,CIN,2026,831943,3,133,113,0,695076.0,Rhett_Lowder,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,3.0,0.06666666666666667,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.1,8.2,9.36612379555928,1.08,-6.0,78.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.2683782851557045,-0.04038333333333344,0.2188895231112974,-0.14106666666666667,0.5960395231112976,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,4.0,1.0,1.0,2.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,0.8962962962962964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6775462962962964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7462962962962962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,Brian_Serven,661531,hitter,ATH,AZ,2026,831950,4,133,109,0,669194.0,Ryne_Nelson,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,0.044444444444444446,0.0,0.0,0.0,0.0,10.0,6.75,10.125,5.598598769651402,1.0611111111111111,4.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.2215305518181106,0.055913371002525136,-0.0573681313268522,-0.3054947520030382,0.20917203282916108,0.25,1.0,0.5,0.25,0.75,0.0,0.0,1.0,0.0,1.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.05,0.9425,0.0,0.07839385416666667,0.8433333333333334,0.16832386363636345,0.0,0.0,0.0,0.0,0.0010883072916666654,0.00010883072916666654,0.8408333333333333,-0.19710227272727288,0.0,0.0,0.0,0.0,-0.0012705979008838391,-0.00020329566414141427,0.78125,-0.1605113636363637,0.0,0.0,0.0,0.0,-0.00096139618844697,-4.8069809422348506e-05,0.4402083333333333,-0.5962500000000001,0.0,0.0,0.0,0.0,-0.00201230234375,-5.030755859375e-05,0.6620833333333334,-0.08068181818181824,0.0,0.0,0.0,0.0,-0.00040953866792929324,-2.4572320075757593e-05
2026-03-12,Brian_Serven,661531,hitter,ATH,TEX,2026,831936,5,133,140,0,683004.0,Jack_Leiter,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.04878048780487805,0.0,0.0,0.0,0.0,10.0,4.909090909090909,9.818181818181818,5.390190166975882,1.0611111111111111,0.0,86.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.20003137697953854,-0.06274966912313379,-0.20620929235796864,-0.34042725052751477,-0.058076162089133965,0.2,0.8,0.4,0.2,0.6,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.05,0.9425,0.0,0.09506052083333333,0.4661944444444444,0.5135909090909091,0.0,0.0,0.0,0.0,0.002294568440130471,0.00022945684401304712,0.421,0.6176363636363637,0.0,0.0,0.0,0.0,0.0024919053787878787,0.0003987048606060606,0.35625000000000007,0.39709090909090905,0.0,0.0,0.0,0.0,0.0013556931818181819,6.77846590909091e-05,0.11619444444444445,0.6176363636363637,0.0,0.0,0.0,0.0,0.0006877566771885522,1.7193916929713804e-05,0.14119444444444446,0.5970909090909091,0.0,0.0,0.0,0.0,0.0008079317255892255,4.847590353535353e-05
2026-03-13,Brian_Serven,661531,hitter,ATH,MIL,2026,831935,6,133,158,0,690986.0,Kyle_Harrison,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0425531914893617,0.345,0.345,0.0,0.0,41.4,1.5,15.0,1.9144736842105263,1.0722222222222222,0.0,89.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.5,0.09058069921749401,-0.21815779352329462,-0.3368888888888889,0.16025623297701563,0.2,0.8,0.4,0.2,0.8,0.0,0.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,0.18195601851851845,-0.732,0.0,0.0,0.0,0.0,-0.001531705763888888,-0.00015317057638888882,0.11298611111111101,-0.26,0.0,0.0,0.0,0.0,-0.00033782847222222197,-5.4052555555555515e-05,0.09322916666666656,0.028000000000000122,0.0,0.0,0.0,0.0,3.001979166666676e-05,1.500989583333338e-06,-0.09981481481481483,0.24000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,-0.2013773148148149,-0.0719999999999999,0.0,0.0,0.0,0.0,-0.00016674041666666652,-1.000442499999999e-05
2026-03-14,Brian_Serven,661531,hitter,ATH,KC,2026,831850,7,133,118,1,686701.0,Ryan_Bergert,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.045454545454545456,0.0,0.0,0.0,0.0,10.0,3.0,9.0,4.674776937802148,1.0611111111111111,0.0,87.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.18868934280514887,-0.06689828683982685,0.021718417239471655,-0.34044444444444444,0.03811522857304794,0.2,0.8,0.6,0.2,0.8,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.1,0.8325,0.0,0.14146854166666667,0.24439484126984126,-0.522,0.0,0.0,0.0,0.0,-0.004986021354166666,-0.0004986021354166666,0.11517857142857138,-0.1638095238095238,0.0,0.0,0.0,0.0,-0.0007373988095238092,-0.00011798380952380948,0.16473214285714274,-0.13406349206349194,0.0,0.0,0.0,0.0,-0.0008631384672619034,-4.315692336309517e-05,-0.204265873015873,0.2623809523809524,0.0,0.0,0.0,0.0,0.0,0.0,-0.19131944444444454,-0.17422222222222214,0.0,0.0,0.0,0.0,-0.0013027295267489711,-7.816377160493826e-05
2026-03-16,Brian_Serven,661531,hitter,ATH,LAA,2026,831834,8,133,108,1,691946.0,George_Klassen,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.03225806451612903,0.0,0.0,0.0,0.0,10.0,3.0,9.0,3.6370290423861857,1.0611111111111111,-3.0,88.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.38042438053248284,-0.5,-0.3247533865903681,-0.48044444444444445,-0.3012130640097229,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.05,0.9425,0.0,0.14506052083333332,0.05894097222222222,0.09334615384615386,0.0,0.0,0.0,0.0,8.436266693376069e-05,8.43626669337607e-06,-0.07760416666666667,0.34202884615384616,0.0,0.0,0.0,0.0,0.0,0.0,-0.008593750000000011,0.5785608974358974,0.0,0.0,0.0,0.0,0.0,0.0,-0.32621527777777776,0.574,0.0,0.0,0.0,0.0,0.0,0.0,-0.4066840277777778,0.6372948717948719,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-17,Brian_Serven,661531,hitter,ATH,CWS,2026,831942,9,133,145,0,641743.0,Anthony_Kay,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.029411764705882353,0.0,0.0,0.0,0.0,10.0,1.875,7.25,6.267091836734694,1.0611111111111111,0.0,91.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.1779736269498925,-0.5,-0.3248387378133806,-0.48044444444444445,-0.3091016033185303,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.15,0.6711133896732306,0.0,0.1901682914647544,-0.037731481481481685,-0.1591839080459771,0.0,0.0,0.0,0.0,-0.0005926120359400697,-5.926120359400697e-05,-0.18240740740740757,0.12279454022988506,0.0,0.0,0.0,0.0,0.0,0.0,-0.07500000000000018,-0.005819444444444349,0.0,0.0,0.0,0.0,-4.3063590539660755e-05,-2.1531795269830377e-06,-0.42106481481481484,0.4009195402298851,0.0,0.0,0.0,0.0,0.0,0.0,-0.5078703703703703,-0.014777777777777702,0.0,0.0,0.0,0.0,-0.0007405074897111995,-4.443044938267197e-05
