Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-01,Bryson_Stott,hitter,PHI,NYY,2026,831578,0,143,147,1,1.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,0.06060606060606061,1.05,1.05,1.5,30.0,65.0,4.1,8.2,4.0,1.08,-6.0,75.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,3.5,0.5,0.5,0.5,0.5,3.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.4841575757575758,1.7753318181818178,0.8006136363636367,0.7755999999999998,0.6332727272727274,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
2026-03-04,Bryson_Stott,hitter,PHI,CAN,2026,831427,1,143,784,1,1.0,1.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,5.0,0.08571428571428572,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,4.1,8.2,5.142857142857143,1.08,0.0,83.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,3.5,0.5,0.5,0.5,0.5,3.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.6041142857142858,-0.2327499999999998,0.6015595238095239,0.3256,0.5629428571428572,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
2026-03-05,Bryson_Stott,hitter,PHI,BOS,2026,831581,2,143,111,1,2.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,6.0,0.08108108108108109,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,9.0,9.0,5.770263157894737,1.08,0.0,83.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,2.5,1.5,0.5,0.5,0.5,2.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.5823997155049787,-0.5578094594594594,0.11375865339023261,-0.12440000000000001,0.10886450924608826,1.0,2.5,1.5,0.5,0.5,1.0,1.0,2.0,0.0,0.0
2026-03-07,Bryson_Stott,hitter,PHI,TOR,2026,831576,3,143,141,1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,6.0,0.06896551724137931,0.0,0.0,0.0,0.0,10.0,4.1,8.2,7.355042016806723,1.08,0.0,84.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.03931432435042992,-0.801372988505747,0.25139865256447413,-0.24106666666666665,0.26918888244953165,1.3333333333333333,2.3333333333333335,1.0,0.3333333333333333,0.6666666666666666,2.0,2.0,0.0,0.0,1.0
2026-03-10,Bryson_Stott,hitter,PHI,NYY,2026,831573,4,143,147,1,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,0.07894736842105263,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,21.6,3.24375,1.08,6.0,84.0,0,3.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.28713070175438615,-0.2986394736842106,0.07157785087719293,-0.2994,-0.10897039473684211,1.0,1.75,0.75,0.25,0.5,0.0,0.0,0.0,0.0,0.0
2026-03-13,Bryson_Stott,hitter,PHI,BAL,2026,831565,5,143,110,1,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,2.0,0.09523809523809523,0.0,0.0,0.0,0.0,10.0,0.0,6.75,5.902806122448979,1.08,21.0,78.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.697678911564626,-0.36734999999999984,0.2638903061224489,-0.33440000000000003,-0.11385969387755102,1.0,1.6,0.8,0.2,0.4,1.0,1.0,1.0,0.0,0.0
2026-03-15,Bryson_Stott,hitter,PHI,ATL,2026,831458,6,143,144,1,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,0.08823529411764706,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,16.875,6.75,5.302846401718583,1.08,7.0,82.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.4060530717550179,0.2560029411764706,0.25340212400749784,-0.4744,-0.11009297403171786,0.8,0.8,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2026-03-17,Bryson_Stott,hitter,PHI,MIN,2026,831554,7,143,142,1,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,0.12121212121212122,0.0,0.0,0.0,0.0,10.0,1.5,10.5,6.242642320085929,1.08,-13.0,55.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.5946208443185887,0.4290136363636363,-0.2403906112684308,-0.4744,-0.20232242945024898,1.0,1.0,0.2,0.0,0.2,2.0,2.0,0.0,0.0,0.0
2026-03-19,Bryson_Stott,hitter,PHI,TB,2026,831551,8,143,139,1,2.0,5.0,1.0,1.0,2.0,4.0,4.0,0.0,0.0,2.0,0.11428571428571428,0.7475,0.7475,0.75,30.0,65.0,0.0,14.25,7.771683673469388,1.08,-10.0,71.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.019232653061224347,1.1298249999999999,0.26845918367346955,-0.21189999999999998,-0.04576581632653054,0.6,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-21,Bryson_Stott,hitter,PHI,BAL,2026,831499,9,143,110,0,2.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,0.08695652173913043,0.54,0.54,0.25,21.25,65.0,0.0,9.0,7.163664596273292,1.08,10.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.7587726708074534,0.7266065217391304,0.35749844720496904,-0.11877500000000002,0.42144409937888205,1.0,1.6,0.4,0.2,0.4,2.0,5.0,1.0,1.0,2.0
