Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-02,Cam_Booser,pitcher,TB,PIT,2026,831577,0,139,134,0,1.0,0.0,0.0,1.0,4.0,19.0,1.0,0.0,0.0,4.2,4.2,53.0,15.789473684210526,0.3299074074074074,0.24390243902439024,1.08,-10.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-1.3207804878048783,-0.3078166666666665,0.22965000000000169,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-04,Cam_Booser,pitcher,TB,NED,2026,831432,1,139,878,1,0.0,0.0,0.0,1.0,4.0,14.0,0.0,1.0,0.0,3.2,3.2,56.99999999999999,0.0,0.3123666666666667,0.24444444444444444,1.0611111111111111,-13.0,83.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-1.308888888888889,-0.4003499999999999,-0.6031499999999989,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-11,Cam_Booser,pitcher,TB,ATL,2026,831574,2,139,144,0,1.0,0.0,0.0,1.0,4.0,13.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,85.0,23.076923076923077,0.30717047930283226,0.22303622303622303,1.08,10.0,86.0,0,7.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-1.9877102157102158,-0.41013284313725473,-0.6911955882352928,0.5,0.0,0.0,0.0,0.0,0.0
2026-03-13,Cam_Booser,pitcher,TB,BOS,2026,831616,3,139,111,0,2.0,1.0,9.0,1.0,4.0,14.0,0.0,1.0,1.0,12.2,12.2,71.0,42.857142857142854,0.31777777777777777,0.1964349977507872,1.08,-8.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-1.9405200179937023,-0.36239999999999994,-0.2615999999999996,0.6666666666666666,0.0,0.0,1.0,0.0,0.0
2026-03-15,Cam_Booser,pitcher,TB,PIT,2026,831511,4,139,134,1,1.0,0.0,0.0,1.0,3.0,12.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,75.0,25.0,0.34490740740740744,0.27784090909090914,1.0611111111111111,6.0,82.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,2.2,2.5,0.5,2.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-0.9017171717171715,0.08608333333333351,3.0747500000000016,1.0,0.25,2.25,2.0,1.0,9.0
2026-03-20,Cam_Booser,pitcher,TB,BOS,2026,831602,5,139,111,1,1.0,0.0,0.0,1.0,4.0,20.0,1.0,0.0,0.0,4.2,4.2,60.0,15.0,0.3082565854624678,0.2447119388295859,1.0611111111111111,0.0,76.0,0,5.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-1.3067489338077574,-0.2748453654188948,0.22639171122994672,1.0,0.2,1.8,1.0,0.0,0.0
2026-03-22,Cam_Booser,pitcher,TB,TOR,2026,831592,6,139,141,0,1.0,0.0,0.0,1.0,4.0,15.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,67.0,20.0,0.29863380537400147,0.21015161502966384,1.08,-4.0,73.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-1.5907870797626895,-0.3045478758169933,-0.040930882352939735,1.0,0.2,1.8,1.0,0.0,0.0
2026-03-24,Cam_Booser,pitcher,TB,ATL,2026,831545,7,139,144,0,2.0,0.0,0.0,1.0,3.0,13.0,0.0,0.0,0.0,-0.7999999999999998,-0.7999999999999998,69.0,46.15384615384615,0.2252857661583152,0.20014245014245016,1.08,7.0,80.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-1.5268603988603988,-0.5,-1.8,1.2,0.2,1.8,1.0,0.0,0.0
2026-06-02,Cam_Booser,pitcher,TB,DET,2026,822971,8,139,116,1,1.0,0.0,0.0,2.0,7.0,27.0,0.0,1.0,0.0,2.2,2.2,63.0,11.11111111111111,0.2763034511784512,0.22475171886936596,1.08,0.0,72.0,0,70.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-1.0459862490450724,-0.40503446969696966,-1.3726551136363634,1.4,0.2,1.8,2.0,0.0,0.0
2026-06-05,Cam_Booser,pitcher,TB,MIA,2026,823860,9,139,146,0,3.0,0.0,0.0,1.0,4.0,20.0,1.0,0.0,0.0,0.20000000000000018,0.20000000000000018,60.0,45.0,0.3866106902356902,0.213980463980464,1.0766666666666667,0.0,72.0,0,3.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-1.4148229548229547,-0.05505189393939397,2.5045329545454544,1.2,0.0,0.0,1.0,0.0,0.0
2026-06-08,Cam_Booser,pitcher,TB,BOS,2026,822972,10,139,111,1,1.0,0.0,0.0,1.0,3.0,10.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,80.0,30.0,0.2566262626262626,0.19562006620830152,1.08,0.0,72.0,0,3.0,1.2246467991473532e-16,-1.0,0.0,1.0,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-0.9950394703335879,-0.5,-1.5,1.6,0.0,0.0,3.0,0.0,0.0
