Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1
2026-03-01,Casey_Schmitt,hitter,SF,SD,2026,831768,0,137,135,1,2.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0,0.07692307692307693,0.7200000000000001,0.7200000000000001,0.3333333333333333,28.333333333333332,65.0,4.1,8.2,4.0,1.038888888888889,0.0,87.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.0,0.5,1.0,2.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.13558974358974352,-0.33338888888888885,0.05346153846153867,2.0,0.0,1.0,2.0,0.0,1.0
2026-03-02,Casey_Schmitt,hitter,SF,CWS,2026,831760,1,137,145,0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,0.05263157894736842,0.89,0.89,0.0,0.0,65.0,4.1,8.2,0.0,1.0611111111111111,2.0,86.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,2.0,0.5,1.0,2.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.32529824561403475,-0.48044444444444445,-0.12410526315789472,2.0,0.0,1.0,2.0,0.0,1.0
2026-03-03,Casey_Schmitt,hitter,SF,USA,2026,831720,2,137,940,1,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.05405405405405406,0.635,0.635,0.5,30.0,65.0,4.1,8.2,4.0,1.038888888888889,5.0,81.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.0,0.5,0.5,2.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.19720720720720708,-0.2875555555555555,0.001067567567567651,2.0,0.0,0.5,2.0,0.0,0.0
2026-03-04,Casey_Schmitt,hitter,SF,SEA,2026,831739,3,137,136,1,1.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.07894736842105263,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,9.05921052631579,1.038888888888889,0.0,76.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.5,0.5,0.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.1517543859649122,-0.4875555555555555,0.0684692982456141,1.6666666666666667,0.0,0.3333333333333333,1.0,0.0,0.0
2026-03-07,Casey_Schmitt,hitter,SF,TEX,2026,831726,4,137,140,1,2.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.10256410256410256,0.445,0.445,0.0,0.0,53.4,4.1,8.2,2.6292613636363638,1.038888888888889,-11.0,75.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,0.5,0.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.1887269813519814,-0.4875555555555555,-0.23742154720279718,1.5,0.0,0.25,1.0,0.0,0.0
2026-03-08,Casey_Schmitt,hitter,SF,CHC,2026,831757,5,137,112,0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,6.0,0.04878048780487805,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.17624944714728,1.0277777777777777,0.0,86.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,0.5,0.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.45809062829239533,-0.49111111111111116,-0.3908216739840994,1.6,0.0,0.2,2.0,0.0,0.0
2026-03-09,Casey_Schmitt,hitter,SF,LAA,2026,831816,6,137,108,1,1.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.06451612903225806,0.445,0.445,0.0,0.0,53.4,4.5,13.5,6.104464285714286,1.038888888888889,5.0,77.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.2053160522273424,-0.4875555555555555,-0.2784058179723502,1.2,0.0,0.0,0.0,0.0,0.0
2026-03-10,Casey_Schmitt,hitter,SF,CLE,2026,831758,7,137,114,0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,0.07692307692307693,0.0,0.0,0.0,0.0,10.0,0.0,22.5,3.1223901098901097,1.08,9.0,73.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.7512941391941391,-0.4744,-0.5,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-13,Casey_Schmitt,hitter,SF,CIN,2026,831759,8,137,113,0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.09375,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,11.25,6.75,5.430587557603687,1.08,5.0,86.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.06206399769585247,-0.4744,-0.3222206221198156,0.8,0.0,0.0,0.0,0.0,0.0
2026-03-14,Casey_Schmitt,hitter,SF,AZ,2026,831953,9,137,109,1,1.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,0.07317073170731707,0.5366666666666666,0.5366666666666666,0.0,0.0,64.39999999999999,13.5,10.5,7.145528211284514,1.038888888888889,4.0,87.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.08628456260552997,-0.4875555555555555,-0.1886748089479694,0.8,0.0,0.0,1.0,0.0,0.0
