Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-01,Christian_Koss,hitter,SF,SD,2026,831768,0,137,135,1,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.05128205128205128,0.79,0.79,0.0,0.0,65.0,4.1,8.2,4.0,1.038888888888889,0.0,87.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.5067179487179487,0.5484166666666668,0.6858653846153848,-0.4875555555555555,0.3843076923076927,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0
2026-03-02,Christian_Koss,hitter,SF,CWS,2026,831760,1,137,145,0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,0.05263157894736842,0.445,0.445,0.0,0.0,53.4,4.1,8.2,0.0,1.0611111111111111,2.0,86.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.35470175438596485,0.40530701754385967,0.27781578947368435,-0.48044444444444445,0.08239473684210541,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0
2026-03-03,Christian_Koss,hitter,SF,USA,2026,831720,2,137,940,1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,7.0,0.05405405405405406,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.038888888888889,5.0,81.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.48279279279279286,0.1959436936936937,-0.26514189189189186,-0.4875555555555555,0.15056756756756773,1.0,1.0,0.5,0.0,2.0,1.0,1.0,0.0,0.0,2.0
2026-03-04,Christian_Koss,hitter,SF,SEA,2026,831739,3,137,136,1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.05263157894736842,0.0,0.0,0.0,0.0,10.0,4.1,8.2,9.05921052631579,1.038888888888889,0.0,76.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.2930701754385965,-0.15227631578947365,-0.140640350877193,-0.4875555555555555,-0.37147807017543855,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0
2026-03-06,Christian_Koss,hitter,SF,CIN,2026,831889,4,137,113,1,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,9.0,0.07894736842105263,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,27.0,27.0,11.123376623376624,1.038888888888889,5.0,68.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.5,-0.12337280701754383,0.06889251537935748,-0.4875555555555555,0.6050109364319891,0.5,0.5,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,Christian_Koss,hitter,SF,KC,2026,831762,5,137,118,0,2.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.07692307692307693,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,27.0,4.5,4.700371057513915,1.0611111111111111,6.0,79.0,0,5.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.18275843204414643,-0.013416666666666632,-0.016975036867893867,-0.48044444444444445,0.25448009133723426,0.4,0.4,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0
2026-03-13,Christian_Koss,hitter,SF,CIN,2026,831759,6,137,113,0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.09375,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,11.25,6.75,5.430587557603687,1.08,5.0,86.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.5819360023041475,0.38802500000000006,0.13407104454685104,-0.4744,0.018779377880184356,0.6,0.6,0.2,0.0,0.4,2.0,2.0,1.0,0.0,0.0
2026-03-14,Christian_Koss,hitter,SF,AZ,2026,831953,7,137,109,1,2.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,0.07317073170731707,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,13.5,10.5,7.145528211284514,1.038888888888889,4.0,87.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.27771543739447013,0.2358191056910569,0.040554865848778654,-0.4875555555555555,-0.17167480894796938,0.6,0.6,0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-15,Christian_Koss,hitter,SF,MIL,2026,831787,8,137,158,1,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,8.0,0.07894736842105263,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,0.0,13.5,3.619736842105263,1.038888888888889,0.0,84.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.3931754385964912,0.6001271929824561,0.10287719298245612,-0.4875555555555555,-0.36117105263157895,1.0,1.0,0.4,0.0,0.0,2.0,2.0,1.0,0.0,0.0
2026-03-16,Christian_Koss,hitter,SF,SD,2026,831751,9,137,135,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.02631578947368421,0.0,0.0,0.0,0.0,10.0,4.1,8.2,5.055644355644356,1.0722222222222222,0.0,88.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.33109001524790993,-0.6943464912280702,-0.2913098874809401,-0.4768888888888889,-0.5,1.2,1.2,0.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-18,Christian_Koss,hitter,SF,LAD,2026,831761,10,137,119,0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.06666666666666667,0.445,0.445,0.0,0.0,53.4,0.0,12.0,7.704701235332843,1.0611111111111111,0.0,96.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.46381195058668623,-0.5953666666666667,0.09673506176664226,-0.48044444444444445,-0.19586493823335782,1.2,1.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,Christian_Koss,hitter,SF,COL,2026,831756,11,137,115,0,2.0,5.0,2.0,1.0,2.0,5.0,5.0,0.0,0.0,8.0,0.10869565217391304,0.5980000000000001,0.5980000000000001,0.6,30.0,65.0,6.0,11.25,5.384801228183582,1.0611111111111111,6.0,98.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,0.5560079911563289,1.2553789855072466,-0.0001534168516904022,-0.2554444444444445,-0.2165338516342991,1.0,1.0,0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-20,Christian_Koss,hitter,SF,TEX,2026,831749,12,137,140,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,5.0,0.10810810810810811,0.0,0.0,0.0,0.0,10.0,6.0,12.0,4.252040816326531,1.0611111111111111,0.0,101.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.23766611509468638,0.3216373873873877,0.17956825703254287,-0.24044444444444446,0.13873717595146184,1.2,1.8,0.6,0.2,0.4,2.0,5.0,2.0,1.0,2.0
