Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Christopher_Morel,666624,hitter,MIA,WSH,2026,831475,0,146,120,0,695418.0,Brad_Lord,1.0,3.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,4.0,0.081081081081081,0.54,0.54,0.6666666666666666,30.0,65.0,4.1,8.2,4.0,1.08,-6.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.5189225225225225,0.8081905405405401,-0.22408783783783792,-0.23273333333333335,0.5043513513513513,1.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Christopher_Morel,666624,hitter,MIA,ISR,2026,831436,1,146,840,1,476594.0,Robert_Stock,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,0.088235294117647,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,4.1,8.2,4.0,1.05,-16.0,79.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.5290392156862744,-0.004397058823529587,-0.20240686274509806,-0.484,0.508764705882353,1.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,0.1437500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4291666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8874999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Christopher_Morel,666624,hitter,MIA,HOU,2026,831582,2,146,117,1,837227.0,Tatsuya_Imai,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,0.09375,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,4.1,8.2,1.5000000000000002,1.05,0.0,80.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.44181250000000005,0.10162500000000008,-0.3204583333333333,-0.484,-0.1097499999999999,1.0,2.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,0.1437500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4291666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3041666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Christopher_Morel,666624,hitter,MIA,NYM,2026,831480,3,146,121,1,640455.0,Sean_Manaea,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0,0.0967741935483871,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.05,0.0,78.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.5369247311827958,-0.33873924731182803,-0.5,-0.484,-0.25252688172043003,1.0,1.6666666666666667,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,0.1437500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3296296296296297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3250000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8180555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Christopher_Morel,666624,hitter,MIA,NYM,2026,831468,4,146,121,0,804267.0,Zac_Thornton,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.081081081081081,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,4.1,8.2,2.5625,1.08,-11.0,82.0,0,3.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.17942252252252244,-0.6363094594594595,-0.456462837837838,-0.4744,-0.33052364864864875,0.75,1.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.0,1.0,0.0,0.0666666666666666,0.0809722222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1668055555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3041666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2215972222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6038888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,Christopher_Morel,666624,hitter,MIA,HOU,2026,831561,5,146,117,1,837227.0,Tatsuya_Imai,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,2.0,0.1,0.0,0.0,0.0,0.0,10.0,0.0,13.5,4.2122448979591836,1.05,-14.0,84.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.0946675752448271,0.11127874668518523,-0.4667298189909297,-0.4840046636892361,-0.3315358184093324,0.6,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.05,0.9425,1.0,0.1138105208333333,0.1477083333333338,-0.994,0.0444444444444444,0.0,0.0,0.0,0.0417596217013888,0.0041759621701388,0.1123611111111115,-0.994,0.0,0.0,0.0,0.0,-0.0010703332175925,-0.0001712533148148,0.3002083333333339,-0.6399999999999999,0.0,0.0,0.0,0.0,-0.0018412777777777,-9.206388888888908e-05,-0.0195833333333332,-0.994,0.0,0.0,0.0,0.0,-0.0001865475694444,-4.663689236111093e-06,0.3372916666666671,-0.815,-0.0444444444444444,0.0,0.0,0.0,-0.0458010551215277,-0.0027480633072916
2026-03-13,Christopher_Morel,666624,hitter,MIA,NYM,2026,831462,6,146,121,0,673540.0,Kodai_Senga,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,5.0,0.0967741935483871,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,6.75,6.75,1.7678571428571428,1.08,-12.0,75.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.027460983102918557,-0.11617258064516123,-0.45975499231950845,-0.4744,-0.5,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,-0.4782407407407405,0.8156249999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.4074074074074073,0.8568749999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.2270833333333331,0.590625,0.0,0.0,0.0,0.0,0.0,0.0,-0.2129629629629629,0.8725,0.0,0.0,0.0,0.0,0.0,0.0,-0.0442129629629627,0.7875000000000001,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-15,Christopher_Morel,666624,hitter,MIA,HOU,2026,831509,7,146,117,0,664299.0,Cristian_Javier,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,5.0,0.09375,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,4.95,8.100000000000001,3.976530612244898,1.08,12.0,79.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.14760705782312922,-0.010298834383806521,-0.3897984693877552,-0.4746183144546742,-0.11892346938775505,0.4,0.4,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.1,0.7039420183313214,0.0,0.1430433769421079,-0.4894742063492059,0.1063838383838382,0.0,0.0,0.0,0.0,0.0,0.0,-0.4493849206349203,-0.1658623737373738,0.0,0.0,0.0,0.0,-0.0051489648987908,-0.0008238343838065,-0.2522321428571424,0.1967916666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.310456349206349,-0.4071818181818182,0.0,0.0,0.0,0.0,-0.0087325781869703,-0.0002183144546742,-0.1067361111111107,0.0450555555555555,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-17,Christopher_Morel,666624,hitter,MIA,NYM,2026,831463,8,146,121,1,640455.0,Sean_Manaea,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,0.0833333333333333,0.0,0.0,0.0,0.0,10.0,6.5625,8.25,1.542857142857143,1.05,0.0,64.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.33807948720834546,-0.41095337000954335,-0.5,-0.484,-0.4849334066107216,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.1,0.8457582521472478,1.0,0.1767227947445295,-0.5454687499999996,0.6965098039215687,-0.0555555555555555,0.0,0.0,0.0,-0.0512710625596457,-0.0051271062559645,-0.5204513888888885,0.7690245098039216,-0.0555555555555555,0.0,0.0,0.0,-0.0512710625596457,-0.0082033700095433,-0.3179687499999996,0.7816111111111111,0.0,0.0,0.0,0.0,0.0,0.0,-0.3946874999999999,0.8106911764705882,0.0,0.0,0.0,0.0,0.0,0.0,-0.2011979166666662,0.8677222222222224,-0.0555555555555555,0.0,0.0,0.0,-0.0512710625596457,-0.0030762637535787
2026-03-20,Christopher_Morel,666624,hitter,MIA,WSH,2026,831450,9,146,120,1,656492.0,Foster_Griffin,1.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,4.0,0.09375,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,1.5,8.25,0.6428571428571429,1.05,0.0,70.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.32703876126065695,-0.15766309242881715,-0.38429996251867277,-0.48452764298843587,-0.35753554073806537,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.1,0.819553977055322,0.0,0.1749604637810723,-0.7225540123456786,-0.3576363636363637,0.0,0.0,0.0,0.0,-0.0139888030827604,-0.001398880308276,-0.6878549382716046,-0.5518977272727272,0.0,0.0,0.0,0.0,-0.020550577680108,-0.0032880924288172,-0.5128472222222219,-0.7092234848484847,0.0,0.0,0.0,0.0,-0.0196897265639327,-0.0009844863281966,-0.481929012345679,-0.8089999999999999,0.0,0.0,0.0,0.0,-0.0211057195374367,-0.0005276429884359,-0.4082021604938267,-0.7002272727272727,0.0,0.0,0.0,0.0,-0.0154732980153756,-0.0009283978809225
