Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-01,Clayton_Beeter,pitcher,WSH,MIA,2026,831475,0,120,146,1,0.0,0.0,0.0,1.0,3.0,19.0,1.0,0.0,0.0,6.2,6.2,47.0,0.0,0.315,0.225,1.08,-6.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-2.332,-0.3748999999999999,-0.374099999999999,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Clayton_Beeter,pitcher,WSH,VEN,2026,831428,1,120,944,1,2.0,0.0,0.0,1.0,6.0,25.0,2.0,0.0,0.0,5.2,5.2,52.0,24.0,0.22911764705882354,0.2571428571428571,1.08,0.0,75.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-2.074857142857143,-0.5,-1.5,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,Clayton_Beeter,pitcher,WSH,MIA,2026,831471,2,120,146,0,3.0,0.0,0.0,1.0,4.0,22.0,1.0,0.0,0.0,0.20000000000000018,0.20000000000000018,45.0,40.909090909090914,0.2848983297022513,0.181174723110207,1.05,-13.0,83.0,0,6.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.6706022151183442,-0.5,-1.5,1.0,0.0,0.0,2.0,0.0,0.0
2026-03-12,Clayton_Beeter,pitcher,WSH,HOU,2026,831510,3,120,117,0,1.0,0.0,0.0,0.6666666666666666,1.0,5.0,0.0,0.0,0.0,0.20000000000000018,0.20000000000000018,80.0,60.0,0.34711419753086425,0.2815040650406504,1.08,0.0,78.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.25996747967479683,-0.23038611111111074,2.139787500000005,1.6666666666666667,0.0,0.0,3.0,0.0,0.0
2026-03-15,Clayton_Beeter,pitcher,WSH,STL,2026,831461,4,120,138,0,3.0,0.0,0.0,0.6666666666666666,5.0,24.0,0.0,1.0,0.0,-5.8,-5.8,67.0,37.5,0.2629738562091503,0.2352941176470588,1.05,0.0,83.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.0176470588235296,-0.5,-1.5,1.5,0.0,0.0,1.0,0.0,0.0
2026-03-16,Clayton_Beeter,pitcher,WSH,NYM,2026,831457,5,120,121,0,1.0,0.0,0.0,1.0,3.0,12.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,57.99999999999999,25.0,0.29842592592592593,0.22798663324979115,1.08,0.0,84.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.5921069340016707,-0.44948333333333323,-1.0453499999999991,1.8,0.0,0.0,3.0,0.0,0.0
2026-03-21,Clayton_Beeter,pitcher,WSH,NYM,2026,831448,6,120,121,1,2.0,0.0,0.0,1.0,4.0,16.0,1.0,0.0,0.0,2.2,2.2,63.0,37.5,0.25433986928104574,0.2562492806395245,1.08,0.0,75.0,0,5.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.502005754883804,-0.5,-1.5,2.0,0.0,0.0,1.0,0.0,0.0
2026-03-23,Clayton_Beeter,pitcher,WSH,BAL,2026,831546,7,120,110,1,1.0,0.0,0.0,1.0,3.0,11.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,73.0,27.27272727272727,0.31824607815835887,0.2983129867679952,1.08,-15.0,56.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.02549610585603812,-0.360292648287385,-0.24263383458646492,2.0,0.0,0.0,2.0,0.0,0.0
2026-03-26,Clayton_Beeter,pitcher,WSH,CHC,2026,824704,8,120,112,0,1.0,0.0,0.0,1.0,5.0,24.0,2.0,0.0,0.0,7.2,7.2,50.0,12.5,0.43386159844054584,0.24160524160524158,1.0522222222222224,-22.0,49.0,0,3.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.8960469560469566,0.13997719298245637,4.259794736842108,1.6,0.0,0.0,1.0,0.0,0.0
2026-03-29,Clayton_Beeter,pitcher,WSH,CHC,2026,824700,9,120,112,0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,3.2,3.2,100.0,0.0,0.3383277777777778,0.22200065919578113,1.0522222222222224,4.0,59.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.0528836153226402,-0.2899249999999998,0.39067500000000166,1.6,0.0,0.0,1.0,0.0,0.0
2026-04-01,Clayton_Beeter,pitcher,WSH,PHI,2026,823483,10,120,143,0,0.0,1.0,9.0,1.0,4.0,16.0,0.0,1.0,0.0,3.2,3.2,63.0,0.0,0.2929907407407408,0.18784650034650033,1.08,0.0,79.0,0,3.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.9092279972279975,-0.47394166666666643,-1.2654749999999977,1.0,0.0,0.0,0.0,0.0,0.0
2026-04-05,Clayton_Beeter,pitcher,WSH,LAD,2026,822756,11,120,119,1,2.0,1.0,5.4,1.6666666666666665,6.0,25.0,0.0,1.0,1.0,8.600000000000001,8.600000000000001,64.0,24.0,0.39213928170594836,0.2385265700483092,1.08,-4.0,60.0,0,4.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.6477874396135266,0.2762267676767678,2.3916245454545466,0.8,0.2,1.8,0.0,1.0,9.0
2026-04-07,Clayton_Beeter,pitcher,WSH,STL,2026,822754,12,120,138,1,0.0,0.0,0.0,1.0,5.0,15.0,2.0,0.0,0.0,9.2,9.2,60.0,0.0,0.2302101851851852,0.21164021164021163,1.08,-14.0,51.0,0,2.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,2.5,0.5,2.9,2.5,0.5,2.9,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.5828783068783072,-0.30845416666666653,-1.1760874999999986,0.8,0.4,2.88,2.0,1.0,5.4
2026-04-10,Clayton_Beeter,pitcher,WSH,MIL,2026,823808,13,120,158,0,1.0,0.0,0.0,1.0,3.0,12.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,75.0,25.0,0.2420740740740741,0.2245280720984046,1.0733333333333333,0.0,65.0,0,3.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,2.9,2.5,0.5,2.9,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.9011087565460967,-0.4198666666666666,-2.178799999999999,0.6,0.4,2.88,0.0,0.0,0.0
