Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-04,Coby_Mayo,691723,hitter,BAL,HOU,2026,831642,0,110,117,1,676467.0,,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,0.054054054054054,0.445,0.445,0.0,0.0,53.4,4.1,8.2,2.2500000000000004,1.08,-8.0,84.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.4465261261261261,0.415927027027027,-0.4378918918918919,-0.4744,-0.48343243243243245,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Coby_Mayo,691723,hitter,BAL,STL,2026,831519,1,110,138,1,700241.0,Michael_McGreevy,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,8.0,0.0512820512820512,0.0,0.0,0.0,0.0,10.0,4.1,8.2,1.875,1.08,0.0,84.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.42745128205128213,0.2126499999999999,-0.5,-0.4744,-0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,0.9711111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4783333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5851388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1086111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Coby_Mayo,691723,hitter,BAL,MIN,2026,831630,2,110,142,1,690953.0,,1.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,6.0,0.1,0.4233333333333333,0.4233333333333333,0.3333333333333333,28.33333333333333,65.0,4.1,8.2,2.5714285714285716,1.08,-10.0,82.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.037590476190476174,0.4063499999999999,-0.3558452380952381,-0.32023333333333337,-0.41982857142857144,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,-0.5137500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8262499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Coby_Mayo,691723,hitter,BAL,STL,2026,831570,3,110,138,0,669461.0,Matthew_Liberatore,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.088235294117647,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,5.4,13.500000000000002,1.25,1.05,8.0,85.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.04459100223237633,0.5121267645764707,-0.47640686274509814,-0.483999215125,-0.15106862745098043,0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,1.0,2.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.1,0.05,0.9425,0.0,0.0617271875,0.2495634920634923,0.254,0.0,0.0,0.0,0.0,0.0003644874801587,3.644874801587305e-05,0.0685052910052911,0.378,0.0,0.0,0.0,0.0,0.00014889625,2.382340000000005e-05,-0.0842261904761903,0.2059999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0144444444444444,0.378,0.0,0.0,0.0,0.0,3.1395000000000095e-05,7.848750000000024e-07,-0.2431944444444443,0.406,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,Coby_Mayo,691723,hitter,BAL,HOU,2026,831617,4,110,117,0,621121.0,Lance_McCullers_Jr,4.0,7.0,1.0,1.0,5.0,4.0,4.0,0.0,0.0,5.0,0.0952380952380952,1.1925,1.1925,0.75,30.0,65.0,4.1,8.2,3.355102040816327,1.08,0.0,84.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.38127074829931973,1.6972749999999999,0.11038010204081639,-0.21189999999999998,0.014505102040816342,0.75,1.0,0.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.0,1.0,0.0,0.0666666666666666,0.3794270833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0970486111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2130208333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2841145833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,Coby_Mayo,691723,hitter,BAL,NYY,2026,832062,5,110,147,0,608331.0,Max_Fried,1.0,4.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,7.0,0.073170731707317,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,3.65625,10.125,3.673469387755102,1.08,-11.0,68.0,0,9.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.5,2.5,0.5,0.5,1.5,1.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.05176411762035538,1.3344911107324529,0.07515868368713752,0.09051362867284252,0.3023488138474548,1.4,2.2,0.2,0.2,1.2,4.0,7.0,1.0,1.0,5.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.1,0.8248572779142209,0.0,0.1082288316788841,0.8866666666666667,-0.3421785714285715,0.0,0.0,0.0,0.0,-0.008856334996048,-0.0008856334996048,0.8038888888888888,-0.2826785714285714,0.0,0.0,0.0,0.0,-0.0066333018246099,-0.0010613282919375,0.6875,-0.4583392857142856,0.0,0.0,0.0,0.0,-0.0091981530367434,-0.0004599076518371,0.5408333333333333,-0.2188392857142857,0.0,0.0,0.0,0.0,-0.0034548530862986,-8.637132715746737e-05,0.5658333333333333,-0.3768214285714284,0.0,0.0,0.0,0.0,-0.0062239338017543,-0.0003734360281052
2026-03-20,Coby_Mayo,691723,hitter,BAL,NYY,2026,831603,6,110,147,0,661563.0,,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,4.0,0.0967741935483871,0.0,0.0,0.0,0.0,10.0,4.1,8.2,3.673469387755102,1.08,-6.0,76.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,2.5,0.5,0.5,1.5,1.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.1972378732314608,-0.19816828019191046,-0.12069885681484094,-0.09387082575774519,-0.0861068623225325,1.4,2.8,0.4,0.4,1.6,1.0,4.0,1.0,1.0,2.0,batter_pitcher_profile_network_v2,0.2,0.15,0.8158253175473056,0.0,0.1375092097900682,0.9222222222222224,0.5392857142857143,0.0,0.0,0.0,0.0,0.0183195340887271,0.0018319534088727,0.9416666666666668,0.6314285714285715,0.0,0.0,0.0,0.0,0.0219018778328149,0.0035043004532503,0.6770833333333333,0.7555555555555555,0.0,0.0,0.0,0.0,0.0188437985287247,0.0009421899264362,0.9100694444444444,0.6314285714285715,0.0,0.0,0.0,0.0,0.0211669696901946,0.0005291742422548,0.7284722222222222,0.8777777777777778,0.0,0.0,0.0,0.0,0.02355361128015,0.001413216676809
2026-03-22,Coby_Mayo,691723,hitter,BAL,WSH,2026,831503,7,110,120,1,680730.0,Mitchell_Parker,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,6.0,0.0789473684210526,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,4.1,8.2,4.0,1.08,-5.0,62.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,2.5,0.5,0.5,1.5,1.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.41754736842105267,-0.6776394736842106,-0.16127631578947377,-0.19440000000000002,-0.3431578947368421,1.4,2.8,0.4,0.4,1.6,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.0,1.0,0.0,0.1166666666666666,0.6915674603174602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7827380952380951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5839285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7561507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6781746031746031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,Coby_Mayo,691723,hitter,BAL,WSH,2026,831546,8,110,120,0,676571.0,PJ_Poulin,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,7.0,0.0625,0.345,0.345,0.0,0.0,41.4,0.0,16.5,0.9642857142857143,1.08,-15.0,56.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,2.5,0.5,0.5,1.5,1.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.1421535714285715,-0.89185,-0.012535714285714317,-0.19440000000000002,-0.6157857142857143,1.2,2.4,0.6,0.4,1.4,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.0,1.0,0.0,0.1333333333333333,0.579909420289855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6865021135265701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5230298913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6315625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,Coby_Mayo,691723,hitter,BAL,MIN,2026,824865,9,110,142,1,657746.0,Joe_Ryan,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,8.0,0.09375,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,1.3499999999999999,5.7,4.338033395176253,1.08,10.0,77.0,0,3.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,2.5,0.5,0.5,1.5,0.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.5400969204380743,-1.034888665279272,-0.018375188265209175,-0.19461033886313384,-0.4458985074175452,1.0,2.2,0.6,0.4,1.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.15,0.752685285398744,0.0,0.188669407880798,0.4820216049382717,-0.1780918367346939,0.0,0.0,0.0,0.0,-0.0063691536897572,-0.0006369153689757,0.5609567901234569,-0.2122882653061224,0.0,0.0,0.0,0.0,-0.0088354079954501,-0.001413665279272,0.45,-0.3904804421768708,0.0,0.0,0.0,0.0,-0.0130371604804365,-0.0006518580240218,0.4669753086419755,-0.2428367346938775,0.0,0.0,0.0,0.0,-0.0084135545253553,-0.0002103388631338,0.5544753086419755,-0.4254591836734693,0.0,0.0,0.0,0.0,-0.0175029529392954,-0.0010501771763577
