Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Cole_Young,702284,hitter,SEA,TEX,2026,831721,0,136,140,1,656641.0,Jacob_Latz,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0526315789473684,1.05,1.05,1.5,30.0,65.0,4.1,8.2,4.0,1.0722222222222222,-4.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,3.5,0.5,0.5,1.5,0.5,3.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.5293684210526315,1.7628903508771927,0.8205657894736844,0.7731111111111109,0.46389473684210536,1.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Cole_Young,702284,hitter,SEA,LAA,2026,831817,1,136,108,1,691946.0,,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,7.0,0.0681818181818181,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,4.1,8.2,3.0,1.0722222222222222,3.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,3.5,0.5,0.5,1.5,0.5,3.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.4842272727272725,-0.3891287878787879,0.28915909090909075,0.323111111111111,0.18618181818181823,1.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Cole_Young,702284,hitter,SEA,SF,2026,831739,2,136,137,0,592662.0,Robbie_Ray,1.0,1.0,0.0,0.0,1.0,4.0,3.0,1.0,1.0,1.0,0.1052631578947368,0.395,0.395,0.0,0.0,47.400000000000006,4.1,8.2,12.738461538461541,1.038888888888889,0.0,76.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.40427530364372477,-0.09038596491228068,0.5135546558704456,-0.13755555555555554,0.7662125506072877,0.5,2.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,0.8922222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9191666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8922222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7609722222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Cole_Young,702284,hitter,SEA,TEX,2026,831737,3,136,140,0,683004.0,Jack_Leiter,2.0,8.0,2.0,2.0,3.0,4.0,4.0,0.0,0.0,1.0,0.0975609756097561,1.05,1.05,1.5,30.0,65.0,4.1,8.2,2.571428571428571,1.0611111111111111,-4.0,68.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.21293844367015102,1.9399532520325202,0.24908159117305473,0.20288888888888879,0.6053031358885019,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,0.8733796296296295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9069444444444442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8388888888888887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6775462962962964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8087962962962962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Cole_Young,702284,hitter,SEA,MIL,2026,831740,4,136,158,0,690986.0,Kyle_Harrison,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0857142857142857,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,0.0,6.0,2.7062499999999994,1.0722222222222222,0.0,86.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,3.5,0.5,0.5,1.5,0.5,3.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.7669166666666669,-0.27498333333333314,0.32656249999999987,0.24811111111111095,0.01211249999999997,1.0,3.25,0.75,0.75,1.5,2.0,8.0,2.0,2.0,3.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.0,1.0,0.0,0.0666666666666666,0.9472222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9604166666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9472222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8815972222222221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,Cole_Young,702284,hitter,SEA,KC,2026,831836,5,136,118,1,666142.0,Cole_Ragans,1.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,2.0,0.1142857142857142,0.3175,0.3175,0.25,21.25,49.35,32.400000000000006,10.800000000000002,4.607142857142857,1.0722222222222222,-5.0,75.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,2.5,0.5,0.5,1.5,0.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.17812276359126955,-0.4264621593333331,0.13008193452380945,0.05885865539062485,-0.516558250846561,0.8,2.6,0.6,0.6,1.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.05,0.9425,0.0,0.0950605208333333,0.8946666666666667,0.5874999999999999,0.0,0.0,0.0,0.0,0.0050371597222222,0.0005037159722222,0.921,0.6699999999999999,0.0,0.0,0.0,0.0,0.0059135874999999,0.0009461739999999,0.9,0.8111111111111111,0.0,0.0,0.0,0.0,0.0069958333333333,0.0003497916666666,0.7634166666666666,0.6699999999999999,0.0,0.0,0.0,0.0,0.0049017711805555,0.0001225442795138,0.8346666666666666,0.9055555555555556,0.0,0.0,0.0,0.0,0.0072434382716049,0.0004346062962962
2026-03-11,Cole_Young,702284,hitter,SEA,COL,2026,831861,6,136,115,1,801403.0,Chase_Dollander,3.0,7.0,2.0,1.0,3.0,5.0,5.0,0.0,1.0,6.0,0.1111111111111111,0.852,0.852,0.8,30.0,65.0,3.75,5.25,9.423529411764706,1.0722222222222222,6.0,78.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.7976043593443753,0.4998922964283232,0.4919322852330906,0.07744172162747787,0.607442084953397,0.8,2.2,0.4,0.4,0.8,1.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.1,0.6401778610123631,0.0,0.1271578212025985,0.7311574074074073,0.0943636363636362,0.0,0.0,0.0,0.0,0.0049651620712045,0.0004965162071204,0.8124305555555553,-0.1878977272727273,0.0,0.0,0.0,0.0,-0.0109856473229814,-0.001757703571677,0.79375,-0.2080416666666666,0.0,0.0,0.0,0.0,-0.0118837071028952,-0.0005941853551447,0.836105324074074,-0.445,0.0,0.0,0.0,0.0,-0.0267755793453283,-0.0006693894836332,0.8436574074074074,-0.2748030303030302,0.0,0.0,0.0,0.0,-0.0166842050250845,-0.001001052301505
2026-03-12,Cole_Young,702284,hitter,SEA,CHC,2026,831754,7,136,112,0,665795.0,Edward_Cabrera,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0769230769230769,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,6.75,2.0510204081632653,1.0277777777777777,0.0,87.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.5,3.5,0.5,0.5,1.5,1.5,3.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.08522840736416737,-0.1998524726369313,0.3511077223578737,0.028685212548611116,-0.07944589827171256,1.4,3.6,0.8,0.6,1.4,3.0,7.0,2.0,1.0,3.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.05,0.9425,0.0,0.1283938541666666,0.7222420634920632,-0.4017840909090909,0.0,0.0,0.0,0.0,-0.0038933203928608,-0.000389332039286,0.8088690476190474,-0.5389431818181819,0.0,0.0,0.0,0.0,-0.0058487873141571,-0.0009358059702651,0.7374999999999999,-0.5721022727272727,0.0,0.0,0.0,0.0,-0.0056608328006628,-0.0002830416400331,0.9284920634920636,-0.654,0.0,0.0,0.0,0.0,-0.0081470536111111,-0.0002036763402777,0.8534920634920633,-0.6672727272727272,0.0,0.0,0.0,0.0,-0.0076409523569023,-0.0004584571414141
2026-03-14,Cole_Young,702284,hitter,SEA,LAA,2026,831747,8,136,108,0,700712.0,Walbert_Ureña,2.0,3.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,2.0,0.125,0.432,0.432,0.2,17.0,60.84,9.0,7.3125,4.751020408163265,1.038888888888889,-3.0,85.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,3.5,0.5,0.5,1.5,1.5,3.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.047834183673469255,-0.6801833333333334,0.3414010204081632,0.024944444444444436,-0.16684897959183687,1.4,3.6,0.8,0.6,1.4,1.0,1.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.0,1.0,0.0,0.1333333333333333,0.7671329365079368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8371800595238096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.788169642857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8612456597222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8387847222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-15,Cole_Young,702284,hitter,SEA,CIN,2026,831890,9,136,113,1,682227.0,,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,0.081081081081081,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.747402597402598,1.0722222222222222,-4.0,86.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.002559118960713924,-0.4886371178715807,-0.23844941724801105,-0.337212146421875,0.37883292733259255,1.4,2.6,0.4,0.2,1.0,2.0,3.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.3,0.05,0.9425,0.0,0.1617271874999999,0.8643773849607181,-0.8000000000000002,0.0,0.0,0.0,0.0,-0.0119284079124579,-0.0011928407912457,0.9033493265993264,-0.8400000000000001,0.0,0.0,0.0,0.0,-0.0130895317424242,-0.0020943250787878,0.8483585858585858,-1.0,0.0,0.0,0.0,0.0,-0.0146341856060606,-0.000731709280303,0.8923603395061728,-0.8400000000000001,0.0,0.0,0.0,0.0,-0.0129303013194444,-0.0003232575329861,0.8585061728395061,-1.0,0.0,0.0,0.0,0.0,-0.0148092314814814,-0.0008885538888888
