Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-04,Collin_Price,805672,hitter,HOU,BAL,2026,831642,0,117,110,0,669358.0,Shane_Baz,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,0.0285714285714285,0.0,0.0,0.0,0.0,10.0,4.1,8.2,0.0,1.08,-8.0,84.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.5,-0.5,-0.5,-0.4744,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Collin_Price,805672,hitter,HOU,MIA,2026,831582,1,117,146,0,645261.0,Sandy_Alcantara,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0333333333333333,0.0,0.0,0.0,0.0,10.0,4.1,8.2,1.0,1.05,0.0,80.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.487,-0.5,-0.5,-0.484,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Collin_Price,805672,hitter,HOU,WSH,2026,831524,2,117,120,1,676917.0,Cade_Cavalli,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,0.024390243902439,0.69,0.69,0.0,0.0,65.0,4.1,8.2,4.0,1.08,0.0,84.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.34707967479674795,-0.2662158536585366,-0.26301829268292687,-0.4744,-0.35731707317073175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8874999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Collin_Price,805672,hitter,HOU,MIA,2026,831523,3,117,146,1,663978.0,Chris_Paddack,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,0.0512820512820512,0.445,0.445,0.0,0.0,53.4,0.0,13.5,0.6,1.08,0.0,77.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.5,-0.34792430211111114,-0.12069475653044881,-0.4745234058478009,-0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.05,0.9425,0.0,0.0617271875,-0.8636574074074073,-0.994,0.0,0.0,0.0,0.0,-0.004936233912037,-0.0004936233912037,-0.9013888888888888,-0.994,0.0,0.0,0.0,0.0,-0.0051518881944444,-0.0008243021111111,-0.8458333333333332,-0.5899999999999999,0.0,0.0,0.0,0.0,-0.0028694895833333,-0.0001434744791666,-0.8636574074074074,-0.994,0.0,0.0,0.0,0.0,-0.004936233912037,-0.0001234058478009,-0.8324074074074073,-0.79,0.0,0.0,0.0,0.0,-0.0037812106481481,-0.0002268726388888
2026-03-09,Collin_Price,805672,hitter,HOU,STL,2026,831516,4,117,138,1,690916.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.024390243902439,0.89,0.89,0.0,0.0,65.0,4.1,8.2,1.125,1.08,-6.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.16141300813008114,0.11878414634146339,-0.1267682926829269,-0.4744,-0.11106707317073172,0.25,0.25,0.25,0.0,0.25,1.0,1.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.0,1.0,0.0,0.0666666666666666,-0.6244965277777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6955208333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.53828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7940277777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5119965277777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,Collin_Price,805672,hitter,HOU,BAL,2026,831617,5,117,110,1,694370.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0227272727272727,0.69,0.69,0.0,0.0,65.0,4.1,8.2,2.43956043956044,1.08,0.0,84.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,5.817515817518881e-05,0.11996818181818181,0.10286438561438571,-0.4744,-0.30129470529470526,0.4,0.4,0.4,0.0,0.2,1.0,1.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.0,1.0,0.0,0.0833333333333333,-0.026472222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1984999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7264722222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,Collin_Price,805672,hitter,HOU,MIA,2026,831561,6,117,146,0,676974.0,Max_Meyer,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.03125,0.0,0.0,0.0,0.0,10.0,0.0,12.0,2.816326530612245,1.05,-14.0,84.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.3169249103164403,-0.33569853133603894,-0.1691848525988519,-0.4841939534895833,-0.4794883752086554,0.4,0.4,0.6,0.0,0.2,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,0.1971362433862432,-0.8034090909090911,0.0,0.0,0.0,0.0,-0.001821382075968,-0.0001821382075968,-0.0456746031746032,-0.8749431818181819,0.0,0.0,0.0,0.0,-0.0004595708502435,-7.353133603896118e-05,0.2357142857142857,-0.930965909090909,0.0,0.0,0.0,0.0,-0.0025235825892857,-0.0001261791294642,-0.6814351851851852,-0.99,0.0,0.0,0.0,0.0,-0.0077581395833333,-0.0001939534895833,0.0873148148148147,-0.9079545454545456,0.0,0.0,0.0,0.0,-0.0009116956544612,-5.470173926767672e-05
2026-03-12,Collin_Price,805672,hitter,HOU,WSH,2026,831510,7,117,120,1,663623.0,Jake_Irvin,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0285714285714285,0.0,0.0,0.0,0.0,10.0,4.1,8.2,0.9,1.08,0.0,78.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.22093333333333337,-0.32415000000000005,-0.3482500000000001,-0.4744,-0.5,0.4,0.4,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.0,1.0,0.0,0.1166666666666666,0.2446825396825394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0245238095238097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2580357142857141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7365674603174603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015138888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-13,Collin_Price,805672,hitter,HOU,STL,2026,831567,8,117,138,0,681517.0,Kyle_Leahy,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0285714285714285,0.0,0.0,0.0,0.0,10.0,6.75,7.3125,0.9642857142857143,1.05,-10.0,72.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.21643939000385015,-0.33855,-0.49303571428571435,-0.484,-0.5,0.4,0.4,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.1,0.8855330085889912,0.0,0.1574855539781182,-0.3212760416666667,-0.0535192307692309,0.0,0.0,0.0,0.0,-0.0005248524194529,-5.248524194529508e-05,-0.4456770833333333,0.1132596153846153,0.0,0.0,0.0,0.0,0.0,0.0,-0.1962239583333333,0.4783814102564102,0.0,0.0,0.0,0.0,0.0,0.0,-0.7779166666666667,0.4202307692307692,0.0,0.0,0.0,0.0,0.0,0.0,-0.2525260416666668,0.3918589743589743,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14,Collin_Price,805672,hitter,HOU,NYM,2026,831508,9,117,121,1,642547.0,Freddy_Peralta,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0285714285714285,0.89,0.89,0.0,0.0,65.0,6.0,12.0,1.0607142857142857,1.08,0.0,78.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.5,-0.048317228351175245,-0.01874759924309849,-0.4746536250329861,-0.4394393067891077,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.05,0.9425,0.0,0.1617271874999999,-0.393410493827161,-0.2066538461538461,0.0,0.0,0.0,0.0,-0.00140242140625,-0.000140242140625,-0.5278703703703707,-0.4579711538461539,0.0,0.0,0.0,0.0,-0.004170177194845,-0.0006672283511752,-0.3180555555555559,-0.1214391025641025,0.0,0.0,0.0,0.0,-0.0006662705762553,-3.331352881276711e-05,-0.8100771604938272,-0.7260000000000001,0.0,0.0,0.0,0.0,-0.0101450013194444,-0.0002536250329861,-0.445493827160494,-0.1627051282051281,0.0,0.0,0.0,0.0,-0.0012503512470322,-7.50210748219373e-05
