Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-01,Connor_Phillips,683175,pitcher,CIN,ATH,2026,831899,0,113,133,0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,71.0,42.85714285714285,0.315,0.225,1.0611111111111111,4.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.4644444444444444,-0.38849999999999996,-0.4964999999999993,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-05,Connor_Phillips,683175,pitcher,CIN,LAD,2026,831810,1,113,119,1,0.0,0.0,3.0,27.0,1.0,7.0,29.0,2.0,2.0,0.0,9.2,9.2,45.0,0.0,0.37520227920227917,0.17225853304284677,1.08,12.0,76.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.893931735657226,-0.10398974358974367,2.064092307692307,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-09,Connor_Phillips,683175,pitcher,CIN,ATH,2026,831943,2,113,133,1,0.0,1.0,1.0,6.75,1.3333333333333333,5.0,19.0,1.0,1.0,1.0,13.7,13.7,57.99999999999999,15.789473684210526,0.35510864197530867,0.19746098299557416,1.08,-6.0,78.0,0,4.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,1.5,13.5,2.5,1.5,13.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-2.1923121360354068,0.3655888888888892,-0.9072749999999985,0.5,1.5,13.5,0.0,3.0,27.0
2026-03-13,Connor_Phillips,683175,pitcher,CIN,SF,2026,831759,3,113,137,1,0.0,0.0,0.0,0.0,1.0,3.0,13.0,0.0,0.0,0.0,3.2,3.2,69.0,0.0,0.27991170634920637,0.21394393301087014,1.08,5.0,86.0,0,4.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,1.5,11.2,2.5,1.5,11.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.800448535913039,-0.4127973214285714,-1.4151758928571425,0.6666666666666666,1.3333333333333333,11.25,1.0,1.0,6.75
2026-03-15,Connor_Phillips,683175,pitcher,CIN,SEA,2026,831890,4,113,136,0,0.0,3.0,0.0,0.0,1.0,3.0,18.0,0.0,0.0,0.0,-2.8,-2.8,67.0,50.0,0.3020025252525252,0.25151240169388994,1.0722222222222222,-4.0,86.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,8.4,2.5,0.5,8.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.7567896753377694,0.28101136363636325,-1.3708977272727312,0.5,1.0,8.4375,0.0,0.0,0.0
2026-03-18,Connor_Phillips,683175,pitcher,CIN,COL,2026,831866,5,113,115,1,0.0,2.0,0.0,0.0,1.0,4.0,13.0,0.0,1.0,0.0,-0.7999999999999998,-0.7999999999999998,85.0,46.15384615384615,0.32541249092229485,0.21790738106527577,1.08,0.0,97.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,6.8,2.5,0.5,6.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.2487409514777938,0.2479562091503269,-0.06839411764705794,1.0,0.8,6.75,3.0,0.0,0.0
2026-03-21,Connor_Phillips,683175,pitcher,CIN,CWS,2026,831916,6,113,145,1,0.0,1.0,0.0,0.0,1.0,4.0,15.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,67.0,20.0,0.35896278490028494,0.21869488536155202,1.08,5.0,101.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,6.8,2.5,0.5,6.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.2384409171075839,0.3989325320512823,1.2903927884615412,1.2,0.8,6.75,2.0,0.0,0.0
2026-03-22,Connor_Phillips,683175,pitcher,CIN,CLE,2026,831896,7,113,114,0,0.0,1.0,0.0,0.0,1.0,3.0,16.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,56.00000000000001,18.75,0.40771180054513384,0.16828110161443496,1.08,0.0,95.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.6377511870845203,0.18630310245310244,4.676727922077922,1.4,0.2,1.35,1.0,0.0,0.0
2026-03-26,Connor_Phillips,683175,pitcher,CIN,BOS,2026,824541,8,113,111,1,0.0,1.0,2.0,27.0,0.6666666666666666,5.0,16.0,1.0,2.0,0.0,4.7,4.7,63.0,18.75,0.3438757936507937,0.19285714285714284,1.08,0.0,81.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.4411428571428573,-0.2449589285714283,1.943054464285718,1.4,0.0,0.0,1.0,0.0,0.0
2026-03-28,Connor_Phillips,683175,pitcher,CIN,BOS,2026,824540,9,113,111,1,0.0,3.0,0.0,0.0,2.0,5.0,23.0,0.0,0.0,0.0,0.2000000000000001,0.2000000000000001,70.0,39.130434782608695,0.35193690476190476,0.16547619047619047,1.08,0.0,49.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,5.4,2.5,0.5,5.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.5161904761904765,0.3993160714285715,-1.3530776785714282,1.6,0.4,5.4,1.0,2.0,27.0
