Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Cooper_Ingle,694876,hitter,CLE,AZ,2026,831888,0,114,109,0,647336.0,Michael_Soroka,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0227272727272727,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.0611111111111111,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.3399242424242424,-0.5,-0.5,-0.48044444444444445,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,Cooper_Ingle,694876,hitter,CLE,TEX,2026,831874,1,114,140,0,596295.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0294117647058823,0.0,0.0,0.0,0.0,10.0,4.1,8.2,7.7142857142857135,1.0611111111111111,5.0,84.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.2001932773109244,-0.5,-0.4104768907563026,-0.48044444444444445,-0.3726974789915967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Cooper_Ingle,694876,hitter,CLE,LAA,2026,831826,2,114,108,1,672282.0,Reid_Detmers,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.027027027027027,0.0,0.0,0.0,0.0,10.0,6.0,6.0,6.87,1.08,0.0,69.0,0,4.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.1884036036036036,-0.5,-0.465695945945946,-0.47442657578124997,-0.41771621621621624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.05,0.9425,0.0,0.0450605208333333,-1.0,0.6755,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,-0.6875,0.4046666666666668,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,-0.29,0.0,0.0,0.0,0.0,-0.00106303125,-2.657578125e-05,-0.8124999999999999,0.3296666666666667,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Cooper_Ingle,694876,hitter,CLE,KC,2026,831881,3,114,118,0,686701.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0263157894736842,0.69,0.69,0.0,0.0,65.0,4.1,8.2,4.05,1.0611111111111111,-5.0,77.0,0,3.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.38452542684347585,-0.27406405956140356,-0.2482396885964912,-0.48058053077256946,-0.35280304407894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.05,0.9425,0.0,0.0617271875,-0.9562499999999998,-0.9875000000000002,0.0,0.0,0.0,0.0,-0.00542970703125,-0.000542970703125,-0.9708333333333332,-0.99,0.0,0.0,0.0,0.0,-0.00552646875,-0.000884235,-0.7,-0.7333333333333333,0.0,0.0,0.0,0.0,-0.0029516666666666,-0.0001475833333333,-0.95625,-0.99,0.0,0.0,0.0,0.0,-0.005443453125,-0.000136086328125,-0.8374999999999999,-0.8666666666666667,0.0,0.0,0.0,0.0,-0.0041735416666666,-0.0002504125
2026-03-10,Cooper_Ingle,694876,hitter,CLE,SF,2026,831758,4,114,137,1,693313.0,Carson_Seymour,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.027027027027027,0.0,0.0,0.0,0.0,10.0,4.1,8.2,5.2993006993007,1.08,9.0,73.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.34256490896490893,-0.5,-0.5,-0.4744,-0.4962511812511813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.0,1.0,0.0,0.0666666666666666,-0.6020833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7312500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5437500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9145833333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8270833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14,Cooper_Ingle,694876,hitter,CLE,SD,2026,831877,5,114,135,0,601713.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0277777777777777,0.0,0.0,0.0,0.0,10.0,4.1,8.2,0.9107142857142858,1.0722222222222222,6.0,87.0,0,4.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.455404761904762,-0.5,-0.5,-0.4768888888888889,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.05,0.9425,0.0,0.0950605208333333,-0.4451388888888887,0.952,0.0,0.0,0.0,0.0,0.0,0.0,-0.6291666666666667,0.964,0.0,0.0,0.0,0.0,0.0,0.0,-0.3874999999999999,0.6994285714285714,0.0,0.0,0.0,0.0,0.0,0.0,-0.9451388888888888,0.964,0.0,0.0,0.0,0.0,0.0,0.0,-0.8388888888888888,0.8137142857142857,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,Cooper_Ingle,694876,hitter,CLE,SEA,2026,824423,6,114,136,1,622491.0,Luis_Castillo,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,5.0,0.0967741935483871,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,4.588235294117648,7.764705882352941,4.316326530612245,1.08,-3.0,70.0,0,104.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,real,real,synthetic,synthetic,0.0,5.0,6.0,0.0,0.0,-110.0,0.0,0.0,-110.0,-110.0,-110.0,0.0,0.0,-110.0,-110.0,0.0,0.4472135954999579,0.0,0.0,0.0,2026-06-27T01:11:02.474098+00:00,-0.27159083504369486,-1.3941725806451613,-0.36899818959842007,-0.4744,-0.39437722185648455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.8,0.4600232508098196,0.0,0.3349177214206377,-0.9562499999999998,0.2439488876128947,0.0,0.0,0.0,0.0,0.0,0.0,-0.9708333333333332,0.2670685214511248,0.0,0.0,0.0,0.0,0.0,0.0,-0.7104166666666665,0.2776213791998536,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.2793324942607925,0.0,0.0,0.0,0.0,0.0,0.0,-0.8437499999999999,0.3197204476792091,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-27,Cooper_Ingle,694876,hitter,CLE,SEA,2026,824421,7,114,136,1,669302.0,Logan_Gilbert,1.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,2.0,6.0,0.0967741935483871,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,1.4022556390977445,10.575187969924812,4.316326530612245,1.08,-7.0,75.0,0,1.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,real,real,real,synthetic,0.0,6.0,4.0,7.0,0.0,-110.0,113.309323,159.420136,675.274139,-110.0,-110.0,-104.143553,-220.0,0.0,-110.0,0.0,0.5163977794943223,0.0,0.0,0.0,2026-06-27T13:01:31.487963+00:00,-0.3912584343539444,-1.3668293285079756,-0.343019889482296,-0.4744523260393753,-0.3757886729855837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.95,0.3547130512426462,0.0,0.4078869353283036,-0.5354563492063492,-0.3072148155073774,0.0,1.0,0.0,0.0,-0.0247682826498934,-0.0024768282649893,-0.6899603174603175,-0.1598367267634119,0.0,1.0,0.0,0.0,-0.0166046741425895,-0.0026567478628143,-0.4341269841269841,-0.2106217934542237,0.0,1.0,0.0,0.0,-0.0137673310108542,-0.0006883665505427,-0.9521230158730158,-0.0146000762779749,0.0,1.0,0.0,0.0,-0.0020930415750144,-5.2326039375361993e-05,-0.8405158730158729,-0.1858827157843208,0.0,1.0,0.0,0.0,-0.0235241854849881,-0.0014114511290992
2026-06-28,Cooper_Ingle,694876,hitter,CLE,SEA,2026,824422,8,114,136,1,676106.0,Emerson_Hancock,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,2.0,7.0,0.0952380952380952,0.345,0.345,0.0,0.0,41.4,7.9125000000000005,6.675,3.0306122448979593,1.08,0.0,79.0,0,1.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.045853409797628086,-0.08120612781285758,-0.3926907453131952,-0.4744,0.16537208063953723,0.2,0.2,0.0,0.0,0.4,1.0,1.0,0.0,0.0,2.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.85,0.4663090838821068,0.0,0.3822788999741089,-0.930972222222222,-0.1022247257020638,0.0,2.0,0.0,0.0,-0.0135441333162378,-0.0013544133316237,-0.9518749999999998,-0.051032502569373,0.0,2.0,0.0,0.0,-0.0069132988303601,-0.0011061278128576,-0.7208333333333332,-0.1406329794079792,0.0,2.0,0.0,0.0,-0.0144271511618639,-0.0007213575580931,-0.9309722222222222,0.0007411460792756,0.0,2.0,0.0,0.0,0.0,0.0,-0.8247222222222221,-0.0935102316602314,0.0,2.0,0.0,0.0,-0.0109755267560148,-0.0006585316053608
2026-06-30,Cooper_Ingle,694876,hitter,CLE,TEX,2026,824418,9,114,140,1,594798.0,Jacob_deGrom,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,5.0,0.125,0.0,0.0,0.0,0.0,10.0,5.0,11.0,7.510714285714286,1.08,10.0,90.0,0,2.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.04009199505432787,-0.3463053295682483,-0.033041348866207076,-0.4744,0.0008437522743337533,0.2,0.2,0.2,0.0,0.4,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.85,0.4311977762605176,0.0,0.4026015315468736,-0.9511111111111112,-0.3288534324343404,0.0,3.0,0.0,0.0,-0.0533723314956601,-0.005337233149566,-0.9633333333333334,-0.1313742850392311,0.0,3.0,0.0,0.0,-0.0215958098015522,-0.0034553295682483,-0.7638888888888888,-0.1268983380909129,0.0,3.0,0.0,0.0,-0.0165412630384274,-0.0008270631519213,-0.9073611111111112,0.0588760555602239,0.0,3.0,0.0,0.0,0.0,0.0,-0.8094444444444444,-0.0834951818692962,0.0,3.0,0.0,0.0,-0.011532700189679,-0.0006919620113807
