Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Daniel_Vazquez,694187,hitter,KC,MIL,2026,831794,0,118,158,1,694477.0,Chad_Patrick,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0285714285714285,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.0611111111111111,2.0,87.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.3360000000000001,-0.5,-0.5,-0.48044444444444445,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,Daniel_Vazquez,694187,hitter,KC,LAA,2026,831840,1,118,108,0,680570.0,Grayson_Rodriguez,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,9.0,0.054054054054054,0.0,0.0,0.0,0.0,10.0,4.1,8.2,3.0,1.038888888888889,0.0,88.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.3445405405405405,-0.5,-0.5,-0.4875555555555555,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Daniel_Vazquez,694187,hitter,KC,TEX,2026,831733,2,118,140,1,669022.0,MacKenzie_Gore,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,9.0,0.0714285714285714,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,4.1,8.2,3.8571428571428568,1.0611111111111111,19.0,70.0,0,3.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.35804761904761906,-0.4309166666666667,-0.4638928571428573,-0.48044444444444445,-0.44714285714285723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8874999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Daniel_Vazquez,694187,hitter,KC,CIN,2026,831897,3,118,113,1,666157.0,Nick_Lodolo,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.025,0.0,0.0,0.0,0.0,10.0,4.1,8.2,9.45,1.0611111111111111,-11.0,75.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.17925000000000002,-0.5,-0.32925000000000004,-0.48044444444444445,-0.2911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Daniel_Vazquez,694187,hitter,KC,CWS,2026,831848,4,118,145,0,663855.0,Jordan_Hicks,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,9.0,0.081081081081081,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,0.0,9.0,0.0,1.0611111111111111,-9.0,85.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.4681441441441443,-0.2868761261261262,-0.4814211711711712,-0.48044444444444445,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.0,1.0,0.0,0.0666666666666666,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.90625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,Daniel_Vazquez,694187,hitter,KC,SEA,2026,831836,5,118,136,0,681867.0,Cooper_Criswell,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0833333333333333,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,0.0,3.0,13.744897959183675,1.0722222222222222,-5.0,75.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.6193916851653267,0.014281754501010213,0.5429770363844522,-0.4770074958425926,0.1698332721235356,0.2,0.2,0.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.05,0.9425,0.0,0.0950605208333333,-0.9537777777777778,-0.2599090909090909,0.0,0.0,0.0,0.0,-0.0023756653535353,-0.0002375665353535,-0.9653333333333332,-0.4289431818181818,0.0,0.0,0.0,0.0,-0.0039682010353535,-0.0006349121656565,-0.875,-0.8376325757575755,0.0,0.0,0.0,0.0,-0.0070238981613005,-0.000351194908065,-0.9100277777777778,-0.5439999999999999,0.0,0.0,0.0,0.0,-0.0047442781481481,-0.0001186069537037,-0.8787777777777777,-0.814621212121212,0.0,0.0,0.0,0.0,-0.0068604305941358,-0.0004116258356481
2026-03-12,Daniel_Vazquez,694187,hitter,KC,SD,2026,831839,6,118,135,0,608566.0,Germán_Márquez,1.0,1.0,2.0,0.0,1.0,4.0,3.0,1.0,0.0,8.0,0.0869565217391304,0.395,0.395,0.0,0.0,47.400000000000006,6.75,9.0,0.7999999999999999,1.0722222222222222,4.0,85.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.26582608695652166,0.31716188569646686,-0.3687045024435058,-0.4775314657094702,-0.5,0.6,0.6,0.2,0.0,0.0,2.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.1,0.7147747564417434,0.0,0.1262440092335886,-0.8781481481481481,0.3749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.908611111111111,-0.055625,0.0,0.0,0.0,0.0,-0.0028831419333137,-0.0004613027093302,-0.8645833333333333,-0.109375,0.0,0.0,0.0,0.0,-0.0053943966962027,-0.0002697198348101,-0.8343981481481482,-0.54,0.0,0.0,0.0,0.0,-0.0257030728232523,-0.0006425768205813,-0.796898148148148,-0.0125,0.0,0.0,0.0,0.0,-0.0005682386709916,-3.4094320259501985e-05
2026-03-14,Daniel_Vazquez,694187,hitter,KC,ATH,2026,831850,7,118,133,0,682052.0,Jacob_Lopez,1.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,5.0,0.09375,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,13.5,4.5,4.804730983302412,1.0611111111111111,0.0,87.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.6610017393320964,0.3629583333333334,0.4787782158317875,-0.48044444444444445,0.011486549165120707,0.8,0.8,0.6,0.0,0.2,1.0,1.0,2.0,0.0,1.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.05,0.9425,0.0,0.1283938541666666,-0.7895634920634919,0.98125,0.0,0.0,0.0,0.0,0.0,0.0,-0.8354761904761903,0.985,0.0,0.0,0.0,0.0,0.0,0.0,-0.794642857142857,0.9037037037037036,0.0,0.0,0.0,0.0,0.0,0.0,-0.808313492063492,0.985,0.0,0.0,0.0,0.0,0.0,0.0,-0.7145634920634919,0.9518518518518518,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-15,Daniel_Vazquez,694187,hitter,KC,CWS,2026,831913,8,118,145,1,696146.0,Hagen_Smith,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.025,0.89,0.89,0.0,0.0,65.0,4.1,8.2,3.0,1.0611111111111111,-6.0,86.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.43408333333333327,0.5753833333333334,0.20174999999999987,-0.48044444444444445,0.08540000000000003,1.0,1.0,0.6,0.0,0.4,1.0,1.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.0,1.0,0.0,0.1333333333333333,-0.4276128472222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5618229166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4714843749999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7668055555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.511987847222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18,Daniel_Vazquez,694187,hitter,KC,TEX,2026,831833,9,118,140,0,677958.0,Kumar_Rocker,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,9.0,0.0857142857142857,0.0,0.0,0.0,0.0,10.0,4.5,11.25,4.661538461538462,1.0611111111111111,0.0,95.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.3847051282051279,-0.6348166666666667,-0.1481730769230769,-0.48044444444444445,-0.18712307692307684,1.2,1.2,0.6,0.0,0.4,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.0,1.0,0.0,0.15,-0.0449316578483244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2477116402116401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0587301587301585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7322993827160493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1839197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
