Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1
2026-03-01,Dansby_Swanson,hitter,CHC,CWS,2026,831914,0,112,145,1,1.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.05405405405405406,0.445,0.445,0.0,0.0,53.4,4.1,8.2,4.0,1.0277777777777777,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.010126126126126067,-0.49111111111111116,-0.3959324324324324,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-03,Dansby_Swanson,hitter,CHC,ITA,2026,831853,1,112,841,1,1.0,1.0,1.0,3.0,3.0,0.0,0.0,4.0,0.07142857142857142,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,4.1,8.2,4.0,1.0277777777777777,3.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.0076666666666667105,-0.16611111111111115,-0.299,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-05,Dansby_Swanson,hitter,CHC,AZ,2026,831961,2,112,109,1,2.0,1.0,2.0,3.0,3.0,0.0,0.0,4.0,0.075,0.9966666666666667,0.9966666666666667,1.0,30.0,65.0,0.0,9.0,4.248701298701299,1.0277777777777777,-10.0,79.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.031135281385281433,0.28388888888888875,0.306635064935065,1.0,0.5,0.5,1.0,1.0,1.0
2026-03-07,Dansby_Swanson,hitter,CHC,ATH,2026,831949,3,112,133,1,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.08571428571428572,0.0,0.0,0.0,0.0,10.0,0.0,13.5,7.6875,1.0277777777777777,-9.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,0.5,1.0,1.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.25016666666666687,0.07555555555555549,0.19217499999999998,1.3333333333333333,0.6666666666666666,1.0,2.0,1.0,2.0
2026-03-08,Dansby_Swanson,hitter,CHC,SF,2026,831757,4,112,137,1,2.0,0.0,1.0,3.0,2.0,1.0,0.0,4.0,0.08108108108108109,1.1933333333333334,1.1933333333333334,1.5,30.0,65.0,16.875,6.75,5.116541353383458,1.0277777777777777,0.0,86.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.017684176657860817,0.30888888888888877,-0.07382158097947589,1.0,0.5,0.75,0.0,0.0,0.0
2026-03-11,Dansby_Swanson,hitter,CHC,KC,2026,831849,5,112,118,1,0.0,0.0,0.0,3.0,2.0,1.0,0.0,4.0,0.07142857142857142,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,27.0,4.5,4.700371057513915,1.0277777777777777,0.0,77.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.47334817563389,-0.2111111111111112,-0.2009814471243042,1.2,0.4,0.8,2.0,0.0,1.0
2026-03-12,Dansby_Swanson,hitter,CHC,SEA,2026,831754,6,112,136,1,0.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,0.08108108108108109,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,16.5,12.0,9.078761939558431,1.0277777777777777,0.0,87.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.08166033322847344,-0.2111111111111112,-0.1307105516707271,1.0,0.4,0.8,0.0,0.0,0.0
2026-03-15,Dansby_Swanson,hitter,CHC,LAD,2026,831814,7,112,119,1,0.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0,0.0625,0.0,0.0,0.0,0.0,10.0,1.6875,11.8125,5.186434573829532,1.0277777777777777,0.0,85.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.40062595038015203,-0.35111111111111115,-0.05217827130852337,0.8,0.2,0.6,0.0,0.0,0.0
2026-03-17,Dansby_Swanson,hitter,CHC,LAA,2026,831831,8,112,108,1,1.0,0.0,1.0,4.0,4.0,0.0,1.0,4.0,0.09302325581395349,0.3175,0.3175,0.25,21.25,49.35,3.0,6.0,2.4798861852433283,1.0277777777777777,7.0,92.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.08727296678957808,-0.37548611111111113,-0.32836034190062424,0.4,0.0,0.2,0.0,0.0,0.0
2026-03-20,Dansby_Swanson,hitter,CHC,CIN,2026,831902,9,112,113,1,1.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0,0.07142857142857142,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,9.0,12.0,6.159987071751778,1.0277777777777777,0.0,100.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.21606614953673775,-0.49111111111111116,0.11999935358758895,0.6,0.0,0.4,1.0,0.0,1.0
