Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-04,Dietrich_Enns,pitcher,BAL,HOU,2026,831642,0,110,117,1,2.0,0.0,0.0,1.0,4.0,14.0,0.0,1.0,0.0,-0.7999999999999998,-0.7999999999999998,79.0,42.857142857142854,0.27146759259259257,0.30340557275541796,1.08,-8.0,84.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-05T00:29:23.363893+00:00,0.015244582043343335,-0.5,-1.5,2.0,0.0,0.0,2.0,0.0,0.0
2026-03-07,Dietrich_Enns,pitcher,BAL,MIN,2026,831630,1,110,142,1,2.0,1.0,9.0,1.0,5.0,21.0,0.0,2.0,0.0,-0.7999999999999998,-0.7999999999999998,76.0,28.57142857142857,0.28787400145243286,0.23159181695767062,1.08,-10.0,82.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-05T00:29:23.363893+00:00,-0.5592654643386352,-0.49696699346405204,-1.4727029411764683,2.0,0.0,0.0,2.0,0.0,0.0
2026-03-14,Dietrich_Enns,pitcher,BAL,PIT,2026,831562,2,110,134,0,0.0,1.0,5.4,1.6666666666666665,6.0,26.0,1.0,1.0,0.0,5.0,5.0,57.99999999999999,0.0,0.3086574074074074,0.2574705387205387,1.08,-8.0,80.0,0,7.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,4.5,2.5,0.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-05T00:29:23.363893+00:00,-0.35223569023569024,0.11655833333333332,-1.1705849999999995,2.0,0.5,4.5,2.0,1.0,9.0
2026-03-18,Dietrich_Enns,pitcher,BAL,TOR,2026,831600,3,110,141,0,2.0,0.0,0.0,1.0,6.0,33.0,2.0,1.0,0.0,5.2,5.2,45.0,18.181818181818183,0.21269168291098114,0.3259792626728111,1.08,14.0,61.0,0,4.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,4.8,2.5,0.5,4.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-05T00:29:23.363893+00:00,-0.5641658986175115,-0.19528742690058476,-2.0575868421052625,1.3333333333333333,0.6666666666666666,4.8,0.0,1.0,5.4
2026-03-20,Dietrich_Enns,pitcher,BAL,NYY,2026,831603,4,110,147,0,1.0,0.0,0.0,0.6666666666666666,4.0,21.0,2.0,0.0,0.0,9.2,9.2,48.0,14.285714285714285,0.2067607668067227,0.33275613275613275,1.08,-6.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,3.6,2.5,0.5,3.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-05T00:29:23.363893+00:00,-0.1099509379509378,-0.5,-3.6,1.5,0.5,3.6,2.0,0.0,0.0
2026-03-23,Dietrich_Enns,pitcher,BAL,WSH,2026,831546,5,110,120,0,2.0,0.0,0.0,1.0,3.0,15.0,0.0,0.0,0.0,-0.7999999999999998,-0.7999999999999998,60.0,40.0,0.2364657738095238,0.2354371416871417,1.08,-15.0,56.0,0,3.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,2.9,2.5,0.5,2.9,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-05T00:29:23.363893+00:00,-1.1005028665028664,-0.44030401785714285,-2.3627361607142854,1.4,0.4,2.88,1.0,0.0,0.0
2026-03-28,Dietrich_Enns,pitcher,BAL,MIN,2026,824862,6,110,142,1,1.0,1.0,5.4,1.6666666666666665,7.0,33.0,1.0,1.0,0.0,3.8000000000000003,3.8000000000000003,52.0,9.090909090909092,0.37224845679012347,0.20798348937883823,1.08,-9.0,46.0,0,5.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,2.9,2.5,0.5,2.9,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-05T00:29:23.363893+00:00,-1.1801320849692942,0.17071805555555575,0.7218775000000015,1.4,0.4,2.88,2.0,0.0,0.0
2026-03-30,Dietrich_Enns,pitcher,BAL,TEX,2026,824863,7,110,140,1,4.0,0.0,0.0,1.6666666666666665,7.0,34.0,1.0,1.0,0.0,0.19999999999999973,0.19999999999999973,53.0,35.294117647058826,0.30778504273504276,0.29049654049654056,1.08,8.0,70.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,2.2,2.5,0.5,2.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-05T00:29:23.363893+00:00,-0.8040276760276757,0.04063269230769251,0.7194165384615396,1.2,0.4,2.16,1.0,1.0,5.4
2026-04-03,Dietrich_Enns,pitcher,BAL,PIT,2026,823406,8,110,134,0,2.0,1.0,9.0,1.0,6.0,39.0,3.0,0.0,0.0,8.2,8.2,51.0,15.384615384615385,0.28640488215488213,0.24912578083309786,1.08,16.0,75.0,0,4.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-05T00:29:23.363893+00:00,-0.13899375333521746,-0.3595780303030303,-0.2362022727272728,2.0,0.2,1.08,4.0,0.0,0.0
2026-05-02,Dietrich_Enns,pitcher,BAL,NYY,2026,823554,9,110,147,0,1.0,0.0,0.0,1.0,3.0,14.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,71.0,21.428571428571427,0.26838024691358026,0.21818181818181817,1.08,8.0,63.0,0,29.0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,2.5,0.5,2.9,2.5,0.5,2.9,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-05-05T00:29:23.363893+00:00,-0.6665454545454548,-0.1366888888888888,0.369800000000001,2.0,0.4,2.88,2.0,1.0,9.0
