Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-03,Dominic_Canzone,686527,hitter,ITA,CHC,2026,831853,0,841,112,0,690990.0,,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0,0.0714285714285714,0.0,0.0,0.0,0.0,10.0,4.1,8.2,27.0,1.0277777777777777,3.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.6076666666666666,-0.5,0.6167500000000001,-0.49111111111111116,0.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Dominic_Canzone,686527,hitter,ITA,LAA,2026,831844,1,841,108,0,815083.0,Mitch_Farris,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,4.0,0.1111111111111111,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.3999999999999995,1.038888888888889,-3.0,81.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.23733333333333334,-0.5,-0.46325000000000005,-0.4875555555555555,-0.44233333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,-0.9562499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9708333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6583333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8124999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-20,Dominic_Canzone,686527,hitter,SEA,CLE,2026,831743,2,136,114,0,671106.0,Logan_Allen,4.0,7.0,3.0,1.0,5.0,7.0,7.0,0.0,0.0,4.0,0.1186440677966101,0.6814285714285714,0.6814285714285714,0.4285714285714285,30.0,65.0,4.1,8.2,1.7967032967032968,1.08,7.0,98.0,0,16.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.23132508847085115,0.3471378934624696,-0.20913759545539218,-0.2922571428571429,-0.35921084000745024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.05,0.9425,0.0,0.0450605208333333,-1.0,0.6296875,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.70375,0.0,0.0,0.0,0.0,0.0,0.0,-0.6875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.70375,0.0,0.0,0.0,0.0,0.0,0.0,-0.8124999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-22,Dominic_Canzone,686527,hitter,SEA,CWS,2026,831746,3,136,145,0,680732.0,Sean_Burke,1.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,4.0,0.1212121212121212,0.405,0.405,0.5,30.0,65.0,6.964285714285714,8.357142857142858,7.275824175824176,1.0611111111111111,3.0,95.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,2.5,0.5,0.5,1.5,1.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.4273576423576426,0.7288636363636365,0.9760184815184818,0.052888888888888874,0.7681699966699975,1.3333333333333333,2.3333333333333335,1.0,0.3333333333333333,1.6666666666666667,4.0,7.0,3.0,1.0,5.0,batter_pitcher_profile_network_v2,0.1,0.1,0.7770885415338079,0.0,0.0754806653662108,-0.4172288359788361,0.2391987577639751,0.0,0.0,0.0,0.0,0.0,0.0,-0.3686507936507937,0.16843400621118,0.0,0.0,0.0,0.0,0.0,0.0,-0.3607142857142858,0.3574107142857142,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029431216931217,0.1429875776397515,0.0,0.0,0.0,0.0,0.0,0.0,-0.4377645502645503,0.3472619047619047,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,Dominic_Canzone,686527,hitter,SEA,SD,2026,831735,4,136,135,0,608566.0,Germán_Márquez,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0512820512820512,0.0,0.0,0.0,0.0,10.0,12.600000000000001,10.200000000000001,2.4750000000000005,1.0722222222222222,0.0,92.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,2.5,0.5,0.5,1.5,1.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.44494871794871793,-0.58107970810537,0.12511538461538452,-0.30184948395644917,-0.7589204103751983,1.25,2.5,1.0,0.25,1.25,1.0,3.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.2,0.8618750000000001,0.0,0.1155507291666666,-0.184982638888889,0.0769894179894179,0.0,0.0,0.0,0.0,0.0,0.0,0.0111855158730157,0.1099887566137565,0.0,0.0,0.0,0.0,2.2657674769447728e-05,3.6252279631116368e-06,-0.1746403769841272,0.4146373456790123,0.0,0.0,0.0,0.0,0.0,0.0,0.6524801587301587,0.1311693121693121,0.0,0.0,0.0,0.0,0.0015761972975893,3.940493243973257e-05,0.0474578373015871,0.4175617283950616,0.0,0.0,0.0,0.0,0.0003649552851557,2.1897317109344308e-05
2026-03-26,Dominic_Canzone,686527,hitter,SEA,CLE,2026,823163,5,136,114,1,676440.0,Tanner_Bibee,2.0,8.0,2.0,2.0,2.0,4.0,4.0,0.0,0.0,7.0,0.1176470588235294,1.05,1.05,1.5,30.0,65.0,8.319327731092438,9.48472116119175,3.1895604395604393,1.08,5.0,52.0,0,3.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.2240208693267517,2.0376205882352942,0.543963316095669,0.11572796633550908,0.4998309631544927,1.0,2.0,0.8,0.2,1.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.2,0.819931914823399,0.0,0.13324500142016,-0.3229166666666665,0.5291191749427042,0.0,1.0,0.0,0.0,0.0,0.0,-0.213095238095238,0.5963292589763177,0.0,1.0,0.0,0.0,0.0,0.0,-0.35,0.3200053475935828,0.0,1.0,0.0,0.0,0.0,0.0,0.2860119047619048,0.5963292589763177,0.0,1.0,0.0,0.0,0.005118653420362,0.000127966335509,-0.3048809523809523,0.5200053475935829,0.0,1.0,0.0,0.0,0.0,0.0
2026-03-27,Dominic_Canzone,686527,hitter,SEA,CLE,2026,823162,6,136,114,1,668909.0,Gavin_Williams,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,7.0,0.0909090909090909,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,4.632467532467532,10.39090909090909,3.2142857142857144,1.08,-7.0,52.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,3.5,1.5,0.5,1.5,1.5,3.5,1.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.3075044107338929,-0.04807775881500698,-0.4035680019741805,0.14572621696926602,-0.18432879581094075,1.4,3.6,1.2,0.6,1.4,2.0,8.0,2.0,2.0,2.0,batter_pitcher_profile_network_v2,0.2,0.2,0.8146318346878622,0.0,0.1500415200501473,0.3928819444444446,0.0685989850485647,0.0,2.0,0.0,0.0,0.0009991827043626,9.991827043626992e-05,0.5456845238095239,0.1543195050747571,0.0,2.0,0.0,0.0,0.0031219619516563,0.000499513912265,0.3872767857142858,-0.1082930035650623,0.0,2.0,0.0,0.0,-0.0015548446784124,-7.774223392062234e-05,0.7944444444444445,0.1714150933100512,0.0,2.0,0.0,0.0,0.0050486787706423,0.000126216969266,0.4803819444444445,0.0447584670231729,0.0,2.0,0.0,0.0,0.0007971260947147,4.782756568288208e-05
2026-03-28,Dominic_Canzone,686527,hitter,SEA,CLE,2026,823161,7,136,114,1,676282.0,Joey_Cantillo,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0222222222222222,0.0,0.0,0.0,0.0,10.0,4.928571428571428,10.357142857142856,3.4285714285714284,1.08,-6.0,53.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,3.5,1.5,0.5,1.5,1.5,3.5,1.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.6737376928108852,-1.346342144195758,-0.55753157384691,-0.05398108832261578,-0.6430357928542839,1.4,3.6,1.4,0.6,1.4,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.1,0.8527834043735862,0.0,0.1412200699630902,0.3678174603174602,-0.0712906231216189,0.0,3.0,0.0,0.0,-0.0009007376326606,-9.00737632660662e-05,0.5126568405139833,0.2630563263874975,0.0,3.0,0.0,0.0,0.0046324321098449,0.0007411891375751,0.3129204459561602,0.5393154761904762,0.0,3.0,0.0,0.0,0.0057970944903721,0.0002898547245186,0.6849801587301587,0.7121490683229813,0.0,3.0,0.0,0.0,0.0167564670953712,0.0004189116773842,0.3742658730158729,0.5215399385560676,0.0,3.0,0.0,0.0,0.0067050397301884,0.0004023023838113
2026-03-29,Dominic_Canzone,686527,hitter,SEA,CLE,2026,823160,8,136,114,1,677944.0,Slade_Cecconi,1.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,0.0952380952380952,0.4975,0.4975,0.3333333333333333,28.33333333333333,65.0,0.75,8.25,2.8703007518796997,1.08,0.0,43.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.07428341394618887,-0.5125987965380334,0.19577956824653253,-0.040554783071563905,-0.11645375629544952,0.6,2.2,0.8,0.4,0.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.2,0.8150000000000001,0.0,0.1833658333333333,0.1665513392857143,-0.4001412337662339,0.0,3.0,0.0,0.0,-0.003287773547102,-0.0003287773547102,0.3402455357142857,-0.4184415584415585,0.0,3.0,0.0,0.0,-0.0070237283627087,-0.0011237965380333,0.120814732142857,-0.3706904761904761,0.0,3.0,0.0,0.0,-0.0022093869490504,-0.0001104693474525,0.5784375,-0.4505844155844156,0.0,3.0,0.0,0.0,-0.0128579895292207,-0.0003214497382305,0.1725781249999998,-0.4283095238095237,0.0,3.0,0.0,0.0,-0.0036465648239087,-0.0002187938894345
2026-03-30,Dominic_Canzone,686527,hitter,SEA,NYY,2026,823159,9,136,147,1,677960.0,Ryan_Weathers,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0263157894736842,0.0,0.0,0.0,0.0,10.0,10.872727272727273,10.672727272727272,2.0571428571428574,1.08,0.0,48.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.16459580762594034,-0.05197592139499441,-0.014707230625210232,-0.19382062958727103,-0.3863530790939387,0.6,2.0,0.8,0.4,0.4,1.0,2.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.15,0.799674600526344,0.0,0.1878059792153284,0.371284722222222,0.449939393939394,0.0,4.0,0.0,0.0,0.0100396453172658,0.0010039645317265,0.4987202380952379,0.549939393939394,0.0,4.0,0.0,0.0,0.0164827281233901,0.0026372364997424,0.2750248015873012,0.6385782351820088,0.0,4.0,0.0,0.0,0.0105546356160964,0.0005277317808048,0.7012037037037038,0.549939393939394,0.0,4.0,0.0,0.0,0.0231748165091612,0.000579370412729,0.3004513888888887,0.7775719458738327,0.0,4.0,0.0,0.0,0.0140401604644306,0.0008424096278658
