Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-10,Drew_Gilbert,hitter,SF,CLE,2026,831758,0,137,114,0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,9.0,0.07692307692307693,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,22.5,3.1223901098901097,1.08,9.0,73.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,-0.2512941391941391,0.37415,-0.4570407509157509,-0.4744,-0.45741895604395605,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-11,Drew_Gilbert,hitter,SF,KC,2026,831762,1,137,118,0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.07692307692307693,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,27.0,4.5,4.700371057513915,1.0611111111111111,6.0,79.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,0.7307584320441465,0.3650833333333333,-0.2981417035345606,-0.48044444444444445,-0.37851990866276575,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-13,Drew_Gilbert,hitter,SF,CIN,2026,831891,2,137,113,1,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,6.0,0.11428571428571428,0.0,0.0,0.0,0.0,10.0,11.25,6.75,5.430587557603687,1.038888888888889,0.0,91.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,0.7477235023041473,0.2617166666666667,-0.42772062211981565,-0.4875555555555555,-0.38707062211981563,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-16,Drew_Gilbert,hitter,SF,SD,2026,831751,3,137,135,0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,2.0,6.0,0.10526315789473684,0.1725,0.1725,0.0,0.0,20.7,4.1,8.2,5.055644355644356,1.0722222222222222,0.0,88.0,0,3.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,0.28229594966437077,-0.0011776315789473468,-0.3629612032704138,-0.4768888888888889,-0.36467830853357164,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18,Drew_Gilbert,hitter,SF,LAD,2026,831761,4,137,119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,12.0,7.704701235332843,1.0611111111111111,0.0,96.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,-0.037811950586686294,-0.30241666666666667,-0.1380149382333578,-0.48044444444444445,-0.4077649382333578,0.5,0.5,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03-19,Drew_Gilbert,hitter,SF,COL,2026,831756,5,137,115,0,3.0,5.0,2.0,0.0,0.0,6.0,5.0,1.0,0.0,1.0,0.13043478260869565,0.6816666666666666,0.6816666666666666,0.4,30.0,65.0,6.0,11.25,5.384801228183582,1.0611111111111111,6.0,98.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,0.039964512895459325,0.564768115942029,0.1432545541628022,-0.30544444444444446,-0.1658686342429948,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-20,Drew_Gilbert,hitter,SF,TEX,2026,831749,6,137,140,0,2.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.13513513513513514,0.356,0.356,0.0,0.0,42.72,6.0,12.0,4.252040816326531,1.0611111111111111,0.0,101.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,0.6700636146350434,0.13935090090090108,0.4494223110865968,-0.48044444444444445,-0.31467904026475446,0.8,1.2,0.6,0.0,0.0,3.0,5.0,2.0,0.0,0.0
2026-03-21,Drew_Gilbert,hitter,SF,CLE,2026,831873,7,137,114,1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.05263157894736842,0.0,0.0,0.0,0.0,10.0,6.0,17.400000000000002,3.6107142857142853,1.038888888888889,3.0,96.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,0.21513032581453628,-0.41760964912280696,-0.1623984962406015,-0.4875555555555555,-0.5,1.0,1.4,0.6,0.0,0.0,2.0,2.0,0.0,0.0,0.0
2026-03-22,Drew_Gilbert,hitter,SF,SAC,2026,831752,8,137,105,0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,6.0,0.08571428571428572,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,4.0,1.08,0.0,81.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,0.4090666666666667,-0.50825,0.011916666666666687,-0.4744,-0.4032,1.0,1.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,Drew_Gilbert,hitter,SF,MTY,2026,831786,9,137,562,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.02631578947368421,0.89,0.89,0.0,0.0,65.0,4.1,8.2,4.0,1.08,0.0,62.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-05-07T20:20:56.248297+00:00,-0.4909157894736842,-0.042113157894736686,0.10540789473684209,-0.4744,-0.29505263157894734,1.2,1.6,0.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0
