Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-02,Dylan_Carlson,hitter,CHC,CIN,2026,831930,0,112,113,0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,0.06976744186046512,0.96,0.96,0.5,30.0,65.0,4.1,8.2,13.5,1.08,0.0,86.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,2.5,1.5,0.5,0.5,1.5,2.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.7489581395348841,0.7848360465116277,1.0276569767441859,-0.2744,0.2520465116279069,2.0,3.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0
2026-03-04,Dylan_Carlson,hitter,CHC,MIL,2026,831929,1,112,158,0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.08571428571428572,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,4.714285714285714,1.0722222222222222,-4.0,80.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.5,2.5,1.5,0.5,0.5,1.5,2.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.38923809523809516,-0.09998333333333331,0.2736309523809528,-0.4768888888888889,-0.36748571428571425,2.0,3.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0
2026-03-06,Dylan_Carlson,hitter,CHC,SD,2026,831921,2,112,135,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,0.08333333333333333,0.0,0.0,0.0,0.0,10.0,9.0,18.0,4.4625,1.0722222222222222,9.0,67.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.6549999999999998,-0.13608333333333356,0.1648750000000001,-0.4768888888888889,-0.471875,1.5,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-08,Dylan_Carlson,hitter,CHC,SF,2026,831757,3,112,137,1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,8.0,0.05405405405405406,0.345,0.345,0.0,0.0,41.4,16.875,6.75,5.116541353383458,1.0277777777777777,0.0,86.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.47795444692813105,-0.5874729729729731,0.07710184244394769,-0.49111111111111116,-0.3701053647632595,1.0,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,Dylan_Carlson,hitter,CHC,KC,2026,831849,4,112,118,1,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,7.0,0.07142857142857142,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,27.0,4.5,4.700371057513915,1.0277777777777777,0.0,77.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.38734817563389,0.3065833333333333,0.08143521954236255,-0.49111111111111116,-0.3159814471243042,0.75,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-12,Dylan_Carlson,hitter,CHC,SEA,2026,831754,5,112,136,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,6.0,0.08108108108108109,0.0,0.0,0.0,0.0,10.0,16.5,12.0,9.078761939558431,1.0277777777777777,0.0,87.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.42233966677152657,0.2201238738738739,0.23685025914008384,-0.49111111111111116,-0.24371055167072708,0.8,1.0,0.6,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2026-03-14,Dylan_Carlson,hitter,CHC,COL,2026,831928,6,112,115,0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,0.08571428571428572,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,0.0,6.73109243697479,1.0611111111111111,0.0,84.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.5252436974789916,-0.13731666666666664,-0.09752871148459386,-0.48044444444444445,-0.26664537815126044,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-16,Dylan_Carlson,hitter,CHC,CLE,2026,831924,7,112,114,0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,0.08108108108108109,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,15.0,2.3291208791208793,1.08,6.0,90.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.23057930897930895,0.006690540540540635,-0.03546512721512718,-0.4744,-0.4921926046926047,0.4,0.4,0.4,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2026-03-17,Dylan_Carlson,hitter,CHC,LAA,2026,831831,8,112,108,1,1.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,8.0,0.09302325581395349,0.2225,0.2225,0.0,0.0,26.7,3.0,6.0,2.4798861852433283,1.0277777777777777,7.0,92.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.3632729667895781,0.08528972868217055,0.024328611587747795,-0.49111111111111116,-0.4928603419006243,0.6,0.6,0.6,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2026-03-20,Dylan_Carlson,hitter,CHC,ATH,2026,831931,9,112,133,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,5.0,0.08333333333333333,0.0,0.0,0.0,0.0,10.0,0.0,12.75,6.393506493506494,1.0611111111111111,0.0,96.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.3387402597402598,0.11458333333333326,-0.024574675324675332,-0.48044444444444445,-0.07932467532467524,0.8,0.8,0.6,0.0,0.2,1.0,1.0,0.0,0.0,1.0
2026-03-21,Dylan_Carlson,hitter,CHC,SEA,2026,831923,10,112,136,0,2.0,5.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,6.0,0.07142857142857142,0.9966666666666667,0.9966666666666667,1.0,30.0,65.0,3.4285714285714284,6.857142857142857,4.894105894105894,1.0722222222222222,7.0,101.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.30857375957375954,1.4914166666666666,0.2956219613719614,-0.1518888888888889,-0.029294705294705237,0.6,0.6,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2026-03-22,Dylan_Carlson,hitter,CHC,MIL,2026,831789,11,112,158,1,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.045454545454545456,0.345,0.345,0.0,0.0,41.4,0.0,3.0,3.935112989477316,1.0277777777777777,0.0,96.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.9322227013972744,0.26846969696969714,0.17452837674659294,-0.2511111111111112,-0.007289805071588662,1.0,1.6,0.6,0.2,0.4,2.0,5.0,1.0,1.0,1.0
2026-03-23,Dylan_Carlson,hitter,CHC,NYY,2026,831780,12,112,147,1,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,9.0,0.09090909090909091,0.0,0.0,0.0,0.0,10.0,3.0,9.0,3.897252747252747,1.0277777777777777,0.0,93.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.2675264735264735,-0.6611439393939395,-0.3078419080919081,-0.35111111111111115,0.0767717282717284,0.8,1.4,0.4,0.2,0.6,0.0,0.0,0.0,0.0,1.0
2026-03-24,Dylan_Carlson,hitter,CHC,NYY,2026,831779,13,112,147,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.02702702702702703,0.0,0.0,0.0,0.0,10.0,0.0,12.0,4.5133241758241756,1.0277777777777777,0.0,91.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.09707063657063658,-0.8549031531531532,-0.46552973715473717,-0.35111111111111115,-0.12755000742500738,0.6,1.2,0.2,0.2,0.6,0.0,0.0,0.0,0.0,0.0
2026-04-05,Dylan_Carlson,hitter,CHC,CLE,2026,824459,14,112,114,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,9.0,4.078092959671907,1.08,0.0,44.0,0,12.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.3344762816131237,0.016649999999999943,-0.5,-0.33440000000000003,-0.3170953520164046,0.4,1.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0
2026-04-05,Dylan_Carlson,hitter,CHC,CLE,2026,824460,15,112,114,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,9.0,0.075,0.0,0.0,0.0,0.0,10.0,3.0,9.0,4.078092959671907,1.08,0.0,44.0,0,0.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.22422628161312358,0.09854999999999992,-0.1788453520164046,-0.33440000000000003,-0.22889535201640465,0.4,1.0,0.4,0.2,0.4,0.0,0.0,1.0,0.0,0.0
2026-04-06,Dylan_Carlson,hitter,CHC,TB,2026,823002,16,112,139,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.02857142857142857,0.0,0.0,0.0,0.0,10.0,1.2857142857142856,10.6987012987013,6.728571428571429,1.08,0.0,72.0,0,1.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.41272554112554116,-0.5,-0.3728214285714286,-0.4744,-0.28697142857142854,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
