Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Eliezer_Alfonzo,672613,hitter,LAD,LAA,2026,831827,0,119,108,1,672282.0,Reid_Detmers,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.05,0.445,0.445,0.0,0.0,53.4,4.1,8.2,4.0,1.0611111111111111,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.5201666666666667,0.4024333333333333,-0.3655,-0.48044444444444445,-0.4007,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Eliezer_Alfonzo,672613,hitter,LAD,CLE,2026,831811,1,119,114,0,676282.0,Joey_Cantillo,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,9.0,0.0769230769230769,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,5.142857142857143,1.08,-5.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.5865245421245422,0.37415,-0.3560173992673993,-0.4744,-0.35639560439560436,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,0.9711111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4783333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5851388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0711111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Eliezer_Alfonzo,672613,hitter,LAD,CIN,2026,831810,2,119,113,0,683742.0,Jose_Franco,2.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0612244897959183,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,4.1,8.2,5.4,1.08,12.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.5457333333333332,0.4905071428571428,0.26022619047619044,-0.4744,-0.273,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,0.4102430555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0760416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1265625000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6840277777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1335069444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Eliezer_Alfonzo,672613,hitter,LAD,COL,2026,831863,3,119,115,1,807743.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.05,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.928571428571429,1.0611111111111111,-4.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.12735714285714272,-0.45114999999999994,0.0028452380952380674,-0.48044444444444445,-0.4877714285714285,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.0,0.0,2.0,2.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,0.873148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6081018518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0481481481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Eliezer_Alfonzo,672613,hitter,LAD,ATH,2026,831812,4,119,133,0,682052.0,Jacob_Lopez,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0263157894736842,0.0,0.0,0.0,0.0,10.0,4.1,8.2,15.828208556149733,1.0611111111111111,0.0,85.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.8044792194389718,0.03632017543859645,0.3013183225443288,-0.48044444444444445,0.02935779622853929,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.0,1.0,0.0,0.0666666666666666,0.5653645833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1453124999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1554687499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7229166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3346354166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,Eliezer_Alfonzo,672613,hitter,LAD,AZ,2026,831956,5,119,109,1,694297.0,Brandon_Pfaadt,1.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,9.0,0.0833333333333333,0.4233333333333333,0.4233333333333333,0.3333333333333333,28.33333333333333,65.0,0.0,3.8571428571428577,4.938311688311688,1.0611111111111111,-7.0,73.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.47776787536315535,0.5649684384761906,-0.03254423247705229,-0.3263685102108135,-0.32133414768465074,0.8,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.05,0.9425,0.0,0.0950605208333333,0.2044444444444444,-0.3782857142857143,0.0,0.0,0.0,0.0,-0.0007411597883597,-7.411597883597884e-05,-0.1566666666666666,-0.4782857142857142,0.0,0.0,0.0,0.0,-0.0007180928571428,-0.0001148948571428,-0.1825,-0.4934391534391533,0.0,0.0,0.0,0.0,-0.0008630045194003,-4.3150225970017626e-05,-0.7918055555555555,-0.4782857142857142,0.0,0.0,0.0,0.0,-0.0036292973214285,-9.073243303571429e-05,-0.6730555555555555,-0.6452910052910054,0.0,0.0,0.0,0.0,-0.0041622016705859,-0.0002497321002351
2026-03-13,Eliezer_Alfonzo,672613,hitter,LAD,SEA,2026,831801,6,119,136,0,807739.0,Kade_Anderson,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,9.0,0.0697674418604651,0.0,0.0,0.0,0.0,10.0,4.1,8.2,8.592857142857143,1.0722222222222222,0.0,87.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.5973489546314033,0.36905778608570183,-0.09972377705045682,-0.4769728804832176,0.014391851525393906,0.8,1.0,0.4,0.0,0.2,1.0,2.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,0.374363425925926,-0.5965,0.0,0.0,0.0,0.0,-0.0025680395109953,-0.0002568039510995,0.0362268518518518,-0.6739999999999999,0.0,0.0,0.0,0.0,-0.0002807943287037,-4.492709259259263e-05,-0.0421874999999999,-0.9733333333333332,0.0,0.0,0.0,0.0,-0.0004722187499999,-2.361093749999996e-05,-0.433449074074074,-0.6739999999999999,0.0,0.0,0.0,0.0,-0.0033596637731481,-8.399159432870371e-05,-0.4429976851851851,-0.9733333333333332,0.0,0.0,0.0,0.0,-0.0049586207561728,-0.0002975172453703
2026-03-15,Eliezer_Alfonzo,672613,hitter,LAD,TEX,2026,831727,7,119,140,1,657022.0,,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,9.0,0.0909090909090909,0.0,0.0,0.0,0.0,10.0,4.1,8.2,2.9472527472527474,1.0611111111111111,0.0,86.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.11680754252293324,-0.017365121825311913,-0.4835187121360257,-0.4805357448611111,-0.4031989283949383,0.6,0.8,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.05,0.9425,0.0,0.1283938541666666,0.0964227357609708,-0.404,0.0,0.0,0.0,0.0,-0.0005226433687363,-5.226433687363825e-05,-0.2044351073762839,-0.5039999999999999,0.0,0.0,0.0,0.0,-0.0013823901960784,-0.0002211824313725,-0.3137605042016808,-0.8399999999999999,0.0,0.0,0.0,0.0,-0.0035360808823529,-0.0001768040441176,-0.540079365079365,-0.5039999999999999,0.0,0.0,0.0,0.0,-0.0036520166666666,-9.130041666666663e-05,-0.696031746031746,-0.8399999999999999,0.0,0.0,0.0,0.0,-0.0078442777777777,-0.0004706566666666
2026-03-16,Eliezer_Alfonzo,672613,hitter,LAD,MIL,2026,831785,8,119,158,1,694477.0,Chad_Patrick,1.0,2.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,9.0,0.0666666666666666,0.4233333333333333,0.4233333333333333,0.3333333333333333,28.33333333333333,65.0,5.25,12.0,4.062009419152276,1.0611111111111111,0.0,90.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.31751962323390903,0.29888333333333317,-0.3533161957090529,-0.3262777777777778,-0.2484995290423863,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.1,0.7559143667485326,0.0,0.1590733823406638,-0.1312500000000001,0.1813333333333334,0.0,0.0,0.0,0.0,0.0,0.0,-0.3850694444444446,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.4890625000000001,0.3307777777777778,0.0,0.0,0.0,0.0,0.0,0.0,-0.6200520833333334,0.1083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.8192708333333334,0.3902222222222223,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18,Eliezer_Alfonzo,672613,hitter,LAD,SF,2026,831761,9,119,137,1,694738.0,Landen_Roupp,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,7.0,0.0588235294117647,0.0,0.0,0.0,0.0,10.0,3.0,9.0,0.7857142857142857,1.0611111111111111,0.0,96.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.006503007937547545,0.2260083013866656,-0.5,-0.48080242968240766,0.042303446889541685,0.4,0.8,0.0,0.0,0.6,1.0,2.0,0.0,0.0,2.0,batter_pitcher_profile_network_v2,0.3,0.15,0.7981009526419165,0.0,0.1878348949952047,-0.1482387278582931,-0.4479090909090909,0.0,0.0,0.0,0.0,-0.0040216760141312,-0.0004021676014131,-0.3193505099302201,-0.5849431818181818,0.0,0.0,0.0,0.0,-0.011314537901968,-0.0018103260643148,-0.5097826086956523,-0.3322588383838383,0.0,0.0,0.0,0.0,-0.0102592847092415,-0.000512964235462,-0.3377314814814815,-0.7,0.0,0.0,0.0,0.0,-0.0143194095185285,-0.0003579852379632,-0.6671296296296296,-0.4779343434343434,0.0,0.0,0.0,0.0,-0.0193122997401319,-0.0011587379844079
