Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-20,Enyel_De_Los_Santos,pitcher,HOU,MIA,2026,831505,0,117,146,1,1.0,0.0,0.0,1.0,3.0,11.0,1.0,0.0,0.0,4.2,4.2,55.00000000000001,27.27272727272727,0.20525578703703704,0.24074074074074078,1.08,-15.0,75.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-1.3460740740740738,-0.5,-1.5,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-23,Enyel_De_Los_Santos,pitcher,HOU,SUG,2026,831443,1,117,5434,1,3.0,0.0,0.0,1.0,4.0,18.0,0.0,1.0,0.0,-2.8,-2.8,78.0,50.0,0.315,0.225,1.08,11.0,80.0,0,3.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-1.472,-0.3748999999999999,-0.374099999999999,1.0,0.0,0.0,1.0,0.0,0.0
2026-04-06,Enyel_De_Los_Santos,pitcher,HOU,COL,2026,824376,2,117,115,0,0.0,0.0,0.0,1.0,4.0,8.0,0.0,1.0,0.0,3.2,3.2,88.0,0.0,0.22482659932659932,0.3617052881758764,1.0477777777777777,-12.0,65.0,0,14.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,0.6345311942958998,-0.5,-1.5,2.0,0.0,0.0,3.0,0.0,0.0
2026-04-08,Enyel_De_Los_Santos,pitcher,HOU,COL,2026,824374,3,117,115,0,2.0,1.0,4.5,2.0,9.0,42.0,1.0,2.0,1.0,9.2,9.2,60.0,14.285714285714285,0.3265550505050505,0.19873737373737374,1.0477777777777777,-13.0,71.0,0,2.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-1.5692121212121213,-0.3461022727272727,-0.8074602272727271,1.3333333333333333,0.0,0.0,0.0,0.0,0.0
2026-04-10,Enyel_De_Los_Santos,pitcher,HOU,SEA,2026,823156,4,117,136,0,1.0,0.0,0.0,1.0,4.0,10.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,70.0,30.0,0.1584861111111111,0.3007943427298266,1.08,0.0,64.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.36564525816138715,-0.5,-1.5,1.5,0.25,1.125,2.0,1.0,4.5
2026-04-12,Enyel_De_Los_Santos,pitcher,HOU,SEA,2026,823154,5,117,136,0,0.0,0.0,0.0,1.3333333333333333,4.0,13.0,0.0,0.0,0.0,3.2,3.2,69.0,0.0,0.30149579124579123,0.2922740922740923,1.08,0.0,56.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.6458072618072617,-0.29166893939393934,-0.09376534090909061,1.4,0.2,0.9,1.0,0.0,0.0
2026-04-14,Enyel_De_Los_Santos,pitcher,HOU,COL,2026,824210,6,117,115,1,1.0,0.0,0.0,0.3333333333333333,1.0,5.0,0.0,0.0,0.0,-2.8,-2.8,60.0,60.0,0.2651111111111111,0.28134674922600617,1.08,0.0,73.0,0,2.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-1.017226006191951,-0.4554000000000001,-0.29580000000000206,1.2,0.2,0.9,0.0,0.0,0.0
2026-04-15,Enyel_De_Los_Santos,pitcher,HOU,COL,2026,824209,7,117,115,1,2.0,0.0,0.0,1.0,3.0,14.0,0.0,0.0,0.0,-0.7999999999999998,-0.7999999999999998,79.0,42.857142857142854,0.3033247863247863,0.3057425540595675,1.08,0.0,73.0,0,1.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-0.97005956752346,-0.2834384615384615,0.4490538461538467,0.8,0.2,0.9,1.0,0.0,0.0
2026-04-19,Enyel_De_Los_Santos,pitcher,HOU,STL,2026,824205,8,117,138,1,1.0,0.0,0.0,1.0,4.0,19.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,74.0,15.789473684210526,0.35952592592592597,0.21564072783584978,1.08,0.0,73.0,0,4.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-1.2628741773132017,-0.030533333333333024,2.7252000000000027,1.2,0.2,0.9,2.0,0.0,0.0
2026-04-21,Enyel_De_Los_Santos,pitcher,HOU,CLE,2026,824448,9,117,114,0,0.0,3.0,81.0,0.3333333333333333,4.0,15.0,1.0,2.0,0.0,12.2,12.2,60.0,0.0,0.29485185185185186,0.24884261890149187,1.08,11.0,69.0,0,2.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T01:24:12.839809+00:00,-1.281259048788065,-0.4655666666666665,-0.5702999999999958,1.0,0.0,0.0,1.0,0.0,0.0
