Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-03,Eric_Wagaman,676572,hitter,MIN,TB,2026,831641,0,142,139,1,811315.0,Brody_Hopkins,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.05405405405405406,0.345,0.345,0.0,0.0,41.4,4.1,8.2,4.05,1.08,0.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.31547387387387377,-0.38907297297297294,-0.3328918918918919,-0.4744,-0.42343243243243245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Eric_Wagaman,676572,hitter,MIN,BAL,2026,831630,1,142,110,0,700249.0,Cade_Povich,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,4.0,0.09090909090909091,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,5.34,1.08,-10.0,82.0,0,4.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.20503030303030295,-0.3705772727272727,-0.2785378787878788,-0.4744,-0.3300909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.0,1.0,0.0,0.016666666666666666,-0.2809722222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4091666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11874999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7184722222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019027777777777644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Eric_Wagaman,676572,hitter,MIN,ATL,2026,831569,2,142,144,0,471911.0,Carlos_Carrasco,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,6.0,0.075,0.0,0.0,0.0,0.0,10.0,4.1,8.2,3.214285714285714,1.08,0.0,84.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.17588809523809523,-0.07144999999999996,-0.5,-0.4744,-0.04408571428571423,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.0,1.0,0.0,0.03333333333333333,0.12482638888888885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1614583333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2515624999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7506944444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17517361111111124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,Eric_Wagaman,676572,hitter,MIN,TB,2026,831618,3,142,139,0,571927.0,Steven_Matz,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,0.08108108108108109,0.0,0.0,0.0,0.0,10.0,4.1,8.2,3.5875939849624063,1.0611111111111111,0.0,85.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.05797371807898116,-0.31720945945945944,-0.5,-0.48044444444444445,-0.29160228273386163,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9249999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.85625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-12,Eric_Wagaman,676572,hitter,MIN,BOS,2026,831622,4,142,111,1,813349.0,Connelly_Early,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.024390243902439025,0.69,0.69,0.0,0.0,65.0,0.0,9.818181818181818,6.272644507195591,1.08,0.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.18149732538722213,-0.11202270404586256,-0.1295356696664558,-0.47455101017361107,-0.0739873721953409,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.05,0.9425,0.0,0.07839385416666667,-0.6817550505050505,-0.7927237762237762,0.0,0.0,0.0,0.0,-0.004143399692069294,-0.00041433996920692945,-0.7839015151515152,-0.839083041958042,0.0,0.0,0.0,0.0,-0.005042814920787861,-0.0008068503873260579,-0.5068181818181818,-0.7700335081585081,0.0,0.0,0.0,0.0,-0.0029920468661704456,-0.0001496023433085223,-0.9090277777777778,-0.8667272727272728,0.0,0.0,0.0,0.0,-0.006040406944444444,-0.00015101017361111112,-0.7652777777777777,-0.8593764568764569,0.0,0.0,0.0,0.0,-0.0050420730731459895,-0.00030252438438875935
2026-03-13,Eric_Wagaman,676572,hitter,MIN,TOR,2026,831623,5,142,141,0,664074.0,Cody_Ponce,1.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,4.0,0.09302325581395349,0.395,0.395,0.0,0.0,47.400000000000006,2.25,6.0,4.202881152460985,1.08,11.0,73.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.04350216538915824,-0.2006895662489011,-0.010895285011543576,-0.4746635268174043,-0.219463030282319,0.2,0.2,0.2,0.0,0.2,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.1,0.8722747564417435,0.0,0.10764796756692196,-0.3688888888888891,-0.12088888888888899,0.0,0.0,0.0,0.0,-0.0009493086744267336,-9.493086744267337e-05,-0.5416666666666667,-0.3636805555555556,0.0,0.0,0.0,0.0,-0.0041935099858650005,-0.0006709615977384001,-0.3112500000000002,-0.7505416666666666,0.0,0.0,0.0,0.0,-0.004972899203485278,-0.00024864496017426395,-0.8184722222222223,-0.605,0.0,0.0,0.0,0.0,-0.010541072696174247,-0.0002635268174043562,-0.5601388888888889,-0.7022777777777777,0.0,0.0,0.0,0.0,-0.008373945709626723,-0.0005024367425776033
2026-03-15,Eric_Wagaman,676572,hitter,MIN,BOS,2026,831615,6,142,111,0,664918.0,Kyle_Keller,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.04878048780487805,0.79,0.79,0.0,0.0,65.0,12.0,3.0,11.625318953492329,1.08,-11.0,84.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.6657867418795307,0.19341829268292687,0.40197936230876286,-0.4744,0.21863180133315308,0.4,0.4,0.2,0.0,0.2,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.0,1.0,0.0,0.1,-0.4816666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5966666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3406250000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7906944444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4347916666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-16,Eric_Wagaman,676572,hitter,MIN,PIT,2026,831506,7,142,134,1,663562.0,Noah_Davis,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.02631578947368421,0.0,0.0,0.0,0.0,10.0,8.892857142857142,9.321428571428571,5.387048665620094,1.08,0.0,83.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.06249106204522015,-0.18661315789473681,-0.39272647422655316,-0.4744,-0.49270019829794265,0.4,0.4,0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.05,0.9425,0.0,0.12839385416666665,0.010208333333333104,-0.26770488721804514,0.0,0.0,0.0,0.0,-3.6665344709429e-05,-3.6665344709429e-06,-0.2049801587301589,0.06875469924812025,0.0,0.0,0.0,0.0,0.0,0.0,0.17207341269841253,0.11433302005012536,0.0,0.0,0.0,0.0,0.00026395511200055967,1.3197755600027983e-05,-0.7429166666666667,0.5047744360902255,0.0,0.0,0.0,0.0,0.0,0.0,-0.05973214285714297,0.16326942355889726,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-17,Eric_Wagaman,676572,hitter,MIN,PHI,2026,831554,8,142,143,0,666200.0,Jesús_Luzardo,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.09090909090909091,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,15.0,4.246472799646175,1.08,-13.0,55.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.44298674516945047,-0.12337486373687523,-0.2052449660397488,-0.4747003310185185,-0.38501471761791217,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.05,0.9425,0.0,0.14506052083333332,-0.17213724415204668,-0.815909090909091,0.0,0.0,0.0,0.0,-0.0021535412499446207,-0.00021535412499446209,-0.36737390350877186,-0.8849431818181819,0.0,0.0,0.0,0.0,-0.00498494381001628,-0.0007975910096026048,-0.043050986842105204,-0.930965909090909,0.0,0.0,0.0,0.0,-0.0006145446835750589,-3.072723417875295e-05,-0.7834722222222222,-1.0,0.0,0.0,0.0,0.0,-0.012013240740740741,-0.00030033101851851857,-0.29623263888888896,-0.9079545454545455,0.0,0.0,0.0,0.0,-0.004124141821864479,-0.0002474485093118687
2026-03-20,Eric_Wagaman,676572,hitter,MIN,TOR,2026,831604,9,142,141,1,453286.0,Max_Scherzer,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,5.0,0.09090909090909091,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,5.946428571428571,3.2496075353218212,1.08,0.0,73.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.32978818522286013,0.13868302663940968,-0.26516310555207034,-0.47557637509623446,-0.43590658807846133,0.6,0.6,0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.1,0.6790165042944956,0.0,0.1766820478223924,-0.04621562850729534,-0.5491373626373627,0.0,0.0,0.0,0.0,-0.002443845882811279,-0.0002443845882811279,-0.28507996632996646,-0.6237527472527472,0.0,0.0,0.0,0.0,-0.017123128958235367,-0.002739700633317659,0.03633207070707059,-0.6036904761904761,0.0,0.0,0.0,0.0,-0.0021120706056521926,-0.00010560353028260964,-0.7834104938271604,-0.6237527472527472,0.0,0.0,0.0,0.0,-0.0470550038493787,-0.0011763750962344676,-0.30435956790123453,-0.7370238095238095,0.0,0.0,0.0,0.0,-0.021600929227389088,-0.0012960557536433452
