Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-13,Erik_Miller,669062,pitcher,SF,CIN,2026,831891,0,137,113,1,0.0,3.0,0.0,0.0,1.0,4.0,20.0,0.0,1.0,0.0,-2.8,-2.8,60.0,45.0,0.33595370370370364,0.24266975308641978,1.038888888888889,0.0,91.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.4058024691358022,-0.31020833333333353,0.20812499999999856,3.0,0.0,0.0,3.0,0.0,0.0
2026-03-18,Erik_Miller,669062,pitcher,SF,LAD,2026,831761,1,137,119,0,0.0,0.0,0.0,0.0,1.0,3.0,13.0,0.0,0.0,0.0,3.2,3.2,69.0,0.0,0.4083333333333334,0.23206539873206541,1.0611111111111111,0.0,96.0,0,5.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.3120787454120788,0.031500000000000306,3.2835000000000027,3.0,0.0,0.0,3.0,0.0,0.0
2026-03-21,Erik_Miller,669062,pitcher,SF,CLE,2026,831873,2,137,114,1,0.0,1.0,0.0,0.0,1.0,4.0,14.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,71.0,21.428571428571427,0.35328628161961495,0.19920116194626,1.038888888888889,3.0,96.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.4419462599854755,-0.23221173271173262,0.9100944055944065,1.5,0.0,0.0,0.0,0.0,0.0
2026-03-23,Erik_Miller,669062,pitcher,SF,MTY,2026,831786,3,137,562,1,0.0,1.0,0.0,0.0,1.0,3.0,11.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,73.0,27.27272727272727,0.315,0.225,1.08,0.0,62.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.232,-0.3748999999999999,-0.374099999999999,1.3333333333333333,0.0,0.0,1.0,0.0,0.0
2026-03-27,Erik_Miller,669062,pitcher,SF,NYY,2026,823243,4,137,147,1,0.0,0.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,3.2,3.2,70.0,0.0,0.40470023148148154,0.20961538461538465,1.08,6.0,64.0,0,4.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.415076923076923,0.028751041666667088,3.258759375000004,1.25,0.0,0.0,1.0,0.0,0.0
2026-03-28,Erik_Miller,669062,pitcher,SF,NYY,2026,823241,5,137,147,1,0.0,1.0,0.0,0.0,0.6666666666666666,4.0,20.0,1.0,1.0,0.0,4.7,4.7,45.0,15.0,0.32166803451178455,0.21434511434511436,1.08,0.0,61.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.6972390852390853,-0.34489384469696943,0.5939330965909129,1.0,0.0,0.0,0.0,0.0,0.0
2026-04-03,Erik_Miller,669062,pitcher,SF,NYM,2026,823240,6,137,121,1,0.0,1.0,2.0,27.0,0.6666666666666666,5.0,26.0,1.0,2.0,0.0,4.7,4.7,50.0,11.538461538461538,0.20502455106621773,0.1980267794221283,1.08,8.0,59.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.9757857646229737,-0.5,-1.5,0.6,0.0,0.0,1.0,0.0,0.0
2026-04-05,Erik_Miller,669062,pitcher,SF,NYM,2026,823238,7,137,121,1,0.0,2.0,2.0,27.0,0.6666666666666666,5.0,24.0,0.0,3.0,0.0,-2.8,-2.8,63.0,25.0,0.36950864197530864,0.2544492544492544,1.08,0.0,74.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,5.4,2.5,0.5,5.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.3804059644059647,0.478388888888889,7.808250000000001,0.8,0.4,5.4,1.0,2.0,27.0
2026-04-08,Erik_Miller,669062,pitcher,SF,PHI,2026,823234,8,137,143,1,0.0,2.0,0.0,0.0,1.0,3.0,17.0,0.0,0.0,0.0,-0.7999999999999998,-0.7999999999999998,71.0,35.294117647058826,0.262283950617284,0.2256921373200443,1.08,0.0,63.0,0,3.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,0.5,10.8,2.5,0.5,10.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.3264629014396456,0.283877777777778,-3.745099999999999,1.0,0.8,10.8,2.0,2.0,27.0
2026-04-12,Erik_Miller,669062,pitcher,SF,BAL,2026,824859,9,137,110,0,0.0,1.0,0.0,0.0,1.0,5.0,21.0,1.0,1.0,0.0,4.2,4.2,56.99999999999999,14.285714285714285,0.314829797979798,0.20871448371448376,1.08,0.0,62.0,0,4.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,10.8,2.5,0.5,10.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.31828413028413,0.20033409090909104,-4.496993181818182,1.2,0.8,10.8,2.0,0.0,0.0
2026-04-16,Erik_Miller,669062,pitcher,SF,CIN,2026,824530,10,137,113,0,0.0,3.0,0.0,0.0,1.0,4.0,24.0,1.0,0.0,0.0,0.2000000000000001,0.2000000000000001,57.99999999999999,37.5,0.3470136363636363,0.2889183613321544,1.08,0.0,74.0,0,4.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,2.5,0.5,10.8,2.5,0.5,10.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.6726531093427646,0.3451613636363635,-3.193547727272729,1.4,0.8,10.8,1.0,0.0,0.0
2026-04-18,Erik_Miller,669062,pitcher,SF,WSH,2026,822751,11,137,120,0,0.0,2.0,0.0,0.0,1.0,3.0,15.0,0.0,0.0,0.0,-0.7999999999999998,-0.7999999999999998,53.0,40.0,0.26484259259259263,0.22682318541451674,1.08,0.0,76.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,2.5,0.5,10.8,2.5,0.5,10.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.601414516683866,-0.02460833333333312,-6.521474999999999,1.8,0.8,10.8,3.0,0.0,0.0
2026-04-21,Erik_Miller,669062,pitcher,SF,LAD,2026,823236,12,137,119,1,0.0,1.0,0.0,0.0,1.0,5.0,26.0,1.0,1.0,0.0,4.2,4.2,46.0,11.538461538461538,0.36906993006993005,0.17408439455888605,1.08,14.0,57.0,0,3.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,2.5,0.5,5.4,2.5,0.5,5.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.0193248435289117,0.15641468531468528,0.5077321678321667,2.0,0.4,5.4,2.0,0.0,0.0
2026-04-25,Erik_Miller,669062,pitcher,SF,MIA,2026,823229,13,137,146,1,0.0,2.0,0.0,0.0,1.0,4.0,21.0,1.0,0.0,0.0,2.2,2.2,43.0,28.57142857142857,0.3776212962962962,0.16233790999237221,1.08,10.0,56.0,0,4.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.3972967200610225,-0.09310416666666699,2.162062499999997,1.8,0.0,0.0,1.0,0.0,0.0
2026-04-26,Erik_Miller,669062,pitcher,SF,MIA,2026,823230,14,137,146,1,0.0,1.0,0.0,0.0,1.3333333333333333,4.0,12.0,0.0,0.0,0.0,1.7000000000000002,1.7000000000000002,57.99999999999999,25.0,0.33759351851851843,0.14139196404642626,1.08,0.0,57.0,0,1.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.42486428762859,-0.27322916666666697,0.030703124999998055,1.8,0.0,0.0,2.0,0.0,0.0
2026-04-30,Erik_Miller,669062,pitcher,SF,PHI,2026,823472,15,137,143,0,0.0,1.0,0.0,0.0,1.0,3.0,19.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,57.99999999999999,15.789473684210526,0.25262121212121214,0.23444976076555024,1.08,-10.0,59.0,0,4.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.8204019138755982,-0.5,-1.5,1.8,0.0,0.0,1.0,0.0,0.0
2026-05-16,Erik_Miller,669062,pitcher,SF,ATH,2026,825007,16,137,133,0,0.0,1.0,2.0,27.0,0.6666666666666666,4.0,24.0,2.0,0.0,0.0,9.2,9.2,46.0,12.5,0.35888858024691356,0.21162981162981162,1.08,10.0,79.0,0,16.0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.290961506961507,-0.1774013888888889,2.8550812500000005,1.4,0.0,0.0,1.0,0.0,0.0
