Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-03,Ethan_Roberts,681799,pitcher,CHC,ITA,2026,831853,0,112,841,1,0.0,2.0,0.0,0.0,1.0,3.0,13.0,0.0,0.0,0.0,-0.7999999999999998,-0.7999999999999998,62.0,46.15384615384615,0.315,0.225,1.0277777777777777,3.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.5911111111111111,-0.4125,-0.7125,2.0,0.0,0.0,2.0,0.0,0.0
2026-03-06,Ethan_Roberts,681799,pitcher,CHC,SD,2026,831921,1,112,135,0,0.0,1.0,0.0,0.0,1.0,3.0,17.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,59.0,17.647058823529413,0.4577168274717294,0.18415646203335767,1.0722222222222222,9.0,67.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.9356371926220277,0.26172572362278246,5.355531512605042,2.0,0.0,0.0,2.0,0.0,0.0
2026-03-10,Ethan_Roberts,681799,pitcher,CHC,TEX,2026,831920,2,112,140,0,0.0,1.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,70.0,30.0,0.4054292929292929,0.21226053639846743,1.0611111111111111,-5.0,73.0,0,4.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.206360153256705,0.01843181818181816,3.165886363636363,1.5,0.0,0.0,1.0,0.0,0.0
2026-03-13,Ethan_Roberts,681799,pitcher,CHC,CWS,2026,831933,3,112,145,0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,0.0,0.0,0.0,3.2,3.2,64.0,0.0,0.443821225071225,0.20470421160076335,1.0611111111111111,7.0,89.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.3868107516383377,0.19119551282051261,4.720759615384614,1.3333333333333333,0.0,0.0,1.0,0.0,0.0
2026-03-17,Ethan_Roberts,681799,pitcher,CHC,LAA,2026,831831,4,112,108,1,0.0,1.0,1.0,9.0,1.0,6.0,26.0,1.0,2.0,1.0,17.2,17.2,54.0,11.538461538461538,0.3153739316239316,0.21292106586224233,1.0277777777777777,7.0,92.0,0,4.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.6877425842131726,-0.41081730769230773,-0.6973557692307694,1.0,0.0,0.0,0.0,0.0,0.0
2026-04-05,Ethan_Roberts,681799,pitcher,CHC,CLE,2026,824460,5,112,114,0,0.0,0.0,0.0,0.0,0.6666666666666666,3.0,13.0,0.0,1.0,0.0,3.2,3.2,77.0,0.0,0.3034876543209876,0.19063180827886708,1.08,0.0,44.0,0,19.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.7469455337690634,-0.12270555555555562,3.293475,1.0,0.2,1.8,1.0,1.0,9.0
2026-04-10,Ethan_Roberts,681799,pitcher,CHC,PIT,2026,824695,6,112,134,1,0.0,1.0,0.0,0.0,1.3333333333333333,4.0,17.0,0.0,0.0,0.0,1.7000000000000002,1.7000000000000002,59.0,17.647058823529413,0.29410555555555556,0.20120120120120122,1.0522222222222224,-10.0,49.0,0,5.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-2.0792792792792794,-0.3449249999999998,-0.7532437499999989,0.6,0.2,1.8,0.0,0.0,0.0
2026-04-12,Ethan_Roberts,681799,pitcher,CHC,PIT,2026,824696,7,112,134,1,0.0,1.0,0.0,0.0,0.6666666666666666,3.0,13.0,0.0,0.0,0.0,0.2000000000000001,0.2000000000000001,62.0,23.07692307692308,0.19880982905982905,0.257168458781362,1.0522222222222224,6.0,80.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.4915412186379928,-0.5,-1.8,0.6,0.2,1.8,1.0,0.0,0.0
2026-05-08,Ethan_Roberts,681799,pitcher,CHC,TEX,2026,822904,8,112,140,0,0.0,0.0,0.0,0.0,1.0,4.0,15.0,1.0,0.0,0.0,6.2,6.2,53.0,0.0,0.3118935185185185,0.21287020473066987,1.08,0.0,74.0,0,26.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.8570383621546411,-0.2448791666666667,0.49608749999999957,0.6,0.2,1.8,1.0,0.0,0.0
2026-05-09,Ethan_Roberts,681799,pitcher,CHC,TEX,2026,822905,9,112,140,0,0.0,0.0,0.0,0.0,2.0,7.0,29.0,2.0,0.0,0.0,6.2,6.2,59.0,0.0,0.27069907407407406,0.1912587412587413,1.08,0.0,74.0,0,1.0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-2.1699300699300696,-0.4302541666666666,-1.4861437499999999,0.6,0.2,1.8,0.0,0.0,0.0
