Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-03,Eugenio_Suárez,553993,hitter,VEN,HOU,2026,831440,0,944,117,0,664299.0,Cristian_Javier,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,6.0,0.11428571428571428,0.0,0.0,0.0,0.0,10.0,4.1,8.2,5.4,1.08,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.1962666666666666,-0.47855,-0.42925,-0.4744,-0.38859999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Eugenio_Suárez,553993,hitter,VEN,WSH,2026,831428,1,944,120,0,656492.0,Foster_Griffin,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.07894736842105263,0.0,0.0,0.0,0.0,10.0,4.1,8.2,1.35,1.08,0.0,75.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.4148807017543859,-0.5,-0.5,-0.4744,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.0,1.0,0.0,0.016666666666666666,-0.64375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7625000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8874999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-20,Eugenio_Suárez,553993,hitter,CIN,CHC,2026,831902,2,113,112,0,571510.0,Matthew_Boyd,1.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,5.0,0.06976744186046512,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,0.0,13.5,6.514843244990304,1.0277777777777777,0.0,100.0,0,16.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.39518146399883747,-0.3152306201550388,-0.12993419433963205,-0.49111111111111116,-0.22721132612257777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.0,1.0,0.0,0.03333333333333333,-0.24196428571428552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49464285714285705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30714285714285705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8874999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-21,Eugenio_Suárez,553993,hitter,CIN,CWS,2026,831916,3,113,145,1,699151.0,Jedixson_Paez,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,5.0,0.06666666666666667,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,1.2857142857142856,9.857142857142856,5.213179388179388,1.08,5.0,101.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.12656635026262542,-0.08082619066666663,-0.008881082674363938,-0.47450509163194443,0.001453405520080553,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,batter_pitcher_profile_network_v2,0.1,0.05,0.9425,0.0,0.0617271875,-0.37032407407407386,-0.8000000000000002,0.0,0.0,0.0,0.0,-0.0017034907407407402,-0.00017034907407407403,-0.5730555555555554,-0.8400000000000001,0.0,0.0,0.0,0.0,-0.002767858333333333,-0.00044285733333333327,-0.42916666666666664,-1.0,0.0,0.0,0.0,0.0,-0.002467708333333333,-0.00012338541666666666,-0.870324074074074,-0.8400000000000001,0.0,0.0,0.0,0.0,-0.004203665277777778,-0.00010509163194444445,-0.7890740740740739,-1.0,0.0,0.0,0.0,0.0,-0.004537175925925925,-0.00027223055555555554
2026-03-23,Eugenio_Suárez,553993,hitter,CIN,MIL,2026,832078,4,113,158,0,676879.0,Aaron_Ashby,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,5.0,0.08333333333333333,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,1.125,13.5,5.02797013233446,1.0733333333333333,0.0,64.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.41086353150169697,-0.25727625501587303,-0.19035593109518756,-0.47667393234664357,-0.20465561100053892,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.05,0.9425,0.0,0.07839385416666667,-0.19761752136752142,-0.10342857142857145,0.0,0.0,0.0,0.0,-0.00015670128408628418,-1.5670128408628417e-05,-0.457948717948718,-0.4027678571428572,0.0,0.0,0.0,0.0,-0.0014140938492063495,-0.00022625501587301592,-0.3033653846153847,-0.038160714285714215,0.0,0.0,0.0,0.0,-8.875423820970681e-05,-4.437711910485341e-06,-0.8706944444444444,-0.8424999999999999,0.0,0.0,0.0,0.0,-0.005623960532407407,-0.0001405990133101852,-0.7831944444444444,-0.1502142857142856,0.0,0.0,0.0,0.0,-0.0009019602876984119,-5.411761726190471e-05
2026-03-24,Eugenio_Suárez,553993,hitter,CIN,MIL,2026,832077,5,113,158,0,687075.0,Brandon_Sproat,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,5.0,0.08108108108108109,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.928571428571429,8.892857142857142,4.860827275191602,1.0733333333333333,0.0,66.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.21521808455037084,-0.26089023957532487,-0.19690199218514542,-0.4766848184010417,-0.22968022695391893,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.05,0.9425,0.0,0.09506052083333333,-0.32404166666666673,-0.20665384615384613,0.0,0.0,0.0,0.0,-0.0006417427103365386,-6.417427103365385e-05,-0.54225,-0.45797115384615394,0.0,0.0,0.0,0.0,-0.002379875724158654,-0.00038078011586538467,-0.3812500000000001,-0.12143910256410251,0.0,0.0,0.0,0.0,-0.0004436954710870725,-2.2184773554353625e-05,-0.8709166666666667,-0.7260000000000001,0.0,0.0,0.0,0.0,-0.006059402708333333,-0.00015148506770833333,-0.7796666666666666,-0.1627051282051281,0.0,0.0,0.0,0.0,-0.001215701080840455,-7.29420648504273e-05
2026-03-26,Eugenio_Suárez,553993,hitter,CIN,BOS,2026,824541,6,113,111,1,676979.0,Garrett_Crochet,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,5.0,0.11428571428571428,0.0,0.0,0.0,0.0,10.0,8.678571428571429,6.348214285714286,3.8852177234530174,1.08,0.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.27106466131907314,-0.09054999999999996,-0.3669891138273491,-0.4744,-0.3283391138273491,0.4,0.4,0.2,0.0,0.2,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.15,0.8268352390731,0.0,0.13730690248203178,-0.5930921052631577,0.5350712576896786,0.0,0.0,0.0,0.0,0.0,0.0,-0.7203947368421051,0.4618625256322624,0.0,0.0,0.0,0.0,0.0,0.0,-0.5662280701754385,0.2855762987012987,0.0,0.0,0.0,0.0,0.0,0.0,-0.85625,0.4331693438140807,0.0,0.0,0.0,0.0,0.0,0.0,-0.7624999999999998,0.38949675324675326,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-28,Eugenio_Suárez,553993,hitter,CIN,BOS,2026,824540,7,113,111,1,543243.0,Sonny_Gray,1.0,1.0,0.0,0.0,1.0,5.0,5.0,0.0,1.0,5.0,0.10204081632653061,0.178,0.178,0.0,0.0,21.36,4.3,10.200000000000001,3.885217723453018,1.08,0.0,49.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.23029722088395893,-0.16485257222009803,-0.2845176852559206,-0.4744,-0.2893391138273491,0.4,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.15,0.7322242335121021,0.0,0.1557120463758818,-0.9301587301587302,-0.24764814814814817,0.0,0.0,0.0,0.0,-0.014392631554130304,-0.0014392631554130304,-0.9476190476190476,-0.10884722222222219,0.0,0.0,0.0,0.0,-0.006444647804184651,-0.001031143648669544,-0.7678571428571428,0.06308179012345683,0.0,0.0,0.0,0.0,0.0,0.0,-0.8864087301587301,0.028074074074074123,0.0,0.0,0.0,0.0,0.0,0.0,-0.7908730158730157,0.04285802469135805,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-29,Eugenio_Suárez,553993,hitter,CIN,BOS,2026,824538,8,113,111,1,813349.0,Connelly_Early,1.0,4.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,5.0,0.12121212121212122,0.6975,0.6975,1.0,30.0,65.0,0.8181818181818182,8.290909090909091,4.088225242250011,1.08,0.0,60.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.09050538213948489,1.423938826622348,-0.09411711822567748,-0.15055406937687055,0.0567167789253864,0.4,0.4,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.15,0.7533292189244214,0.0,0.1719909089355971,-0.8486071428571429,-0.6676154791154792,0.0,0.0,0.0,0.0,-0.03726657853545907,-0.003726657853545907,-0.8938214285714285,-0.7387810196560197,0.0,0.0,0.0,0.0,-0.04343631088305193,-0.006949809741288309,-0.7066964285714286,-0.7015719696969696,0.0,0.0,0.0,0.0,-0.03261306130901593,-0.0016306530654507966,-0.89325,-0.7856560196560197,0.0,0.0,0.0,0.0,-0.04616277507482181,-0.0011540693768705454,-0.7963749999999999,-0.7921969696969696,0.0,0.0,0.0,0.0,-0.0414989622094782,-0.0024899377325686917
2026-03-30,Eugenio_Suárez,553993,hitter,CIN,PIT,2026,824539,9,113,134,1,677952.0,Braxton_Ashcraft,1.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,2.0,5.0,0.125,0.2225,0.2225,0.0,0.0,26.7,3.0,14.25,5.569550092764379,1.08,-14.0,74.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.060430334440369826,-0.06660270576916583,-0.008161431781258721,-0.23491635721055043,0.722111184400368,0.6,1.2,0.2,0.2,0.8,1.0,4.0,1.0,1.0,3.0,batter_pitcher_profile_network_v2,0.3,0.1,0.8095712592945649,0.0,0.17508275207364157,-0.7452615740740743,-0.4701428571428572,0.0,0.0,0.0,0.0,-0.020016692702054067,-0.002001669270205407,-0.6478379629629633,-0.6548392857142857,0.0,0.0,0.0,0.0,-0.024235661057286327,-0.0038777057691658126,-0.655243055555556,-0.6753035714285714,0.0,0.0,0.0,0.0,-0.025278728389552686,-0.0012639364194776343,-0.39469444444444446,-0.9159999999999999,0.0,0.0,0.0,0.0,-0.020654288422017594,-0.0005163572105504399,-0.5226921296296297,-0.6230714285714285,0.0,0.0,0.0,0.0,-0.018605337297514596,-0.0011163202378508758
