Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-10,Eury_Pérez,pitcher,MIA,WSH,2026,831471,0,146,120,1,7.0,2.0,6.0,3.0,12.0,55.0,2.0,2.0,2.0,9.2,9.2,62.0,38.18181818181819,0.18033950617283953,0.2691519659065298,1.05,-13.0,83.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,6.5,1.5,6.0,6.5,1.5,6.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.053215727252238665,-0.24247222222222198,-2.227416666666666,7.0,2.0,6.0,7.0,2.0,6.0
2026-03-15,Eury_Pérez,pitcher,MIA,HOU,2026,831509,1,146,117,0,5.0,0.0,0.0,4.0,13.0,53.0,1.0,0.0,0.0,1.4500000000000002,1.4500000000000002,56.99999999999999,28.30188679245283,0.2690931408382066,0.3142857142857143,1.08,12.0,79.0,0,5.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,6.5,1.5,6.0,6.5,1.5,6.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.40228571428571414,0.17851913377192985,-2.223331949013158,7.0,2.0,6.0,7.0,2.0,6.0
2026-03-20,Eury_Pérez,pitcher,MIA,HOU,2026,831505,2,146,117,0,5.0,2.0,3.6,5.0,20.0,81.0,1.0,4.0,0.0,1.8000000000000003,1.8000000000000003,64.0,18.51851851851852,0.23645666863236525,0.33202140247980655,1.08,-15.0,75.0,0,5.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,5.5,0.5,3.0,5.5,0.5,3.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.5441712198384527,-0.00834499115435633,-2.1150209840778413,6.0,1.0,3.0,5.0,0.0,0.0
2026-03-28,Eury_Pérez,pitcher,MIA,COL,2026,823892,3,146,115,1,8.0,3.0,3.857142857142857,7.0,27.0,93.0,1.0,5.0,2.0,5.057142857142857,5.057142857142857,63.0,25.806451612903224,0.3792449205278153,0.21045751633986928,1.0766666666666667,0.0,72.0,0,8.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,5.5,1.5,3.2,5.5,1.5,3.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.6670065359477126,0.1918021423751688,-1.0248258169462119,5.666666666666667,1.3333333333333333,3.1999999999999997,5.0,2.0,3.6
2026-04-03,Eury_Pérez,pitcher,MIA,NYY,2026,823568,4,146,147,0,4.0,4.0,9.0,4.0,20.0,84.0,6.0,2.0,1.0,8.95,8.95,54.0,14.285714285714285,0.25457323232323237,0.27886710239651413,1.08,8.0,58.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,6.5,1.5,3.4,6.5,1.5,3.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.2810631808278874,0.09317954545454588,0.18465397727272848,6.25,1.75,3.3642857142857143,8.0,3.0,3.857142857142857
2026-04-08,Eury_Pérez,pitcher,MIA,CIN,2026,823885,5,146,113,1,6.0,2.0,3.6,5.0,24.0,95.0,2.0,6.0,1.0,4.6,4.6,66.0,18.947368421052634,0.2637032828282828,0.20682043924511648,1.0766666666666667,0.0,72.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,5.5,2.5,4.5,5.5,2.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.7401031527057347,-0.384135227272727,-0.6914434090909083,5.8,2.2,4.491428571428571,4.0,4.0,9.0
2026-04-13,Eury_Pérez,pitcher,MIA,ATL,2026,824937,6,146,144,0,2.0,3.0,6.75,4.0,20.0,76.0,2.0,7.0,0.0,3.7,3.7,59.0,7.894736842105263,0.40974410774410774,0.1651243821408314,1.08,0.0,78.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,5.5,2.5,4.0,5.5,2.5,4.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.9390049428733489,-0.04455151515151501,1.5247590909090913,5.6,2.2,4.011428571428572,6.0,2.0,3.6
2026-04-19,Eury_Pérez,pitcher,MIA,MIL,2026,823881,7,146,158,1,7.0,0.0,0.0,6.0,21.0,84.0,1.0,3.0,0.0,1.366666666666667,1.366666666666667,69.0,25.0,0.29158703703703703,0.19367588932806326,1.0766666666666667,0.0,72.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,4.5,2.5,5.4,4.5,2.5,5.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.7012595520421607,0.013341666666666807,-1.6299875000000004,5.0,2.8,5.361428571428571,2.0,3.0,6.75
2026-04-25,Eury_Pérez,pitcher,MIA,SF,2026,823229,8,146,137,0,6.0,4.0,6.75,5.333333333333333,24.0,94.0,2.0,7.0,2.0,6.95,6.95,64.0,19.148936170212767,0.2295622895622896,0.2431077694235589,1.08,10.0,56.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,5.5,2.5,4.6,5.5,2.5,4.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.3191378446115287,-1.0313696969696966,-2.1216863636363623,5.4,2.4,4.6414285714285715,7.0,0.0,0.0
2026-05-01,Eury_Pérez,pitcher,MIA,PHI,2026,823877,9,146,143,1,6.0,2.0,3.6,5.0,22.0,96.0,2.0,4.0,0.0,2.0,2.0,71.0,18.75,0.29227954545454543,0.22579175210754157,1.0766666666666667,0.0,72.0,0,6.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,4.5,2.5,5.2,4.5,2.5,5.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.11566735019366536,0.03245795454545464,-0.6415756818181819,5.0,2.6,5.220000000000001,6.0,4.0,6.75
