Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-03,Ezequiel_Tovar,678662,hitter,VEN,HOU,2026,831440,0,944,117,0,664299.0,Cristian_Javier,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.02857142857142857,0.89,0.89,0.0,0.0,65.0,4.1,8.2,5.4,1.08,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.49773333333333347,0.5883499999999999,-0.07775000000000004,-0.4744,-0.2224,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Ezequiel_Tovar,678662,hitter,VEN,WSH,2026,831428,1,944,120,0,656492.0,Foster_Griffin,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,9.0,0.07894736842105263,0.0,0.0,0.0,0.0,10.0,4.1,8.2,1.35,1.08,0.0,75.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.4051192982456141,0.24286052631578947,-0.5,-0.4744,-0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.0,1.0,0.0,0.016666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5562499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,Ezequiel_Tovar,678662,hitter,COL,SF,2026,831756,2,115,137,1,657277.0,Logan_Webb,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,5.0,0.06818181818181818,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,3.0,9.0,5.4304147465437795,1.0611111111111111,6.0,98.0,0,15.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.130756806267475,-0.1245620371325758,-0.34933479527697775,-0.48049963725694445,-0.37231540894301307,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.05,0.9425,0.0,0.04506052083333333,-0.10555555555555558,-0.503909090909091,0.0,0.0,0.0,0.0,-0.00020389654882154888,-2.038965488215489e-05,-0.25416666666666665,-0.6409431818181819,0.0,0.0,0.0,0.0,-0.0006244745028409091,-9.991592045454545e-05,-0.09999999999999998,-0.762965909090909,0.0,0.0,0.0,0.0,-0.000292470265151515,-1.4623513257575752e-05,-0.7618055555555555,-0.756,0.0,0.0,0.0,0.0,-0.0022077125,-5.51928125e-05,-0.10555555555555557,-0.7399545454545454,0.0,0.0,0.0,0.0,-0.0002994075336700337,-1.796445202020202e-05
2026-03-20,Ezequiel_Tovar,678662,hitter,COL,SD,2026,831864,3,115,135,0,601713.0,Nick_Pivetta,2.0,5.0,1.0,1.0,1.0,4.0,4.0,0.0,1.0,4.0,0.09523809523809523,0.7475,0.7475,0.75,30.0,65.0,6.0,7.5,3.8688311688311687,1.0722222222222222,0.0,98.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.07508658008658009,0.9399583333333332,-0.0986834415584415,-0.2143888888888889,-0.2633084415584416,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.1,0.6525000000000001,0.0,0.077006875,-0.2370138888888889,0.74575,0.0,0.0,0.0,0.0,0.0,0.0,-0.36291666666666667,0.7989999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.13854166666666656,0.845948717948718,0.0,0.0,0.0,0.0,0.0,0.0,-0.7984722222222222,0.7989999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.1870138888888889,0.8869743589743591,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-22,Ezequiel_Tovar,678662,hitter,COL,ATH,2026,831945,4,115,133,1,605488.0,Jeffrey_Springs,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,5.0,0.08333333333333333,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,6.75,11.089285714285714,5.9435064935064945,1.0611111111111111,0.0,98.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.5191093073593076,0.2420740985887131,0.03210901557209378,-0.20545222003836577,0.02133569205977337,0.75,1.5,0.25,0.25,0.25,2.0,5.0,1.0,1.0,1.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.15,0.8738801608510196,0.0,0.10310911871102918,-0.05666666666666671,0.06179888627115018,0.0,0.0,0.0,0.0,0.0,0.0,0.110625,-0.031026263653887307,0.0,0.0,0.0,0.0,-5.771715387597633e-05,-9.234744620156213e-06,0.04062500000000002,0.4984045031055901,0.0,0.0,0.0,0.0,0.00034048460204852464,1.7024230102426233e-05,0.20583333333333337,-0.0898577853930177,0.0,0.0,0.0,0.0,-0.00031102375685473286,-7.775593921368321e-06,0.4214583333333333,0.37712732919254655,0.0,0.0,0.0,0.0,0.002672789740808761,0.00016036738444852566
2026-03-23,Ezequiel_Tovar,678662,hitter,COL,DET,2026,831857,5,115,116,1,656427.0,Jack_Flaherty,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,4.0,0.11428571428571428,0.0,0.0,0.0,0.0,10.0,4.5,7.2,1.084033613445378,1.0611111111111111,0.0,93.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.43536134453781516,-0.4796079874648371,-0.4970610710821193,-0.34044444444444444,-0.17243578803150678,0.8,1.4,0.2,0.2,0.4,1.0,1.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.1,0.8547818991166798,0.0,0.107862255069154,-0.0706666666666667,0.11029166666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.022000000000000002,0.10187500000000002,0.0,0.0,0.0,0.0,5.4245011434123586e-05,8.679201829459774e-06,0.0625,-0.16859722222222212,0.0,0.0,0.0,0.0,-0.0002550350877636897,-1.2751754388184484e-05,-0.014416666666666657,0.10916666666666672,0.0,0.0,0.0,0.0,0.0,0.0,0.3268333333333333,-0.07894444444444434,0.0,0.0,0.0,0.0,-0.0006244783962616401,-3.7468703775698405e-05
2026-03-24,Ezequiel_Tovar,678662,hitter,COL,DET,2026,831856,6,115,116,1,434378.0,Justin_Verlander,1.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,4.0,0.07142857142857142,0.93,0.93,1.5,30.0,65.0,8.55,15.75,1.6285714285714286,1.0611111111111111,3.0,91.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.31869047619047625,1.428083333333333,-0.012321428571428483,0.10955555555555552,-0.07636700127723994,0.6,1.2,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.1,0.711507257564556,0.0,0.12628403609483418,-0.27749421296296284,0.1288461538461539,0.0,0.0,0.0,0.0,0.0,0.0,-0.20128472222222207,0.3680288461538462,0.0,0.0,0.0,0.0,0.0,0.0,-0.10546874999999978,0.8608173076923077,0.0,0.0,0.0,0.0,0.0,0.0,-0.2086574074074074,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.07250578703703717,0.814423076923077,0.0,0.0,0.0,0.0,0.003407121569809151,0.00020442729418854906
2026-03-27,Ezequiel_Tovar,678662,hitter,COL,MIA,2026,823893,7,115,146,0,645261.0,Sandy_Alcantara,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,4.0,0.11764705882352941,0.2225,0.2225,0.0,0.0,26.7,3.4285714285714284,11.607142857142856,1.6324675324675326,1.0766666666666667,-2.0,79.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.18384859144181287,0.4211977906478399,0.19265515186294635,-0.09624983603632198,0.3558828859765576,0.8,2.0,0.6,0.4,0.8,1.0,4.0,2.0,1.0,2.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.15,0.7095022283103913,0.0,0.15612956322146324,-0.03688492063492052,-0.669863354037267,0.0,0.0,0.0,0.0,-0.001674768036672278,-0.0001674768036672278,0.2936904761904763,-0.7685038819875776,0.0,0.0,0.0,0.0,-0.015298734921588628,-0.0024477975874541806,0.13452380952380966,-0.7205623706004141,0.0,0.0,0.0,0.0,-0.006570377561549078,-0.00032851887807745393,0.5381150793650794,-0.8588571428571428,0.0,0.0,0.0,0.0,-0.03132677478621375,-0.0007831693696553438,0.642579365079365,-0.7053902691511388,0.0,0.0,0.0,0.0,-0.030723863721495312,-0.0018434318232897187
2026-03-28,Ezequiel_Tovar,678662,hitter,COL,MIA,2026,823892,8,115,146,0,691587.0,Eury_Pérez,1.0,4.0,1.0,1.0,2.0,4.0,4.0,0.0,1.0,4.0,0.11764705882352941,0.525,0.525,0.75,30.0,65.0,3.1999999999999997,13.75,1.6324675324675326,1.0766666666666667,0.0,72.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.18019324293595618,0.16310898157418308,0.0793031454748202,0.06704991505034719,0.12819335557206946,1.0,2.2,0.6,0.4,0.8,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.15,0.8612500000000001,0.0,0.17000786458333333,-0.005000000000000398,-0.719,0.0,0.0,0.0,0.0,-0.00013301500000001052,-1.3301500000001052e-05,0.31343749999999976,-0.35655555555555557,0.0,0.0,0.0,0.0,-0.0041350416319444385,-0.0006616066611111102,0.1812499999999998,-0.1655925925925926,0.0,0.0,0.0,0.0,-0.0011105053240740722,-5.552526620370361e-05,0.47312499999999996,0.037888888888888896,0.0,0.0,0.0,0.0,0.0006632686805555552,1.658171701388888e-05,0.6324999999999998,-0.20151851851851857,0.0,0.0,0.0,0.0,-0.004716037129629627,-0.0002829622277777776
2026-03-29,Ezequiel_Tovar,678662,hitter,COL,MIA,2026,823891,9,115,146,0,676974.0,Max_Meyer,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,4.0,0.10810810810810811,0.2225,0.2225,0.0,0.0,26.7,0.0,15.0,1.4571428571428573,1.0766666666666667,0.0,72.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.04000008410858524,0.40718303336439887,0.031177038123714973,-0.09707132031249999,0.4697327374962461,0.8,2.0,0.6,0.4,1.0,1.0,4.0,1.0,1.0,2.0,batter_pitcher_profile_network_v2,0.3,0.1,0.6525000000000001,0.0,0.17700687499999998,0.06440134099616857,-1.0,0.0,0.0,0.0,0.0,-0.006713839798850571,-0.0006713839798850571,0.36247126436781607,-1.0,0.0,0.0,0.0,0.0,-0.037787629310344815,-0.006046020689655171,0.21580459770114951,-0.907936507936508,0.0,0.0,0.0,0.0,-0.020426418992884516,-0.001021320949644226,0.6156944444444444,-1.0,0.0,0.0,0.0,0.0,-0.06418614583333332,-0.0016046536458333331,0.6719444444444443,-0.953968253968254,0.0,0.0,0.0,0.0,-0.0668256749338624,-0.004009540496031744
