Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-04,Foster_Griffin,pitcher,WSH,VEN,2026,831428,0,120,944,1,1.0,0.0,0.0,2.0,9.0,29.0,1.0,2.0,0.0,3.7,3.7,55.00000000000001,10.344827586206897,0.22911764705882354,0.2571428571428571,1.08,0.0,75.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-1.2148571428571433,-0.5,-1.5,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-10,Foster_Griffin,pitcher,WSH,MIA,2026,831471,1,120,146,0,4.0,1.0,3.0,3.0,13.0,45.0,0.0,3.0,0.0,0.5333333333333337,0.5333333333333337,62.0,26.666666666666668,0.2848983297022513,0.181174723110207,1.05,-13.0,83.0,0,6.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-1.8106022151183443,-0.5,-1.5,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-20,Foster_Griffin,pitcher,WSH,MIA,2026,831450,2,120,146,0,5.0,3.0,5.4,5.0,21.0,78.0,2.0,5.0,0.0,2.4000000000000004,2.4000000000000004,68.0,19.230769230769234,0.20525578703703704,0.24074074074074078,1.05,0.0,70.0,0,10.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,0.16592592592592625,-0.37034895833333326,-1.2666281249999998,2.5,0.5,1.5,4.0,1.0,3.0
2026-03-30,Foster_Griffin,pitcher,WSH,PHI,2026,823484,3,120,143,0,5.0,2.0,3.6,5.0,21.0,86.0,0.0,5.0,1.0,3.8000000000000003,3.8000000000000003,64.0,17.441860465116278,0.3037920875420875,0.2743493493493494,1.08,16.0,67.0,0,10.0,1.0,6.123233995736766e-17,0.0,1.0,3.5,1.5,2.8,3.5,1.5,2.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,0.1627947947947952,0.014664393939393783,-0.07360409090909092,3.3333333333333335,1.3333333333333333,2.8000000000000003,5.0,3.0,5.4
2026-04-05,Foster_Griffin,pitcher,WSH,LAD,2026,822756,4,120,119,1,6.0,1.0,1.8,5.0,22.0,95.0,3.0,5.0,1.0,5.2,5.2,55.00000000000001,18.947368421052634,0.39213928170594836,0.2385265700483092,1.08,-4.0,60.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,3.5,1.5,3.0,3.5,1.5,3.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,0.1762125603864737,0.3722267676767679,0.3700081818181822,3.75,1.5,3.0,5.0,2.0,3.6
2026-04-11,Foster_Griffin,pitcher,WSH,MIL,2026,823805,5,120,158,0,1.0,0.0,0.0,5.333333333333333,20.0,80.0,3.0,1.0,0.0,4.5125,4.5125,63.0,3.75,0.18930555555555553,0.20963274198568319,1.0733333333333333,0.0,67.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,4.5,1.5,2.8,4.5,1.5,2.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-0.5882713974478677,-0.7773250000000002,-1.5804859375,4.2,1.4,2.7600000000000002,6.0,1.0,1.8
2026-04-16,Foster_Griffin,pitcher,WSH,PIT,2026,823396,6,120,134,0,7.0,4.0,6.75,5.333333333333333,24.0,89.0,1.0,8.0,1.0,3.575,3.575,67.0,23.595505617977526,0.3316801346801347,0.19211057947900054,1.08,13.0,75.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,4.5,1.5,2.8,4.5,1.5,2.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-1.4311153641679955,-0.29183939393939373,-0.7612289772727268,4.2,1.4,2.7600000000000002,1.0,0.0,0.0
2026-04-21,Foster_Griffin,pitcher,WSH,ATL,2026,822747,7,120,144,1,3.0,3.0,4.5,6.0,24.0,96.0,1.0,5.0,2.0,7.033333333333333,7.033333333333333,68.0,9.375,0.3070611111111111,0.22256097560975616,1.08,9.0,62.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,4.5,1.5,3.5,4.5,1.5,3.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,0.08448780487804886,0.669375,-0.24593750000000014,4.8,2.0,3.5100000000000002,7.0,4.0,6.75
2026-04-26,Foster_Griffin,pitcher,WSH,CWS,2026,824612,8,120,145,0,8.0,0.0,0.0,7.0,26.0,95.0,2.0,2.0,0.0,1.7714285714285716,1.7714285714285716,64.0,25.263157894736842,0.3083395493395494,0.21930846930846934,1.08,0.0,55.0,0,5.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,4.5,1.5,3.3,4.5,1.5,3.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T01:11:20.953322+00:00,-0.7895322455322455,0.515127972027972,-0.7091211788211784,4.4,2.0,3.3299999999999996,3.0,3.0,4.5
2026-05-02,Foster_Griffin,pitcher,WSH,MIL,2026,822746,9,120,158,1,3.0,0.0,0.0,6.0,26.0,97.0,4.0,3.0,0.0,4.2,4.2,59.0,9.278350515463918,0.31859647759647763,0.1873263556782263,1.08,-7.0,58.0,0,6.0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,4.5,2.5,2.6,4.5,1.5,2.6,real,real,synthetic,9.0,5.0,0.0,-124.55555555555556,111.6,-110.0,87.77777777777777,-152.0,-110.0,0.33333333333333326,0.0,0.0,2026-05-02T16:59:46.553036+00:00,0.08661084542580966,-1.2067158508158506,-0.660073776223776,5.0,1.6,2.6100000000000003,8.0,0.0,0.0
