Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-02,Francisco_Acuna,672696,hitter,SD,ATH,2026,831934,0,135,133,1,686930.0,Mason_Barnett,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0294117647058823,1.27,1.27,1.0,30.0,65.0,4.1,8.2,2.25,1.0722222222222222,0.0,85.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.41123529411764714,1.7165343137254903,-0.025191176470588217,-0.1518888888888889,-0.26491176470588246,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Francisco_Acuna,672696,hitter,SD,CWS,2026,831772,1,135,145,0,656794.0,Sean_Newcomb,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.0,0.0238095238095238,1.27,1.27,1.0,30.0,65.0,4.1,8.2,0.0,1.0611111111111111,-2.0,83.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.29833333333333334,1.705083333333333,-0.13474999999999987,-0.15544444444444444,-0.38400000000000006,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Francisco_Acuna,672696,hitter,SD,SEA,2026,831765,2,135,136,0,622491.0,Luis_Castillo,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,7.0,0.0476190476190476,0.0,0.0,0.0,0.0,10.0,4.1,8.2,17.571428571428573,1.0722222222222222,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,1.008857142857143,-0.035083333333333355,0.08532142857142866,-0.4768888888888889,0.6415714285714289,1.0,2.0,0.0,0.0,0.5,1.0,2.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7187499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Francisco_Acuna,672696,hitter,SD,CHC,2026,831921,3,135,112,1,676962.0,Ben_Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,4.1,8.2,13.5,1.0722222222222222,9.0,67.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.3673333333333334,-0.7804166666666668,-0.19824999999999998,-0.4768888888888889,0.10866666666666669,0.6666666666666666,1.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,-0.0037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0374999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8962962962962964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6337962962962962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Francisco_Acuna,672696,hitter,SD,CIN,2026,831892,4,135,113,1,695505.0,Chase_Burns,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,6.0,0.0476190476190476,0.345,0.345,0.0,0.0,41.4,4.1,8.2,12.960000000000003,1.0722222222222222,-7.0,85.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.3864000000000001,0.2201666666666665,0.054500000000000104,-0.4768888888888889,0.1845000000000001,0.5,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.0,1.0,0.0,0.0666666666666666,-0.1055555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2458333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0531249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5225694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,Francisco_Acuna,672696,hitter,SD,LAA,2026,831771,5,135,108,0,815083.0,Mitch_Farris,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0476190476190476,0.635,0.635,0.5,30.0,65.0,6.0,3.0,7.4142857142857155,1.038888888888889,-6.0,72.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.2799047619047619,0.811039648977778,0.20471428571428585,-0.28740038363310183,-0.03955627497460312,0.4,0.8,0.2,0.0,0.2,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.05,0.9425,0.0,0.0950605208333333,-0.0968888888888889,0.952,0.0,0.0,0.0,0.0,0.0,0.0,0.2523333333333333,0.964,0.0,0.0,0.0,0.0,0.0023311394444444,0.0003729823111111,-0.0249999999999999,0.528,0.0,0.0,0.0,0.0,0.0,0.0,0.6718611111111111,0.964,0.0,0.0,0.0,0.0,0.0062068768981481,0.0001551719224537,0.5481111111111111,0.7280000000000001,0.0,0.0,0.0,0.0,0.0038239885185185,0.0002294393111111
2026-03-13,Francisco_Acuna,672696,hitter,SD,ATH,2026,831778,6,135,133,0,650644.0,Aaron_Civale,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,7.0,0.0425531914893617,0.69,0.69,0.0,0.0,65.0,4.909090909090909,9.818181818181818,5.126159554730983,1.0611111111111111,0.0,89.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.07002381610284336,0.5208418759144637,0.23217754817981162,-0.48032299844276094,-0.1434841782709514,0.4,0.8,0.4,0.0,0.2,1.0,2.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,-0.0036574074074073,0.391409090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.3186111111111112,0.4954545454545455,0.0,0.0,0.0,0.0,0.0018153592171717,0.0002904574747474,0.0229166666666668,0.1934545454545456,0.0,0.0,0.0,0.0,5.098333333333368e-05,2.5491666666666845e-06,0.8525925925925926,0.4954545454545455,0.0,0.0,0.0,0.0,0.00485784006734,0.0001214460016835,0.6088425925925924,0.3934545454545456,0.0,0.0,0.0,0.0,0.0027548466835016,0.0001652908010101
2026-03-14,Francisco_Acuna,672696,hitter,SD,TEX,2026,831770,7,135,140,0,543135.0,Nathan_Eovaldi,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,8.0,0.088235294117647,0.0,0.0,0.0,0.0,10.0,3.6,7.2,3.6000000000000005,1.0611111111111111,-7.0,87.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.07830315928068932,-0.2683868387351396,0.21987446053184923,-0.48060267617881947,-0.5,0.2,0.4,0.8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.05,0.9425,0.0,0.1283938541666666,0.2589592352092351,-0.0260238095238096,0.0,0.0,0.0,0.0,-9.041633630451364e-05,-9.041633630451365e-06,0.4966341991341991,-0.303077380952381,0.0,0.0,0.0,0.0,-0.0020194577808967,-0.0003231132449434,0.1788961038961039,-0.4333829365079364,0.0,0.0,0.0,0.0,-0.0010402011277206,-5.201005638603293e-05,0.7941865079365079,-0.594,0.0,0.0,0.0,0.0,-0.0063292693749999,-0.000158231734375,0.6468650793650792,-0.4212301587301587,0.0,0.0,0.0,0.0,-0.0036557609907774,-0.0002193456594466
2026-03-16,Francisco_Acuna,672696,hitter,SD,SF,2026,831751,8,135,137,1,641816.0,Tyler_Mahle,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0303030303030303,0.0,0.0,0.0,0.0,10.0,0.0,10.5,2.1883116883116887,1.0722222222222222,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.37573671570299777,-0.3296848930985571,-0.14382637058031378,-0.4778000867706216,-0.5,0.2,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.1,0.6922747564417433,0.0,0.1598529675669219,0.160376984126984,-0.6190000000000001,0.0,0.0,0.0,0.0,-0.0081463778091998,-0.0008146377809199,0.4267559523809523,-0.659,0.0,0.0,0.0,0.0,-0.0230779303508304,-0.0036924688561328,0.1419642857142857,-0.2983333333333332,0.0,0.0,0.0,0.0,-0.0034754635543299,-0.0001737731777164,0.6739930555555556,-0.659,0.0,0.0,0.0,0.0,-0.0364479152693096,-0.0009111978817327,0.5943055555555554,-0.4983333333333333,0.0,0.0,0.0,0.0,-0.0243030949900338,-0.001458185699402
2026-03-17,Francisco_Acuna,672696,hitter,SD,SEA,2026,831769,9,135,136,0,622491.0,Luis_Castillo,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0256410256410256,0.0,0.0,0.0,0.0,10.0,19.575,10.8,5.817857142857143,1.0722222222222222,0.0,92.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.23609098745403873,-0.3371293816420565,0.27491269267521545,-0.4765875148821689,-0.47248295935094414,0.2,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.1,0.9048980922332764,1.0,0.1926649983701423,0.1930092592592593,0.6598214285714287,-0.037037037037037,0.0,0.0,0.0,-0.0316424752729873,-0.0031642475272987,0.4452777777777778,0.7278571428571429,-0.0493827160493827,0.0,0.0,0.0,-0.0377878019295197,-0.0060460483087231,0.2277777777777778,0.7802469135802469,-0.1111111111111111,0.0,0.0,0.0,-0.1007571355066813,-0.005037856775334,0.5805092592592592,0.7278571428571429,0.0,0.0,0.0,0.0,0.0120549602688015,0.00030137400672,0.5784259259259258,0.8901234567901235,-0.0246913580246913,0.0,0.0,0.0,-0.0088277107941248,-0.0005296626476474
