Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-03,Francisco_Alvarez,682626,hitter,NYM,NCA,2026,831434,0,121,881,1,541640.0,,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,4.0,0.0769230769230769,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,4.0,1.08,5.0,77.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.5174769230769232,0.37415,-0.3631602564102564,-0.4744,0.42646153846153856,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Francisco_Alvarez,682626,hitter,NYM,MIA,2026,831480,1,121,146,0,676974.0,Max_Meyer,2.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.088235294117647,0.7200000000000001,0.7200000000000001,0.3333333333333333,28.33333333333333,65.0,4.1,8.2,0.75,1.05,0.0,78.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.39437254901960783,0.9626029411764705,-0.2685735294117647,-0.3298333333333333,0.4042647058823531,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,-0.5131249999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6095833333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.311458333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7829166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3693749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Francisco_Alvarez,682626,hitter,NYM,NYY,2026,831575,2,121,147,1,677960.0,Ryan_Weathers,2.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0714285714285714,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,4.1,8.2,4.0,1.08,0.0,82.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.012733333333333263,0.4016500000000003,-0.2069166666666667,-0.4744,0.009000000000000008,1.5,2.0,0.0,0.0,0.5,2.0,3.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,0.7054166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5830555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6895833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5127083333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5845833333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,Francisco_Alvarez,682626,hitter,NYM,STL,2026,831473,3,121,138,1,694363.0,,2.0,5.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,5.0,0.075,0.9966666666666668,0.9966666666666668,1.0,30.0,65.0,4.1,8.2,0.9642857142857143,1.08,0.0,86.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.028554761904762138,1.6470500000000001,0.21096428571428583,-0.14939999999999998,-0.1309190476190476,1.6666666666666667,2.0,0.3333333333333333,0.0,0.3333333333333333,2.0,2.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,0.968194444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470370370370369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8180555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1522222222222221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4938888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-12,Francisco_Alvarez,682626,hitter,NYM,STL,2026,831472,4,121,138,0,700241.0,Michael_McGreevy,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0857142857142857,0.0,0.0,0.0,0.0,10.0,2.25,9.0,0.9642857142857143,1.05,0.0,85.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.041733795238095395,-0.11973005999999975,-0.22726156050967256,-0.20915072636718746,0.1857450448392859,1.75,2.75,0.5,0.25,0.75,2.0,5.0,1.0,1.0,2.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.05,0.9425,0.0,0.0783938541666666,1.0,-0.223,0.0,0.0,0.0,0.0,-0.0017096666666666,-0.0001709666666666,1.0,-0.472875,0.0,0.0,0.0,0.0,-0.003625375,-0.00058006,0.8125,-0.7251249999999999,0.0,0.0,0.0,0.0,-0.0045169244791666,-0.0002258462239583,0.9817708333333331,-0.801,0.0,0.0,0.0,0.0,-0.0060290546874999,-0.0001507263671875,0.8874999999999998,-0.6595,0.0,0.0,0.0,0.0,-0.0044873479166666,-0.0002692408749999
2026-03-13,Francisco_Alvarez,682626,hitter,NYM,MIA,2026,831462,5,121,146,1,663978.0,Chris_Paddack,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,5.0,0.0909090909090909,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,0.0,9.75,3.673469387755102,1.08,-12.0,75.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.4309271103973511,-1.0398459279469114,-0.15333962552931996,-0.335201570550017,-0.02749238611221022,1.4,2.2,0.4,0.2,0.6,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.1,0.6922747564417433,0.0,0.1098529675669219,0.3061944444444445,-0.6806666666666668,0.0,0.0,0.0,0.0,-0.0106891621058557,-0.0010689162105855,0.5232222222222223,-0.7612916666666667,0.0,0.0,0.0,0.0,-0.0204290951227423,-0.0032686552196387,0.3833333333333334,-0.8225231481481481,0.0,0.0,0.0,0.0,-0.0161709892505901,-0.0008085494625295,0.7541111111111112,-0.829,0.0,0.0,0.0,0.0,-0.032062822000681,-0.000801570550017,0.776611111111111,-0.8682407407407408,0.0,0.0,0.0,0.0,-0.0345824401509388,-0.0020749464090563
2026-03-16,Francisco_Alvarez,682626,hitter,NYM,WSH,2026,831457,6,121,120,1,683068.0,,1.0,2.0,1.0,0.0,1.0,4.0,3.0,1.0,1.0,3.0,0.1025641025641025,0.49,0.49,0.3333333333333333,28.33333333333333,65.0,4.1,8.2,0.6428571428571429,1.08,0.0,84.0,0,3.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.5504498168498169,0.36914999999999987,-0.12637637362637372,-0.18023333333333336,-0.2212417582417583,1.2,2.0,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.0,1.0,0.0,0.1,0.2265277777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3743518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3493055555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.464375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,Francisco_Alvarez,682626,hitter,NYM,HOU,2026,831500,7,121,117,0,663567.0,Peter_Lambert,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0238095238095238,0.0,0.0,0.0,0.0,10.0,1.5,7.5,3.17922077922078,1.08,0.0,72.0,0,3.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.41823549783549796,-0.1813499999999999,-0.16028896103896095,-0.33440000000000003,-0.03803896103896087,1.0,1.8,0.6,0.2,0.6,1.0,2.0,1.0,0.0,1.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.0,1.0,0.0,0.1166666666666666,0.2776893939393939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4442135642135642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3753246753246753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6724404761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7036904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-21,Francisco_Alvarez,682626,hitter,NYM,HOU,2026,831549,8,121,117,1,681347.0,Mike_Burrows,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,9.0,0.0789473684210526,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,10.53409090909091,4.751748251748252,1.08,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.01605885554151565,-0.520060576945645,-0.11786554763243617,-0.33555372817989404,0.03150694098521345,0.6,1.4,0.4,0.2,0.6,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.1,0.5481234057627223,0.0,0.16161882161274,0.1068900966183572,-0.8481897233201582,0.0,0.0,0.0,0.0,-0.0109249398614953,-0.0010924939861495,0.2639915458937196,-0.8686245059288539,0.0,0.0,0.0,0.0,-0.027631895383965,-0.0044211032614344,0.2594429347826086,-0.5394949494949494,0.0,0.0,0.0,0.0,-0.016866221940835,-0.0008433110970417,0.4409027777777776,-0.8686245059288539,0.0,0.0,0.0,0.0,-0.0461491271957622,-0.001153728179894,0.5549652777777776,-0.7283838383838384,0.0,0.0,0.0,0.0,-0.0487096144226172,-0.002922576865357
2026-03-26,Francisco_Alvarez,682626,hitter,NYM,PIT,2026,823649,9,121,134,1,694973.0,Paul_Skenes,2.0,5.0,2.0,1.0,1.0,5.0,4.0,0.0,0.0,9.0,0.1111111111111111,0.742,0.742,0.75,30.0,65.0,1.5,11.625,3.6122448979591835,1.08,4.0,67.0,0,5.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.07577281359145183,1.2595466727201377,-0.01754973480296379,-0.2125676108877752,0.17065675119732848,0.4,0.6,0.2,0.0,0.4,1.0,1.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.3,0.1,0.6829357241872371,0.0,0.1766340373787063,0.2295667141500476,-0.9522142857142856,0.0,0.0,0.0,0.0,-0.0207927617648586,-0.0020792761764858,0.2967996201329536,-0.9600714285714286,0.0,0.0,0.0,0.0,-0.0271041288324731,-0.0043366606131957,0.3185897435897437,-0.6678846153846153,0.0,0.0,0.0,0.0,-0.0202395940184604,-0.001011979700923,0.2924228395061727,-0.9600714285714286,0.0,0.0,0.0,0.0,-0.0267044355110107,-0.0006676108877752,0.470895061728395,-0.8268589743589744,0.0,0.0,0.0,0.0,-0.037036006121626,-0.0022221603672975
