Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-01,Geoff_Hartlieb,664129,pitcher,ATH,CIN,2026,831899,0,133,113,1,0.0,0.0,1.0,9.0,1.0,4.0,16.0,0.0,1.0,1.0,16.2,16.2,56.00000000000001,0.0,0.315,0.225,1.0611111111111111,4.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-2.3244444444444445,0.49150000000000005,-0.07649999999999935,0.0,1.0,9.0,0.0,1.0,9.0
2026-03-05,Geoff_Hartlieb,664129,pitcher,ATH,LAA,2026,831941,1,133,108,0,0.0,1.0,5.0,67.5,0.6666666666666666,7.0,30.0,1.0,4.0,0.0,4.7,4.7,56.99999999999999,10.0,0.36474420024420023,0.22156862745098038,1.038888888888889,0.0,77.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-2.343006535947713,0.6993489010989011,7.191210164835166,0.0,1.0,9.0,0.0,1.0,9.0
2026-03-13,Geoff_Hartlieb,664129,pitcher,ATH,MIL,2026,831935,2,133,158,0,0.0,0.0,2.0,18.0,1.0,6.0,25.0,0.0,2.0,0.0,3.2,3.2,52.0,0.0,0.2399537037037037,0.3900748038679073,1.0722222222222222,0.0,89.0,0,8.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,2.5,38.2,2.5,2.5,38.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.5082904579456304,0.24179166666666685,-13.523875,0.5,3.0,38.25,1.0,5.0,67.5
2026-03-23,Geoff_Hartlieb,664129,pitcher,ATH,CWS,2026,831915,3,133,145,1,0.0,1.0,0.0,0.0,0.3333333333333333,2.0,7.0,0.0,1.0,0.0,-2.8,-2.8,71.0,42.85714285714285,0.2651010101010101,0.2006172839506173,1.0611111111111111,0.0,88.0,0,10.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,2.5,31.5,2.5,2.5,31.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-2.2795061728395063,-0.37304545454545446,25.927772727272732,0.3333333333333333,2.6666666666666665,31.5,0.0,2.0,18.0
2026-06-20,Geoff_Hartlieb,664129,pitcher,ATH,LAA,2026,824988,4,133,108,1,0.0,1.0,1.0,3.0,3.0,13.0,43.0,1.0,3.0,1.0,7.866666666666667,7.866666666666667,63.0,6.976744186046512,0.2800719696969696,0.2765300059417707,1.08,0.0,79.0,0,89.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,2.5,1.5,23.6,2.5,1.5,23.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.4197599524658346,-0.09207613636363665,-19.376228409090913,0.5,2.0,23.625,1.0,0.0,0.0
2026-06-25,Geoff_Hartlieb,664129,pitcher,ATH,SF,2026,823209,5,133,137,0,0.0,1.0,0.0,0.0,2.0,7.0,25.0,1.0,0.0,0.0,3.7,3.7,64.0,12.0,0.2767449494949496,0.2899088928500693,1.08,0.0,64.0,0,5.0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,2.5,1.5,19.5,2.5,1.5,19.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.2407288571994455,-0.09104772727272681,-13.15971477272727,0.6,1.8,19.5,1.0,1.0,3.0
2026-06-27,Geoff_Hartlieb,664129,pitcher,ATH,LAA,2026,824015,6,133,108,0,0.0,0.0,1.0,13.5,0.6666666666666666,4.0,9.0,0.0,2.0,0.0,3.2,3.2,78.0,0.0,0.29649116161616157,0.29539255071169973,1.08,0.0,73.0,0,2.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,2.5,1.5,17.7,2.5,1.5,17.7,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.0528595943064023,-0.3061897727272729,-1.5835619318181813,0.8,1.6,17.7,1.0,0.0,0.0
2026-06-30,Geoff_Hartlieb,664129,pitcher,ATH,LAD,2026,824984,7,133,119,1,0.0,1.0,3.0,9.0,3.0,15.0,52.0,1.0,6.0,0.0,3.5333333333333337,3.5333333333333337,62.0,5.769230769230769,0.39414017957351294,0.20397603485838778,1.08,10.0,83.0,0,3.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,2.5,0.5,6.9,2.5,0.5,6.9,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-2.068191721132898,0.7172308080808083,-3.2483075757575754,0.6,0.8,6.9,0.0,1.0,13.5
2026-07-19,Geoff_Hartlieb,664129,pitcher,ATH,WSH,2026,824978,8,133,120,1,0.0,1.0,0.0,0.0,2.0,7.0,24.0,1.0,1.0,0.0,3.7,3.7,54.0,12.5,0.3629675925925926,0.24811507936507937,1.08,3.0,86.0,0,19.0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,2.5,0.5,5.1,2.5,0.5,5.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.4310793650793652,1.0409541666666666,1.8342937500000005,0.8,1.0,5.1,1.0,3.0,9.0
2026-07-21,Geoff_Hartlieb,664129,pitcher,ATH,AZ,2026,825056,9,133,109,0,0.0,0.0,1.0,27.0,0.3333333333333333,3.0,13.0,2.0,0.0,0.0,21.2,21.2,31.0,0.0,0.300504292929293,0.21452235645784046,1.08,0.0,75.0,0,2.0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,2.5,0.5,5.1,2.5,0.5,5.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.6998211483372765,0.2798693181818186,15.956471590909102,0.8,1.0,5.1,1.0,0.0,0.0
