Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-03,Geraldo_Perdomo,672695,hitter,DOM,DET,2026,836149,0,805,116,1,680744.0,Ty_Madden,2.0,4.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,9.0,0.06521739130434782,0.8366666666666668,0.8366666666666668,0.6666666666666666,30.0,65.0,4.1,8.2,4.5,1.08,-4.0,75.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.5,3.5,1.5,0.5,0.5,1.5,3.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.3309362318840581,0.684367391304348,0.4540905797101449,-0.23273333333333335,0.5996956521739132,2.0,4.0,2.0,0.0,1.0,2.0,4.0,2.0,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18,Geraldo_Perdomo,672695,hitter,AZ,CHC,2026,831932,1,109,112,1,665795.0,Edward_Cabrera,2.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,0.06382978723404255,0.7200000000000001,0.7200000000000001,0.3333333333333333,28.333333333333332,65.0,1.2272727272727273,7.056818181818182,4.971986102133161,1.0611111111111111,0.0,95.0,0,15.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.5,3.5,1.5,0.5,0.5,1.5,3.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.48895274247719045,0.22047531145215116,0.47156894788704906,-0.32648119916764895,0.5863282393090494,2.0,4.0,2.0,0.0,1.0,2.0,4.0,2.0,0.0,1.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.1,0.6559973664153292,0.0,0.04363069892807889,1.0,-0.21707370261317632,0.0,0.0,0.0,0.0,-0.002489130846030276,-0.0002489130846030276,1.0,-0.44157522083179973,0.0,0.0,0.0,0.0,-0.005063434629729056,-0.0008101495407566489,0.5,-0.7182124125874124,0.0,0.0,0.0,0.0,-0.0041177826900545,-0.00020588913450272502,1.0,-0.709604066985646,0.0,0.0,0.0,0.0,-0.008136855594848513,-0.00020342138987121283,0.6999999999999998,-0.695375874125874,0.0,0.0,0.0,0.0,-0.005581593080712673,-0.00033489558484276036
2026-03-20,Geraldo_Perdomo,672695,hitter,AZ,MIL,2026,831796,2,109,158,1,694819.0,Jacob_Misiorowski,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.07692307692307693,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,3.9,17.400000000000002,3.9039441583084846,1.0611111111111111,0.0,97.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,3.5,1.5,0.5,0.5,1.5,3.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.042564385670278204,-0.7027655668631745,-0.13154556961094688,-0.48081332294837487,-0.009583871624517681,2.0,3.5,1.5,0.0,0.5,2.0,3.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.1,0.7320495128834866,0.0,0.059365726800510624,0.76875,-0.3391538461538461,0.0,0.0,0.0,0.0,-0.004657417462073557,-0.0004657417462073557,0.8458333333333333,-0.5579711538461538,0.0,0.0,0.0,0.0,-0.008430626228171695,-0.0013489001965074712,0.5333333333333334,-0.17323397435897428,0.0,0.0,0.0,0.0,-0.0016504223222974844,-8.252111611487423e-05,1.0,-0.826,0.0,0.0,0.0,0.0,-0.014755140157216,-0.0003688785039304,0.8124999999999999,-0.278602564102564,0.0,0.0,0.0,0.0,-0.0040436333580062146,-0.00024261800148037287
2026-03-21,Geraldo_Perdomo,672695,hitter,AZ,TEX,2026,831734,3,109,140,1,596295.0,Austin_Gomber,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.08108108108108109,0.0,0.0,0.0,0.0,10.0,3.2884615384615383,8.826923076923077,4.573469387755103,1.0611111111111111,3.0,99.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,2.5,1.5,0.5,0.5,1.5,2.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.062047505163901784,-0.7298688379725913,-0.4888701380252989,-0.48019532828205513,-0.24207373661452003,1.6666666666666667,2.6666666666666665,1.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.1,0.848110212449394,0.0,0.07461064989749493,0.9770833333333331,-0.04557609836557222,0.0,0.0,0.0,0.0,-0.000676390226713342,-6.76390226713342e-05,0.984722222222222,0.2816232381166591,0.0,0.0,0.0,0.0,0.004212217626258171,0.0006739548202013074,0.734722222222222,0.37796260683760685,0.0,0.0,0.0,0.0,0.004217941829014325,0.00021089709145071629,1.0,0.6560445344129554,0.0,0.0,0.0,0.0,0.009964646495572002,0.00024911616238930005,0.8499999999999999,0.30307834757834756,0.0,0.0,0.0,0.0,0.0039129329951134335,0.000234775979706806
2026-03-23,Geraldo_Perdomo,672695,hitter,AZ,CLE,2026,831885,4,109,114,1,677944.0,Slade_Cecconi,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0967741935483871,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,3.0,11.25,3.4499999999999997,1.08,0.0,91.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.5329401178690063,-0.15494925464122056,0.24749747986225568,-0.4745633631775286,-0.26790194161591174,1.25,2.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.15,0.8442501464222772,0.0,0.10365357022615732,0.9422222222222223,-0.22053467987804878,0.0,0.0,0.0,0.0,-0.004315157184688003,-0.0004315157184688003,0.915,-0.2554649390243902,0.0,0.0,0.0,0.0,-0.004854212475369459,-0.0007766739960591135,0.78125,-0.2317611788617885,0.0,0.0,0.0,0.0,-0.0037600801742420807,-0.00018800400871210403,0.8489930555555555,-0.3706326219512194,0.0,0.0,0.0,0.0,-0.006534527101145049,-0.00016336317752862624,0.7609722222222223,-0.2197845528455283,0.0,0.0,0.0,0.0,-0.003473220480248863,-0.0002083932288149318
2026-03-24,Geraldo_Perdomo,672695,hitter,AZ,CLE,2026,831887,5,109,114,1,800048.0,Parker_Messick,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.024390243902439025,0.69,0.69,0.0,0.0,65.0,3.176470588235294,7.033613445378151,3.4499999999999997,1.08,0.0,74.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.3227700265434461,-0.2726013517141943,0.2813555382932774,-0.4741096359374847,-0.24872465535377802,1.0,1.6,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.1,0.7526777596391694,0.0,0.1091130307777535,0.8906666666666667,0.05366954161680412,0.0,0.0,0.0,0.0,0.0019704027576815473,0.00019704027576815473,0.7721666666666668,0.3170265381919881,0.0,0.0,0.0,0.0,0.010090637152139866,0.0016145019443423786,0.8,-0.07652103402336527,0.0,0.0,0.0,0.0,-0.002523380475918139,-0.00012616902379590695,0.48233333333333345,0.5841759284358905,0.0,0.0,0.0,0.0,0.011614562500611698,0.00029036406251529246,0.5956666666666667,0.06273201475712252,0.0,0.0,0.0,0.0,0.0015402969492292983,9.241781695375789e-05
2026-03-26,Geraldo_Perdomo,672695,hitter,AZ,LAD,2026,823974,6,109,119,0,808967.0,Yoshinobu_Yamamoto,2.0,5.0,1.0,1.0,2.0,4.0,4.0,0.0,1.0,3.0,0.12903225806451613,0.7475,0.7475,0.75,30.0,65.0,0.0,12.6,8.611773155009805,1.08,7.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.14098477472189763,1.268718966982922,0.44666514246830646,-0.2119883064236111,0.01325271569146913,0.6,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,0.9255555555555557,-0.8426470588235294,0.0,0.0,0.0,0.0,-0.008969041666666669,-0.0008969041666666669,0.7288888888888889,-0.9016544117647058,0.0,0.0,0.0,0.0,-0.007557867647058823,-0.0012092588235294117,0.8125,-0.8115808823529411,0.0,0.0,0.0,0.0,-0.007583208869485294,-0.0003791604434742647,0.3071527777777778,-1.0,0.0,0.0,0.0,0.0,-0.003532256944444444,-8.83064236111111e-05,0.5547222222222222,-0.8566176470588236,0.0,0.0,0.0,0.0,-0.005464625714869281,-0.0003278775428921568
2026-03-27,Geraldo_Perdomo,672695,hitter,AZ,LAD,2026,823971,7,109,119,0,686218.0,Emmet_Sheehan,1.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,3.0,0.10810810810810811,0.3175,0.3175,0.25,21.25,49.35,5.172077922077922,5.844155844155844,7.740805413074322,1.08,2.0,67.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.6504172619261535,0.40077811570701893,0.2815427355147415,-0.11855157710971725,0.4090149239080546,0.6,1.2,0.4,0.2,0.4,2.0,5.0,1.0,1.0,2.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.1,0.6512407532261381,0.0,0.1436889674396465,0.9504761904761906,-0.21454142409314822,0.0,0.0,0.0,0.0,-0.016594146412795784,-0.0016594146412795786,0.9211904761904762,-0.0667770376175548,0.0,0.0,0.0,0.0,-0.005005864668969126,-0.0008009383470350603,0.8214285714285714,0.2726431370353785,0.0,0.0,0.0,0.0,0.018224972896183276,0.0009112486448091639,0.7713095238095239,0.14238244514106588,0.0,0.0,0.0,0.0,0.008936915611310473,0.00022342289028276182,0.7933333333333333,0.15219055082848199,0.0,0.0,0.0,0.0,0.009825301986720613,0.0005895181192032367
2026-03-28,Geraldo_Perdomo,672695,hitter,AZ,LAD,2026,823973,8,109,119,0,607192.0,Tyler_Glasnow,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,0.12121212121212122,0.2225,0.2225,0.0,0.0,26.7,3.3692307692307697,14.215384615384616,2.5061115355233,1.08,0.0,76.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.0564914512924683,-0.2251548552792657,-0.28519350796640464,-0.33461511289373236,-0.18681440949131323,0.6,1.4,0.2,0.2,0.4,1.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.2,0.8334889777099029,0.0,0.18291285337944072,0.8724305555555554,-0.4857788461538461,0.0,0.0,0.0,0.0,-0.01881833459321106,-0.001881833459321106,0.86890625,-0.37152884615384607,0.0,0.0,0.0,0.0,-0.014334322768139068,-0.002293491642902251,0.778125,-0.20338461538461533,0.0,0.0,0.0,0.0,-0.007027149396847378,-0.0003513574698423689,0.8154644097222221,-0.23763461538461528,0.0,0.0,0.0,0.0,-0.008604515749294328,-0.00021511289373235822,0.7943055555555555,-0.19631730769230762,0.0,0.0,0.0,0.0,-0.006924013548878999,-0.00041544081293273994
2026-03-30,Geraldo_Perdomo,672695,hitter,AZ,DET,2026,825108,9,109,116,1,434378.0,Justin_Verlander,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,3.0,0.11904761904761904,0.13799999999999998,0.13799999999999998,0.0,0.0,16.56,8.914285714285713,13.071428571428571,1.7934065934065937,1.08,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.16570675267324686,-0.27370736133989704,-0.36709865005423425,-0.33366994370066605,-0.2471574569996136,0.8,1.6,0.2,0.2,0.4,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.15,0.7464995062514932,0.0,0.1887830715726288,0.9090630511463846,0.4062500000000001,0.0,1.0,0.0,0.0,0.028085841750784917,0.002808584175078492,0.8329298941798943,0.546875,0.0,1.0,0.0,0.0,0.034641491625643665,0.005542638660102987,0.8279761904761905,0.8197916666666667,0.0,1.0,0.0,0.0,0.051620405508721004,0.0025810202754360505,0.6143788580246913,0.625,0.0,1.0,0.0,0.0,0.029202251973356807,0.0007300562993339203,0.6976543209876543,0.8708333333333335,0.0,1.0,0.0,0.0,0.04620355550094409,0.0027722133300566456
