Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-18,Gerrit_Cole,pitcher,NYY,BOS,2026,831607,0,147,111,1,0.0,0.0,0.0,1.0,4.0,10.0,0.0,2.0,0.0,3.2,3.2,70.0,0.0,0.29698710965867825,0.1983336924513395,1.08,-6.0,62.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-2.5,-0.45595800653594776,-1.10362205882353,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-24,Gerrit_Cole,pitcher,NYY,CHC,2026,831779,1,147,112,0,3.0,1.0,5.4,1.6666666666666665,6.0,26.0,0.0,1.0,1.0,7.4,7.4,65.0,34.61538461538461,0.44495419103313844,0.21500721500721498,1.0277777777777777,0.0,91.0,0,6.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-2.3910533910533913,0.17229385964912292,2.1303868421052643,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22,Gerrit_Cole,pitcher,NYY,TB,2026,823546,2,147,139,1,2.0,0.0,0.0,6.0,22.0,72.0,3.0,2.0,0.0,4.033333333333333,4.033333333333333,69.0,8.333333333333332,0.35529040404040396,0.18642305407011292,1.08,10.0,66.0,0,59.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,2.5,0.5,2.7,2.5,0.5,2.7,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.1406155674390968,0.32640681818181805,-1.4603897727272732,1.5,0.5,2.7,3.0,1.0,5.4
2026-05-27,Gerrit_Cole,pitcher,NYY,KC,2026,824104,3,147,118,0,10.0,0.0,0.0,6.666666666666667,23.0,79.0,0.0,4.0,0.0,0.20000000000000018,0.20000000000000018,75.0,37.9746835443038,0.2572165954415954,0.1483861483861484,1.06,0.0,84.0,0,5.0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.456910812910813,-0.40932532051282056,-1.6775891826923077,1.6666666666666667,0.3333333333333333,1.8,2.0,0.0,0.0
2026-06-03,Gerrit_Cole,pitcher,NYY,CLE,2026,823540,4,147,114,1,2.0,4.0,6.75,5.333333333333333,23.0,83.0,1.0,6.0,3.0,10.325,10.325,67.0,7.228915662650602,0.30643796296296294,0.31904116660214227,1.08,11.0,76.0,0,7.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,3.5,0.5,1.5,3.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,1.5203293328171377,-0.2334291666666667,-1.05016171875,3.75,0.25,1.35,10.0,0.0,0.0
2026-06-09,Gerrit_Cole,pitcher,NYY,CLE,2026,824429,5,147,114,0,4.0,2.0,4.5,4.0,21.0,83.0,2.0,5.0,0.0,2.7,2.7,64.0,14.457831325301203,0.3128009259259259,0.19682539682539688,1.08,10.0,86.0,0,6.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,3.5,0.5,2.4,3.5,0.5,2.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.8293968253968256,0.9752041666666666,0.9192093749999999,3.4,1.0,2.43,2.0,4.0,6.75
2026-06-16,Gerrit_Cole,pitcher,NYY,CWS,2026,823535,6,147,145,1,6.0,2.0,3.0,6.0,23.0,90.0,2.0,3.0,1.0,4.366666666666667,4.366666666666667,66.0,20.0,0.2752777777777779,0.23683231913455038,1.08,8.0,72.0,0,7.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,4.5,1.5,3.3,4.5,1.5,3.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.653341446923597,-0.22564999999999924,-1.3884749999999988,4.2,1.4,3.3299999999999996,4.0,2.0,4.5
2026-06-22,Gerrit_Cole,pitcher,NYY,DET,2026,824261,7,147,116,0,5.0,5.0,10.384615384615385,4.333333333333333,24.0,89.0,1.0,9.0,1.0,4.584615384615385,4.584615384615385,69.0,16.853932584269664,0.3201738215488215,0.19434719791058877,1.0666666666666667,-13.0,75.0,0,6.0,1.2246467991473532e-16,-1.0,0.0,1.0,4.5,1.5,2.8,4.5,1.5,2.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.27588908338195584,0.11078219696969693,0.5454707167832171,4.8,1.6,2.85,6.0,2.0,3.0
2026-06-27,Gerrit_Cole,pitcher,NYY,BOS,2026,824745,8,147,111,0,5.0,4.0,6.75,5.333333333333333,24.0,89.0,1.0,7.0,2.0,6.7625,6.7625,69.0,16.853932584269664,0.3522979797979797,0.17416404258509519,1.08,-9.0,75.0,0,5.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,5.5,2.5,4.9,5.5,2.5,4.9,real,real,synthetic,8.0,5.0,0.0,-111.49826,113.379999,-110.0,-118.371541,-151.950274,-110.0,0.5175491695067655,0.0,0.0,2026-06-27T13:01:31.487963+00:00,-1.1506876593192388,0.46494090909090824,0.10333778409090755,5.4,2.6,4.926923076923077,5.0,5.0,10.384615384615385
2026-07-03,Gerrit_Cole,pitcher,NYY,MIN,2026,823527,9,147,142,1,7.0,2.0,3.6,5.0,20.0,88.0,0.0,5.0,1.0,3.0,3.0,72.0,23.863636363636363,0.3102811447811448,0.25165132970011017,1.08,11.0,92.0,0,6.0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,4.5,3.5,6.3,4.5,3.5,6.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.250789362399118,-0.3081348484848485,-0.5546427272727268,4.4,3.4,6.276923076923078,5.0,4.0,6.75
