Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-08,Graham_Ashcraft,pitcher,CIN,AZ,2026,831960,0,113,109,1,2.0,2.0,13.5,1.3333333333333333,6.0,16.0,0.0,2.0,1.0,9.95,9.95,69.0,37.5,0.2468842203548086,0.23841703419168211,1.08,-10.0,85.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,1.5,13.5,2.5,1.5,13.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.5046637264665432,0.07857899159663884,-2.8445918067226863,2.0,2.0,13.5,2.0,2.0,13.5
2026-03-11,Graham_Ashcraft,pitcher,CIN,MIL,2026,831793,1,113,158,1,1.0,0.0,0.0,1.0,3.0,15.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,53.0,20.0,0.2616975308641975,0.24087245139876715,1.08,4.0,77.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,1.5,13.5,2.5,1.5,13.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.485020388809863,0.14523888888888892,1.30715,2.0,2.0,13.5,2.0,2.0,13.5
2026-03-13,Graham_Ashcraft,pitcher,CIN,SF,2026,831759,2,113,137,1,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,3.2,3.2,56.99999999999999,0.0,0.25265608465608463,0.20347394540942929,1.08,5.0,86.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,6.8,2.5,0.5,6.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-1.2842084367245656,0.06455238095238092,-1.7190285714285718,1.5,1.0,6.75,1.0,0.0,0.0
2026-03-17,Graham_Ashcraft,pitcher,CIN,CLE,2026,831883,3,113,114,1,3.0,0.0,0.0,1.0,4.0,17.0,0.0,1.0,0.0,-2.8,-2.8,71.0,52.94117647058824,0.3339115831517792,0.3227820844099914,1.08,0.0,90.0,0,4.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,4.5,2.5,0.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.829743324720069,0.19020212418300653,1.7118191176470585,1.0,0.6666666666666666,4.5,0.0,0.0,0.0
2026-03-22,Graham_Ashcraft,pitcher,CIN,CLE,2026,831896,4,113,114,0,1.0,1.0,9.0,1.0,5.0,20.0,1.0,1.0,0.0,4.2,4.2,55.00000000000001,15.0,0.36395315255731925,0.2063899063899064,1.08,0.0,95.0,0,5.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,3.4,2.5,0.5,3.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.9808807488807489,0.2053891865079367,2.94850267857143,1.5,0.5,3.375,3.0,0.0,0.0
2026-03-26,Graham_Ashcraft,pitcher,CIN,BOS,2026,824541,5,113,111,1,1.0,0.0,0.0,0.6666666666666666,3.0,14.0,1.0,0.0,0.0,4.7,4.7,50.0,21.428571428571427,0.32366234567901236,0.20072463768115942,1.08,0.0,81.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,4.5,2.5,0.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-1.3782028985507246,0.25608055555555576,5.707087500000004,1.4,0.6,4.5,1.0,1.0,9.0
2026-03-28,Graham_Ashcraft,pitcher,CIN,BOS,2026,824540,6,113,111,1,2.0,1.0,9.0,1.0,5.0,19.0,1.0,1.0,0.0,2.2,2.2,63.0,31.57894736842105,0.3488216049382716,0.1673913043478261,1.08,0.0,49.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-1.7888695652173914,-0.07870277777777784,1.9916749999999992,1.2,0.2,1.8,1.0,0.0,0.0
2026-03-30,Graham_Ashcraft,pitcher,CIN,PIT,2026,824539,7,113,134,1,3.0,0.0,0.0,1.3333333333333333,4.0,18.0,0.0,0.0,0.0,-1.2999999999999998,-1.2999999999999998,72.0,50.0,0.31040572390572396,0.23897897897897893,1.08,-14.0,74.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,3.6,2.5,0.5,3.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.9321681681681686,0.05242575757575796,0.12887386363636644,1.4,0.4,3.6,2.0,1.0,9.0
2026-04-01,Graham_Ashcraft,pitcher,CIN,PIT,2026,824536,8,113,134,1,2.0,0.0,0.0,1.0,4.0,21.0,0.0,1.0,0.0,-0.7999999999999998,-0.7999999999999998,81.0,28.57142857142857,0.2618106060606061,0.2567138567138567,1.08,0.0,73.0,0,2.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.5,0.5,3.6,2.5,0.5,3.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.21828914628914653,-0.3262522727272726,-2.0362704545454533,2.0,0.4,3.6,3.0,0.0,0.0
2026-04-03,Graham_Ashcraft,pitcher,CIN,TEX,2026,822919,9,113,140,0,2.0,1.0,9.0,1.0,5.0,17.0,0.0,2.0,0.0,-0.7999999999999998,-0.7999999999999998,71.0,35.294117647058826,0.3386557239057239,0.21490094745908705,1.08,0.0,74.0,0,2.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,3.6,2.5,0.5,3.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-27T02:00:19.038859+00:00,-0.8367924203273036,0.019550757575757638,1.0759568181818184,1.8,0.4,3.6,2.0,0.0,0.0
