Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-02,Grant_Taylor,pitcher,CWS,SF,2026,831760,0,145,137,1,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,86.0,42.857142857142854,0.38787037037037037,0.1282051282051282,1.0611111111111111,2.0,86.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-2.238803418803419,-0.06058333333333332,2.45475,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-07,Grant_Taylor,pitcher,CWS,SEA,2026,831904,1,145,136,0,0.0,0.0,0.0,1.0,4.0,13.0,0.0,1.0,0.0,3.2,3.2,69.0,0.0,0.356038489469862,0.23738941795782706,1.0722222222222222,-10.0,75.0,0,5.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-1.3697735452262725,-0.19582679738562098,1.2375588235294113,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-10,Grant_Taylor,pitcher,CWS,ATH,2026,831918,2,145,133,0,2.0,2.0,10.8,1.6666666666666665,9.0,36.0,0.0,5.0,0.0,0.7999999999999998,0.7999999999999998,64.0,16.666666666666664,0.29821399176954727,0.2521860206070732,1.0611111111111111,11.0,71.0,0,3.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-1.746956279587859,-0.46403703703703725,-1.305800000000001,0.5,0.0,0.0,0.0,0.0,0.0
2026-03-14,Grant_Taylor,pitcher,CWS,LAD,2026,831809,3,145,119,1,0.0,1.0,9.0,1.0,6.0,26.0,2.0,1.0,0.0,9.2,9.2,42.0,0.0,0.3715432098765432,0.2266496502174324,1.0611111111111111,0.0,88.0,0,4.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,3.6,2.5,0.5,3.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-1.3112472427049853,0.6659444444444444,6.893500000000001,1.0,0.6666666666666666,3.6,2.0,2.0,10.8
2026-03-16,Grant_Taylor,pitcher,CWS,TEX,2026,831905,4,145,140,0,0.0,2.0,18.0,1.0,6.0,23.0,1.0,2.0,0.0,6.2,6.2,48.0,0.0,0.323463141923436,0.2053278044016256,1.0611111111111111,-5.0,90.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,5.0,2.5,0.5,5.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-1.9418220092314398,0.3495841386554621,2.6462572478991593,0.75,0.75,4.95,0.0,1.0,9.0
2026-03-23,Grant_Taylor,pitcher,CWS,ATH,2026,831915,5,145,133,0,1.0,1.0,9.0,1.0,5.0,19.0,0.0,2.0,0.0,1.2000000000000002,1.2000000000000002,68.0,15.789473684210526,0.2947993827160494,0.21388888888888888,1.0611111111111111,0.0,88.0,0,7.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,7.6,2.5,0.5,7.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-1.9813333333333336,0.5605972222222224,1.945375000000002,0.6,1.0,7.56,0.0,2.0,18.0
2026-03-28,Grant_Taylor,pitcher,CWS,MIL,2026,823811,6,145,158,0,1.0,1.0,9.0,1.0,6.0,26.0,1.0,2.0,0.0,4.2,4.2,62.0,11.538461538461538,0.3398246187363834,0.17431549196255083,1.0733333333333333,0.0,63.0,0,5.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,1.5,9.4,2.5,1.5,9.4,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-2.162809397632927,-0.24398921568627463,1.9040970588235275,0.6,1.2,9.36,1.0,1.0,9.0
2026-03-29,Grant_Taylor,pitcher,CWS,MIL,2026,823810,7,145,158,0,3.0,0.0,0.0,1.0,5.0,24.0,1.0,1.0,0.0,0.20000000000000018,0.20000000000000018,57.99999999999999,37.5,0.3193725490196078,0.19343216961581386,1.0733333333333333,0.0,62.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,1.5,11.2,2.5,1.5,11.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-1.8658759764068225,-0.19202352941176493,0.5717882352941164,0.8,1.4,11.16,1.0,1.0,9.0
2026-04-03,Grant_Taylor,pitcher,CWS,TOR,2026,824621,8,145,141,1,1.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,100.0,33.33333333333333,0.3523864413364413,0.23920377867746287,1.08,0.0,53.0,0,5.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.5,0.5,9.0,2.5,0.5,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-1.078369770580297,0.5133389860139861,0.12005087412587478,1.0,1.0,9.0,3.0,0.0,0.0
2026-04-04,Grant_Taylor,pitcher,CWS,TOR,2026,824622,9,145,141,1,1.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,56.00000000000001,33.33333333333333,0.2719310541310542,0.2567476383265857,1.08,16.0,50.0,0,1.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,2.5,0.5,7.2,2.5,0.5,7.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-19T19:25:43.905651+00:00,-1.0740188933873145,0.00728974358974388,-2.6343923076923055,1.2,0.8,7.2,1.0,0.0,0.0
