Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-05-12,Ha-Seong_Kim,hitter,ATL,CHC,2026,824927,0,144,112,1,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,8.0,0.11428571428571428,0.1725,0.1725,0.0,0.0,20.7,3.0,7.8,4.0377551020408164,1.08,0.0,70.0,0,2.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.25875646258503393,-0.400925,-0.4224872448979592,-0.4744,-0.4049622448979592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-13,Ha-Seong_Kim,hitter,ATL,CHC,2026,824928,1,144,112,1,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,7.0,0.10344827586206896,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,2.75,10.517857142857144,3.609183673469388,1.08,0.0,76.0,0,1.0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.39972321135350697,-0.3568844827586206,-0.379279322073657,-0.4744,-0.40188564391273746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-14,Ha-Seong_Kim,hitter,ATL,CHC,2026,824926,2,144,112,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,8.0,0.08823529411764706,0.0,0.0,0.0,0.0,10.0,9.0,13.5,6.18061224489796,1.08,11.0,70.0,0,1.0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.016336294517807104,-0.0569970588235294,-0.4430429171668667,-0.4744,-0.38020468187274903,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-05-15,Ha-Seong_Kim,hitter,ATL,BOS,2026,824925,3,144,111,1,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,7.0,0.1111111111111111,0.0,0.0,0.0,0.0,10.0,4.6499999999999995,7.478571428571429,2.586038961038961,1.08,-5.0,77.0,0,1.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.04608701298701301,-0.27535,-0.5,-0.4744,-0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-16,Ha-Seong_Kim,hitter,ATL,BOS,2026,824924,4,144,111,1,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,7.0,0.11764705882352941,0.0,0.0,0.0,0.0,10.0,2.5285714285714285,8.4,2.586038961038961,1.08,0.0,82.0,0,1.0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.11588393175451994,-0.31987941176470586,-0.27571275783040483,-0.4744,-0.5,0.25,0.25,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-05-18,Ha-Seong_Kim,hitter,ATL,MIA,2026,823867,5,144,146,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,8.0,0.09090909090909091,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,6.0,6.0,2.0357142857142856,1.0766666666666667,0.0,72.0,0,2.0,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.13946839826839824,-0.2781772727272727,-0.39241883116883114,-0.47546666666666665,-0.5,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-19,Ha-Seong_Kim,hitter,ATL,MIA,2026,823865,6,144,146,0,1.0,1.0,1.0,0.0,1.0,5.0,4.0,1.0,0.0,9.0,0.10869565217391304,0.316,0.316,0.0,0.0,37.92,6.0,3.0,2.0357142857142856,1.0766666666666667,0.0,72.0,0,1.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.036677846790890256,-0.22005434782608696,-0.33270776397515534,-0.47546666666666665,-0.468588198757764,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-21,Ha-Seong_Kim,hitter,ATL,MIA,2026,823864,7,144,146,0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,8.0,0.1,0.395,0.395,0.0,0.0,47.400000000000006,27.0,10.5,2.935714285714286,1.0766666666666667,0.0,72.0,0,2.0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,-0.17510476190476187,-0.05399999999999994,0.02278571428571441,-0.47546666666666665,-0.11411428571428561,0.2,0.2,0.4,0.0,0.2,1.0,1.0,1.0,0.0,1.0
2026-05-22,Ha-Seong_Kim,hitter,ATL,WSH,2026,824922,8,144,120,1,1.0,1.0,1.0,0.0,1.0,5.0,5.0,0.0,2.0,8.0,0.1111111111111111,0.178,0.178,0.0,0.0,21.36,4.1426470588235285,5.605147058823529,4.213509316770187,1.08,-7.0,73.0,0,1.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.27934968639629776,-0.013916666666666633,0.10932546583850933,-0.4744,-0.26225786749482394,0.4,0.4,0.6,0.0,0.2,1.0,1.0,1.0,0.0,0.0
2026-05-24,Ha-Seong_Kim,hitter,ATL,WSH,2026,824921,9,144,120,1,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,8.0,0.10810810810810811,0.1725,0.1725,0.0,0.0,20.7,0.0,6.0,3.969666952238167,1.08,0.0,79.0,0,2.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-06-20T11:59:16.219807+00:00,0.40943893034177903,0.10432905405405402,0.0903245638281247,-0.4744,0.01636848274704361,0.6,0.6,0.6,0.0,0.4,1.0,1.0,1.0,0.0,1.0
