Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-02,Jace_Jung,690291,hitter,DET,ATL,2026,831527,0,116,144,1,693821.0,Bryce_Elder,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0606060606060606,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.0611111111111111,-7.0,80.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.3215757575757575,-0.5,-0.5,-0.48044444444444445,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Jace_Jung,690291,hitter,DET,PAN,2026,831433,1,116,890,1,642545.0,,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,7.0,0.0714285714285714,0.445,0.445,0.0,0.0,53.4,4.1,8.2,4.0,1.0611111111111111,-11.0,80.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.30566666666666664,-0.33416666666666667,-0.3185,-0.48044444444444445,-0.37550000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,-0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Jace_Jung,690291,hitter,DET,BOS,2026,831631,2,116,111,1,813349.0,Connelly_Early,3.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,6.0,0.0697674418604651,0.89,0.89,0.0,0.0,65.0,4.1,8.2,15.039395604395605,1.0611111111111111,12.0,83.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.6274672970440411,0.3142693798449613,0.48612675696396623,-0.48044444444444445,0.8080162918476872,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8262499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.81375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Jace_Jung,690291,hitter,DET,PIT,2026,831518,3,116,134,1,682995.0,Hunter_Barco,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0294117647058823,0.0,0.0,0.0,0.0,10.0,0.0,9.0,1.65,1.0611111111111111,9.0,83.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,1.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.1611101352156863,-0.33389930014117675,-0.5,-0.48051962138194443,-0.28925135403921565,1.3333333333333333,1.3333333333333333,0.0,0.0,1.3333333333333333,3.0,3.0,0.0,0.0,3.0,batter_pitcher_profile_network_v2,0.1,0.05,0.9425,0.0,0.0617271875,0.8533333333333334,-0.7040000000000001,0.0,0.0,0.0,0.0,-0.0034542933333333,-0.0003454293333333,0.39,-0.744,0.0,0.0,0.0,0.0,-0.00166842,-0.0002669472,0.625,-0.4399999999999998,0.0,0.0,0.0,0.0,-0.0015812499999999,-7.906249999999998e-05,-0.7029166666666666,-0.744,0.0,0.0,0.0,0.0,-0.0030070774999999,-7.51769375e-05,0.0283333333333333,-0.6399999999999999,0.0,0.0,0.0,0.0,-0.0001042666666666,-6.256000000000005e-06
2026-03-08,Jace_Jung,690291,hitter,DET,TOR,2026,831627,4,116,141,0,592332.0,Kevin_Gausman,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0857142857142857,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,9.0,5.85,1.08,5.0,79.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.4334552004293982,0.24366267130000008,-0.2896510934895834,-0.4745177940208333,0.369200467779514,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.05,0.9425,0.0,0.0783938541666666,0.4942534722222222,-0.7340000000000001,0.0,0.0,0.0,0.0,-0.0027813290393518,-0.0002781329039351,0.0919791666666666,-0.774,0.0,0.0,0.0,0.0,-0.0005458043749999,-8.732869999999996e-05,0.3273437499999999,-0.5399999999999999,0.0,0.0,0.0,0.0,-0.0013552031249999,-6.776015624999997e-05,-0.7940277777777778,-0.774,0.0,0.0,0.0,0.0,-0.0047117608333333,-0.0001177940208333,-0.3026215277777778,-0.7149999999999999,0.0,0.0,0.0,0.0,-0.0016588703414351,-9.953222048611108e-05
2026-03-10,Jace_Jung,690291,hitter,DET,BOS,2026,831625,5,116,111,0,543243.0,Sonny_Gray,1.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,7.0,0.075,0.5366666666666666,0.5366666666666666,0.0,0.0,64.39999999999999,4.1,8.2,14.698469387755102,1.08,-6.0,87.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.9892554421768707,0.48005,0.27134013605442175,-0.4744,0.7351234693877551,1.0,1.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.0,1.0,0.0,0.0833333333333333,0.4640277777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0658333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2762499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7918055555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3384722222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,Jace_Jung,690291,hitter,DET,MIN,2026,831619,6,116,142,0,671737.0,Taj_Bradley,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,6.0,0.0588235294117647,0.345,0.345,0.0,0.0,41.4,4.1,8.2,3.8682745825602973,1.08,0.0,84.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.34573176179562726,-0.4998647058823529,-0.11796862381316164,-0.4744,0.11709019971625012,1.2,1.2,0.2,0.0,0.8,1.0,1.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.0,1.0,0.0,0.1,0.6722106481481478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2384027777777774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4671874999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7369907407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1340393518518522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-13,Jace_Jung,690291,hitter,DET,PIT,2026,831512,7,116,134,1,605182.0,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,8.0,0.054054054054054,0.345,0.345,0.0,0.0,41.4,4.1,8.2,1.7142857142857142,1.0611111111111111,-7.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.23814064547533254,0.22157031196036037,-0.3917981764901062,-0.480627700298611,-0.13228973805148003,1.0,1.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.05,0.9425,0.0,0.1283938541666666,0.5896130952380947,-0.7040000000000001,0.0,0.0,0.0,0.0,-0.0055690922222222,-0.0005569092222222,0.1816071428571423,-0.744,0.0,0.0,0.0,0.0,-0.0018128024999999,-0.0002900483999999,0.4084821428571422,-0.4399999999999998,0.0,0.0,0.0,0.0,-0.0024114062499999,-0.0001205703124999,-0.7343452380952381,-0.744,0.0,0.0,0.0,0.0,-0.0073302341666666,-0.0001832558541666,-0.1389583333333338,-0.6399999999999999,0.0,0.0,0.0,0.0,-0.0011931888888888,-7.159133333333356e-05
2026-03-14,Jace_Jung,690291,hitter,DET,TOR,2026,831614,8,116,141,0,453286.0,Max_Scherzer,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,8.0,0.0714285714285714,0.2299999999999999,0.2299999999999999,0.0,0.0,27.6,0.0,2.25,5.161224489795919,1.08,0.0,78.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.30963629449403607,-0.17410341157222226,-0.26088371402373933,-0.4745372810902777,-0.3820379989521408,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.05,0.9425,0.0,0.1450605208333333,0.6359982638888887,-0.389,0.0,0.0,0.0,0.0,-0.0037935176446759,-0.0003793517644675,0.2112326388888888,-0.4889999999999999,0.0,0.0,0.0,0.0,-0.0015838223263888,-0.0002534115722222,0.421050347222222,-0.6038888888888888,0.0,0.0,0.0,0.0,-0.0038987702707047,-0.0001949385135352,-0.732361111111111,-0.4889999999999999,0.0,0.0,0.0,0.0,-0.0054912436111111,-0.0001372810902777,-0.1520225694444443,-0.7094444444444444,0.0,0.0,0.0,0.0,-0.0016537240322788,-9.922344193672834e-05
2026-03-16,Jace_Jung,690291,hitter,DET,PHI,2026,831498,9,116,143,1,666155.0,,1.0,1.0,2.0,0.0,0.0,5.0,4.0,1.0,1.0,8.0,0.1063829787234042,0.316,0.316,0.0,0.0,37.92,4.1,8.2,3.064285714285714,1.0611111111111111,20.0,83.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.005712259371833894,-0.10604645390070927,-0.274193161094225,-0.48044444444444445,-0.41987933130699095,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.0,1.0,0.0,0.15,0.5815432098765433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1618518518518518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7478549382716049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2351234567901234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
