Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-05-19,Jackson_Holliday,hitter,BAL,TB,2026,822979,0,110,139,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,7.0,0.06451612903225806,0.0,0.0,0.0,0.0,10.0,3.6,3.6,7.399707435421722,1.08,0.0,72.0,0,2.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.021893673760954968,-0.5,-0.40197430564826875,-0.4744,-0.3471436604869784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-20,Jackson_Holliday,hitter,BAL,TB,2026,822977,1,110,139,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,8.0,0.05128205128205128,0.0,0.0,0.0,0.0,10.0,5.357142857142858,5.357142857142858,6.542564578278864,1.08,0.0,72.0,0,1.0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.11970327767470623,-0.5,-0.47150638647067217,-0.4744,-0.4055640787783644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22,Jackson_Holliday,hitter,BAL,DET,2026,824842,2,110,116,1,2.0,5.0,2.0,1.0,2.0,4.0,3.0,1.0,0.0,9.0,0.0975609756097561,0.92,0.92,1.0,30.0,65.0,31.5,4.5,3.122448979591837,1.08,-6.0,55.0,0,2.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.22495407333665168,1.1171865853658536,-0.08820072175211546,-0.14939999999999998,-0.24614584370333492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-24,Jackson_Holliday,hitter,BAL,DET,2026,824839,3,110,116,1,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,6.0,0.05555555555555555,0.345,0.345,0.0,0.0,41.4,10.299999999999999,7.95,3.2372448979591835,1.08,-3.0,58.0,0,2.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.29272312925170074,0.3459000000000001,0.28502891156462573,-0.14106666666666667,0.31102891156462587,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.0,5.0,2.0,1.0,2.0
2026-05-24,Jackson_Holliday,hitter,BAL,DET,2026,824840,4,110,116,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,9.0,0.08571428571428572,0.0,0.0,0.0,0.0,10.0,10.299999999999999,7.95,3.2372448979591835,1.08,-5.0,62.0,0,0.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.037610204081632626,-0.73475,0.016612244897959094,-0.2994,-0.19033775510204082,0.5,1.25,0.75,0.25,0.5,0.0,0.0,1.0,0.0,0.0
2026-05-25,Jackson_Holliday,hitter,BAL,TB,2026,824838,5,110,139,1,0.0,0.0,0.0,0.0,1.0,6.0,4.0,1.0,3.0,8.0,0.1111111111111111,0.11499999999999999,0.11499999999999999,0.0,0.0,13.799999999999999,2.4,9.917647058823528,7.400649350649352,1.08,2.0,69.0,0,1.0,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.03254362108479769,0.1897333333333333,0.09403246753246763,-0.33440000000000003,0.014199134199134322,0.4,1.0,0.6,0.2,0.4,0.0,0.0,0.0,0.0,0.0
2026-05-26,Jackson_Holliday,hitter,BAL,TB,2026,824837,6,110,139,1,2.0,2.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,9.0,0.08571428571428572,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,12.0,24.0,5.242486085343229,1.08,2.0,74.0,0,1.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.5,0.3772500000000001,0.20720763760049477,-0.33440000000000003,0.31592430426716145,0.4,1.0,0.6,0.2,0.6,0.0,0.0,0.0,0.0,1.0
2026-05-27,Jackson_Holliday,hitter,BAL,TB,2026,824836,7,110,139,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.024390243902439025,0.0,0.0,0.0,0.0,10.0,2.107142857142857,5.107142857142857,4.891836734693878,1.08,2.0,80.0,0,1.0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.6485699850671978,-0.4287158536585365,0.13407354405176708,-0.33440000000000003,0.18427476356396233,0.8,1.4,0.8,0.2,0.8,2.0,2.0,1.0,0.0,1.0
2026-05-28,Jackson_Holliday,hitter,BAL,TOR,2026,824834,8,110,141,1,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,8.0,0.11428571428571428,0.2225,0.2225,0.0,0.0,26.7,0.0,13.5,2.9582025117739406,1.08,-9.0,77.0,0,1.0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.2822718995290423,-0.13042499999999996,-0.19296487441130294,-0.4744,-0.17193987441130293,0.4,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0
2026-05-29,Jackson_Holliday,hitter,BAL,TOR,2026,824835,9,110,141,1,2.0,5.0,2.0,1.0,1.0,4.0,4.0,0.0,0.0,9.0,0.10256410256410256,0.7475,0.7475,0.75,30.0,65.0,0.0,9.0,2.9582025117739406,1.08,6.0,80.0,0,1.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.21549733124018844,1.257025,-0.05698410518053365,-0.21189999999999998,-0.028224489795918295,0.6,0.6,0.2,0.0,0.4,1.0,1.0,0.0,0.0,0.0
2026-05-30,Jackson_Holliday,hitter,BAL,TOR,2026,824833,10,110,141,1,1.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,1.0,8.0,0.1,0.395,0.395,0.0,0.0,47.400000000000006,0.0,7.5,3.2838054802340517,1.08,-14.0,67.0,0,1.0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.6510855525426953,0.37560000000000016,0.3081902740117026,-0.2344,0.1752902740117026,1.0,1.6,0.6,0.2,0.6,2.0,5.0,2.0,1.0,1.0
2026-05-31,Jackson_Holliday,hitter,BAL,TOR,2026,824832,11,110,141,1,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,9.0,0.10526315789473684,0.1725,0.1725,0.0,0.0,20.7,0.6923076923076924,10.321678321678322,5.2123769088054805,1.08,0.0,69.0,0,1.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.399785330959767,-0.15477763157894708,0.26687542438764256,-0.33440000000000003,0.21115831912448468,1.2,1.8,0.8,0.2,0.6,1.0,1.0,1.0,0.0,1.0
2026-06-03,Jackson_Holliday,hitter,BAL,BOS,2026,824755,12,110,111,0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,8.0,0.10256410256410256,0.2225,0.2225,0.0,0.0,26.7,3.535714285714286,10.125,3.0164835164835173,1.08,10.0,80.0,0,3.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.15757857142857157,-0.523225,-0.07682005494505484,-0.33440000000000003,-0.18281043956043952,0.8,1.4,0.6,0.2,0.4,0.0,0.0,0.0,0.0,0.0
2026-06-04,Jackson_Holliday,hitter,BAL,BOS,2026,824753,13,110,111,0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,9.0,0.09302325581395349,0.345,0.345,0.0,0.0,41.4,4.2,5.742857142857143,2.802197802197803,1.08,10.0,87.0,0,1.0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.6627559076582332,-0.21451860465116268,-0.04218080756452852,-0.33440000000000003,-0.1679947610529005,1.0,1.6,0.6,0.2,0.4,1.0,1.0,0.0,0.0,0.0
2026-06-05,Jackson_Holliday,hitter,BAL,TOR,2026,822810,14,110,141,0,1.0,2.0,1.0,0.0,0.0,5.0,5.0,0.0,2.0,9.0,0.1111111111111111,0.254,0.254,0.2,17.0,39.480000000000004,9.0,3.3000000000000003,5.197741389045738,1.08,11.0,72.0,0,1.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.5613096555618293,-0.2597166666666666,0.05033706945228689,-0.24189999999999995,-0.054246263881046364,0.8,1.4,0.6,0.2,0.4,0.0,0.0,0.0,0.0,0.0
2026-06-06,Jackson_Holliday,hitter,BAL,TOR,2026,822808,15,110,141,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,9.0,0.05714285714285714,0.0,0.0,0.0,0.0,10.0,6.6923076923076925,8.230769230769232,7.126312817617166,1.08,0.0,77.0,0,1.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.3399140511662251,0.23504999999999998,-0.04893435911914168,-0.4744,-0.23348435911914167,0.6,0.8,0.4,0.0,0.2,1.0,2.0,1.0,0.0,0.0
