Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-01,Jacob_Waguespack,pitcher,MIL,KC,2026,831794,0,158,118,0,1.0,0.0,0.0,1.0,4.0,11.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,64.0,27.27272727272727,0.315,0.225,1.0611111111111111,2.0,87.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.4644444444444444,-0.38849999999999996,-0.4964999999999993,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-05,Jacob_Waguespack,pitcher,MIL,COL,2026,831792,1,158,115,0,1.0,0.0,0.0,1.0,3.0,13.0,1.0,0.0,0.0,4.2,4.2,46.0,23.076923076923077,0.2682178681657848,0.23726851851851852,1.0611111111111111,18.0,76.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.3662962962962963,-0.5,-1.5,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-09,Jacob_Waguespack,pitcher,MIL,LAD,2026,831802,2,158,119,1,1.0,0.0,0.0,1.3333333333333333,4.0,13.0,0.0,0.0,0.0,1.7000000000000002,1.7000000000000002,69.0,23.076923076923077,0.30049382716049383,0.16403508771929823,1.0722222222222222,-6.0,77.0,0,4.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.9566081871345031,-0.4457777777777777,-1.1339999999999997,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-12,Jacob_Waguespack,pitcher,MIL,CLE,2026,831791,3,158,114,0,2.0,0.0,0.0,1.0,4.0,25.0,0.0,1.0,0.0,-0.7999999999999998,-0.7999999999999998,68.0,24.0,0.32280319535221497,0.14402899139741246,1.08,2.0,85.0,0,3.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-2.1197680688207003,-0.33978562091503256,-0.058070588235292986,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-15,Jacob_Waguespack,pitcher,MIL,SF,2026,831787,4,158,137,0,1.0,1.0,6.75,1.3333333333333333,5.0,22.0,1.0,1.0,0.0,3.95,3.95,45.0,13.636363636363635,0.30679615116684084,0.13453993322941266,1.038888888888889,0.0,84.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.8592360897202544,-0.4414173197492161,-1.1045669083072087,1.25,0.0,0.0,2.0,0.0,0.0
2026-06-12,Jacob_Waguespack,pitcher,DET,CLE,2026,824425,5,116,114,0,1.0,0.0,0.0,1.0,5.0,20.0,1.0,1.0,0.0,4.2,4.2,55.00000000000001,15.0,0.2998261784511785,0.24139854139854144,1.08,0.0,76.0,0,89.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.1968116688116686,-0.13918219696969675,1.747360227272729,1.2,0.2,1.35,1.0,1.0,6.75
2026-06-15,Jacob_Waguespack,pitcher,DET,HOU,2026,824181,6,116,117,0,1.0,2.0,13.5,1.3333333333333333,6.0,13.0,0.0,2.0,2.0,21.2,21.2,92.0,23.076923076923077,0.3553232323232323,0.125733137829912,1.08,0.0,73.0,0,3.0,1.2246467991473532e-16,-1.0,0.0,1.0,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-2.122134897360704,-0.049445454545454515,1.541243181818182,1.2,0.2,1.35,1.0,0.0,0.0
2026-06-17,Jacob_Waguespack,pitcher,DET,HOU,2026,824178,7,116,117,0,1.0,0.0,0.0,2.0,6.0,20.0,0.0,0.0,0.0,2.2,2.2,75.0,15.0,0.2490709595959596,0.21402896954679632,1.08,0.0,73.0,0,2.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,2.5,0.5,4.0,2.5,0.5,4.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.4157682436256296,0.08041931818181836,-1.3881130681818172,1.2,0.6,4.05,1.0,2.0,13.5
2026-06-24,Jacob_Waguespack,pitcher,DET,NYY,2026,824259,8,116,147,1,2.0,0.0,0.0,1.6666666666666665,6.0,20.0,0.0,0.0,0.0,0.7999999999999998,0.7999999999999998,60.0,30.0,0.26096937321937325,0.31781781781781787,1.0666666666666667,-6.0,74.0,0,7.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,2.5,0.5,4.0,2.5,0.5,4.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.5801241241241237,-0.19563782051282036,-2.35644423076923,1.2,0.6,4.05,1.0,0.0,0.0
2026-06-27,Jacob_Waguespack,pitcher,DET,HOU,2026,824257,9,116,117,1,0.0,0.0,0.0,1.0,5.0,14.0,1.0,1.0,0.0,6.2,6.2,43.0,0.0,0.20593493265993268,0.19166666666666665,1.0666666666666667,-7.0,77.0,0,3.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,2.5,0.5,4.0,2.5,0.5,4.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-1.4493333333333334,-0.44329280303030294,-3.4896352272727267,1.2,0.6,4.05,2.0,0.0,0.0
