Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,James_Tibbs_III,696486,hitter,LAD,LAA,2026,831827,0,119,108,1,672282.0,Reid_Detmers,2.0,5.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,8.0,0.075,0.9966666666666668,0.9966666666666668,1.0,30.0,65.0,4.1,8.2,4.0,1.0611111111111111,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,4.5,0.5,0.5,0.5,1.5,4.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.3769166666666668,0.9179833333333338,0.7594166666666669,0.6445555555555553,0.6342000000000001,2.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,James_Tibbs_III,696486,hitter,LAD,COL,2026,831808,1,119,115,0,623474.0,Jimmy_Herget,1.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,7.0,0.0769230769230769,0.93,0.93,1.5,30.0,65.0,4.1,8.2,4.0,1.0611111111111111,8.0,85.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,4.5,0.5,0.5,0.5,1.5,4.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.3657435897435899,1.4900833333333336,0.7351730769230769,0.7695555555555553,0.6164615384615386,2.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,0.1437500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4291666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0083333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7374999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,James_Tibbs_III,696486,hitter,LAD,CLE,2026,831811,2,119,114,0,676282.0,Joey_Cantillo,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0512820512820512,0.445,0.445,0.0,0.0,53.4,4.1,8.2,5.142857142857143,1.08,-5.0,82.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.5,4.5,0.5,0.5,1.5,1.5,4.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.11116776556776564,-0.9970999999999997,0.5532582417582417,0.3256,-0.0020494505494506043,1.5,4.5,1.0,1.0,1.5,1.0,4.0,1.0,1.0,2.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,0.76875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8458333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4395833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7562499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,James_Tibbs_III,696486,hitter,LAD,CIN,2026,831810,3,119,113,0,683742.0,Jose_Franco,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0408163265306122,0.345,0.345,0.0,0.0,41.4,4.1,8.2,5.4,1.08,12.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.5,3.5,0.5,0.5,0.5,1.5,3.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.25760000000000005,-1.1968619047619042,0.144595238095238,-0.00773333333333337,0.3085,1.3333333333333333,3.3333333333333335,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,0.4562499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8374999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,James_Tibbs_III,696486,hitter,LAD,KC,2026,831842,4,119,118,1,687765.0,,2.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,8.0,0.0789473684210526,0.7200000000000001,0.7200000000000001,0.3333333333333333,28.33333333333333,65.0,4.1,8.2,3.7125,1.0611111111111111,0.0,70.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.327219298245614,-0.25220614035087685,0.13784868421052632,0.0237222222222222,0.21146710526315782,1.0,2.5,0.5,0.5,0.75,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.0,1.0,0.0,0.0666666666666666,0.2687499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5124999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3093749999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8781249999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,James_Tibbs_III,696486,hitter,LAD,ATH,2026,831812,5,119,133,0,682052.0,Jacob_Lopez,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0526315789473684,0.0,0.0,0.0,0.0,10.0,4.1,8.2,15.828208556149733,1.0611111111111111,0.0,85.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.25916342996528763,-0.5229429824561402,0.5784762172811708,-0.20044444444444448,0.46830516464959193,1.2,2.6,0.6,0.4,0.6,2.0,3.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.0,1.0,0.0,0.0833333333333333,0.2399038461538459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4932692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2432692307692306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,James_Tibbs_III,696486,hitter,LAD,MIL,2026,831802,6,119,158,0,676879.0,Aaron_Ashby,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,7.0,0.0789473684210526,0.0,0.0,0.0,0.0,10.0,0.0,4.5,2.9102237048665622,1.0722222222222222,-6.0,77.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.38212824644027654,-0.5288728070175439,-0.3522651305461456,-0.3368888888888889,-0.282646709493514,0.8,1.6,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.0,1.0,0.0,0.1,0.0329629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3497222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9208101851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017129629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,James_Tibbs_III,696486,hitter,LAD,AZ,2026,831956,7,119,109,1,694297.0,Brandon_Pfaadt,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0277777777777777,0.0,0.0,0.0,0.0,10.0,0.0,3.8571428571428577,4.938311688311688,1.0611111111111111,-7.0,73.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.260159856992785,-0.08639354944761923,-0.38338702339416,-0.48056722686408726,-0.5,0.6,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.05,0.9425,0.0,0.1283938541666666,-0.0304761904761904,-0.3782857142857143,0.0,0.0,0.0,0.0,-0.0001546768253968,-1.5467682539682538e-05,0.3021428571428571,-0.4782857142857142,0.0,0.0,0.0,0.0,-0.0019388507142857,-0.0003102161142857,0.1589285714285714,-0.4934391534391533,0.0,0.0,0.0,0.0,-0.0010521561948853,-5.260780974426808e-05,0.7653571428571428,-0.4782857142857142,0.0,0.0,0.0,0.0,-0.0049112967857142,-0.0001227824196428,0.7248809523809523,-0.6452910052910054,0.0,0.0,0.0,0.0,-0.0062757687095825,-0.0003765461225749
2026-03-12,James_Tibbs_III,696486,hitter,LAD,CIN,2026,831894,8,119,113,1,666157.0,Nick_Lodolo,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,0.048780487804878,0.445,0.445,0.0,0.0,53.4,3.0,12.0,10.211688311688311,1.0611111111111111,0.0,90.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.03817484954070316,0.013359188194037808,0.12162291323939523,-0.48034645894733796,0.20479765424711882,0.4,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.05,0.9425,0.0,0.1450605208333333,-0.0780555555555555,0.2245,0.0,0.0,0.0,0.0,0.0,0.0,0.2664583333333333,0.3939999999999999,0.0,0.0,0.0,0.0,0.0016097636111111,0.0002575621777777,0.1890625,0.518,0.0,0.0,0.0,0.0,0.0015016604166666,7.508302083333335e-05,0.6487673611111111,0.3939999999999999,0.0,0.0,0.0,0.0,0.0039194198842592,9.798549710648146e-05,0.6953819444444443,0.5430000000000001,0.0,0.0,0.0,0.0,0.0057897500694444,0.0003473850041666
2026-03-13,James_Tibbs_III,696486,hitter,LAD,SEA,2026,831801,9,119,136,0,807739.0,Kade_Anderson,2.0,6.0,1.0,1.0,3.0,3.0,3.0,0.0,1.0,8.0,0.0697674418604651,1.1233333333333333,1.1233333333333333,1.3333333333333333,30.0,65.0,4.1,8.2,8.592857142857143,1.0722222222222222,0.0,87.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.4615424964436139,2.210083912911628,0.39997226305371003,-0.0687333441180556,0.1909705702152087,0.6,0.8,0.2,0.0,0.2,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.05,0.9425,0.0,0.1617271874999999,-0.0614814814814814,-0.5965,0.0,0.0,0.0,0.0,-0.0006326213888888,-6.32621388888889e-05,0.2788888888888889,-0.6739999999999999,0.0,0.0,0.0,0.0,-0.0032425016666666,-0.0005188002666666,0.1916666666666667,-0.9733333333333332,0.0,0.0,0.0,0.0,-0.0032180833333333,-0.0001609041666666,0.6116666666666667,-0.6739999999999999,0.0,0.0,0.0,0.0,-0.0071115424999999,-0.0001777885625,0.7135185185185184,-0.9733333333333332,0.0,0.0,0.0,0.0,-0.0119799759259259,-0.0007187985555555
