Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1
2026-03-03,Jazz_Chisholm_Jr,hitter,GBR,MIL,2026,831855,0,821,158,0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,0.06818181818181818,0.45999999999999996,0.45999999999999996,0.0,0.0,55.199999999999996,4.1,8.2,3.0,1.0722222222222222,-3.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.3357727272727272,-0.4768888888888889,-0.4248181818181818,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,Jazz_Chisholm_Jr,hitter,NYY,TOR,2026,831620,1,147,141,1,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.05405405405405406,0.0,0.0,0.0,0.0,10.0,9.0,13.5,4.202881152460985,1.08,-8.0,81.0,0,8.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.5,-0.4744,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14,Jazz_Chisholm_Jr,hitter,NYY,PHI,2026,831514,2,147,143,1,0.0,0.0,0.0,3.0,1.0,2.0,1.0,5.0,0.08108108108108109,0.45999999999999996,0.45999999999999996,0.0,0.0,55.199999999999996,0.0,4.8,4.611886333480761,1.08,0.0,80.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.08793535747158027,-0.4744,-0.3290543319746106,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18,Jazz_Chisholm_Jr,hitter,NYY,BOS,2026,831607,3,147,111,1,0.0,0.0,0.0,3.0,3.0,0.0,3.0,6.0,0.1,0.0,0.0,0.0,0.0,10.0,1.2272727272727273,6.136363636363637,8.378959276018099,1.08,-6.0,62.0,0,4.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.0602598107774579,-0.4744,-0.256452036199095,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,Jazz_Chisholm_Jr,hitter,NYY,BAL,2026,832062,4,147,110,1,0.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,0.08571428571428572,0.22999999999999998,0.22999999999999998,0.0,0.0,27.599999999999998,4.5,9.0,6.814285714285715,1.08,-11.0,68.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.25902857142857133,-0.4744,-0.28248571428571423,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-20,Jazz_Chisholm_Jr,hitter,NYY,BAL,2026,831603,5,147,110,1,1.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0967741935483871,0.42333333333333334,0.42333333333333334,0.3333333333333333,28.333333333333332,65.0,27.0,27.0,7.3243788819875775,1.08,-6.0,76.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.5,-0.3202333333333333,-0.1859746042877179,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-22,Jazz_Chisholm_Jr,hitter,NYY,PHI,2026,831493,6,147,143,1,1.0,0.0,1.0,3.0,2.0,1.0,0.0,6.0,0.07894736842105263,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,6.0,6.0,3.767059455361092,1.08,-3.0,78.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.08180167646005776,-0.4744,-0.35380492196878743,0.2,0.0,0.0,1.0,0.0,0.0
2026-03-23,Jazz_Chisholm_Jr,hitter,NYY,CHC,2026,831780,7,147,112,0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,5.0,0.06818181818181818,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,9.0,5.078222365869425,1.0277777777777777,0.0,93.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.1493561673620497,-0.49111111111111116,-0.07390706352471055,0.4,0.0,0.2,1.0,0.0,1.0
2026-03-24,Jazz_Chisholm_Jr,hitter,NYY,CHC,2026,831779,8,147,112,0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.05,0.345,0.345,0.0,0.0,41.4,0.0,27.0,5.456373626373627,1.0277777777777777,0.0,91.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.5,-0.49111111111111116,0.07411868131868138,0.6,0.0,0.4,1.0,0.0,1.0
2026-03-25,Jazz_Chisholm_Jr,hitter,NYY,SF,2026,823244,9,147,137,0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,0.1,0.40249999999999997,0.40249999999999997,0.0,0.0,48.3,0.0,11.0,4.168367346938775,1.08,19.0,63.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.0591986394557823,-0.4744,-0.07423163265306115,0.6,0.0,0.4,0.0,0.0,0.0
