Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,HR_lag1,RBI_lag1
2026-03-01,Jeimer_Candelario,hitter,LAA,LAD,2026,831827,0,108,119,0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,8.0,0.08108108108108109,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,4.0,1.0611111111111111,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.06585585585585596,-0.48044444444444445,-0.40864864864864864,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-03,Jeimer_Candelario,hitter,LAA,SEA,2026,831817,1,108,136,0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,8.0,0.07142857142857142,1.3533333333333335,1.3533333333333335,2.0,30.0,65.0,4.1,8.2,11.368421052631579,1.0722222222222222,3.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.3237368421052631,0.09811111111111104,0.265421052631579,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-04,Jeimer_Candelario,hitter,LAA,ITA,2026,831844,2,108,841,1,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.05263157894736842,1.05,1.05,3.0,30.0,65.0,4.1,8.2,2.4545454545454546,1.038888888888889,-3.0,81.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.5,0.5,1.0,1.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.10111642743221694,0.7874444444444444,0.20662200956937804,1.5,0.5,1.0,2.0,1.0,2.0
2026-03-06,Jeimer_Candelario,hitter,LAA,CLE,2026,831826,3,108,114,0,2.0,0.0,1.0,4.0,4.0,0.0,2.0,3.0,0.1111111111111111,0.54,0.54,0.25,21.25,65.0,0.0,9.0,4.425721153846154,1.08,0.0,69.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,0.5,1.5,1.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.2659044871794871,0.2078916666666667,-0.05238060897435881,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.0,2.0
2026-03-07,Jeimer_Candelario,hitter,LAA,MIL,2026,831795,4,108,158,1,1.0,0.0,0.0,3.0,2.0,0.0,1.0,5.0,0.07142857142857142,0.6633333333333333,0.6633333333333333,0.5,30.0,65.0,9.0,0.0,3.0383458646616543,1.038888888888889,0.0,75.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,0.5,1.0,1.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.33186716791979953,0.062444444444444414,0.15191729323308278,1.5,0.5,1.25,2.0,0.0,1.0
2026-03-08,Jeimer_Candelario,hitter,LAA,TEX,2026,831813,5,108,140,0,1.0,0.0,1.0,4.0,3.0,1.0,1.0,2.0,0.08695652173913043,0.5775,0.5775,0.6666666666666666,30.0,65.0,4.1,8.2,3.6462662337662337,1.0611111111111111,-18.0,84.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,0.5,1.0,1.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.1863232636928287,0.04122222222222216,-0.1551758187464708,1.4,0.4,1.0,1.0,0.0,0.0
2026-03-10,Jeimer_Candelario,hitter,LAA,SD,2026,831771,6,108,135,1,0.0,0.0,0.0,3.0,3.0,0.0,2.0,7.0,0.08108108108108109,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.736813186813187,1.038888888888889,-6.0,72.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.5,0.5,1.0,1.5,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.1519950499950502,-0.20755555555555555,-0.03480798930798912,1.4,0.4,1.2,1.0,0.0,1.0
2026-03-11,Jeimer_Candelario,hitter,LAA,CWS,2026,831824,7,108,145,0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,7.0,0.07317073170731707,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.196312615955473,1.0611111111111111,0.0,79.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.0,0.5,1.0,1.0,0.5,1.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.11991985308535824,-0.34044444444444444,-0.4531355887144214,1.0,0.2,0.8,0.0,0.0,0.0
2026-03-14,Jeimer_Candelario,hitter,LAA,SEA,2026,831747,8,108,136,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.024390243902439025,0.0,0.0,0.0,0.0,10.0,4.1,8.2,8.449879951980792,1.038888888888889,-3.0,85.0,0,3.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.0,0.5,0.5,1.0,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.14015114338418277,-0.4875555555555555,-0.06982307557169204,0.8,0.0,0.4,0.0,0.0,0.0
2026-03-15,Jeimer_Candelario,hitter,LAA,COL,2026,831858,9,108,115,1,1.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0,0.10810810810810811,0.6975,0.6975,1.0,30.0,65.0,0.0,0.0,6.549773755656109,1.038888888888889,0.0,86.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,0.5495765358118301,-0.1625555555555555,0.006873822917940586,0.4,0.0,0.2,0.0,0.0,0.0
