Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1
2026-03-01,Jhostynxon_Garcia,hitter,PIT,STL,2026,831477,0,134,138,0,2.0,5.0,2.0,1.0,1.0,3.0,2.0,1.0,0.0,7.0,0.07317073170731707,1.2266666666666668,1.2266666666666668,1.5,30.0,65.0,4.1,8.2,4.0,1.05,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,4.5,1.5,0.5,0.5,1.5,4.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.31289430894308956,1.6141524390243909,0.6736117886178863,0.7659999999999998,0.701048780487805,2.0,5.0,2.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0
2026-03-03,Jhostynxon_Garcia,hitter,PIT,COL,2026,831430,1,134,792,1,1.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,8.0,0.05,0.635,0.635,0.5,30.0,65.0,4.1,8.2,9.107142857142858,1.08,-6.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.5,4.5,1.5,0.5,0.5,1.5,4.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.5255190476190474,0.13700000000000045,0.5643571428571428,0.5255999999999998,0.751657142857143,2.0,5.0,2.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0
2026-03-05,Jhostynxon_Garcia,hitter,PIT,STL,2026,831478,2,134,138,1,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.05714285714285714,0.445,0.445,0.0,0.0,53.4,4.1,8.2,1.4473684210526316,1.08,0.0,83.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.5,3.5,1.5,0.5,0.5,1.5,3.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.24570526315789443,-0.8906999999999998,-0.34413157894736823,-0.12440000000000001,0.32006842105263167,1.5,3.5,1.5,0.5,1.0,1.0,2.0,1.0,0.0,1.0
2026-03-06,Jhostynxon_Garcia,hitter,PIT,TOR,2026,831525,3,134,141,0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.07692307692307693,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,9.806722689075631,1.08,0.0,84.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.0090791639732819,-0.5925166666666666,0.5471758780435252,-0.24106666666666665,0.3301310062486533,1.3333333333333333,2.6666666666666665,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.0,0.0,0.0
2026-03-07,Jhostynxon_Garcia,hitter,PIT,DET,2026,831518,4,134,116,0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,5.0,0.07692307692307693,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,4.1,8.2,5.196428571428571,1.0611111111111111,9.0,83.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.2457326007326004,-0.7564166666666663,0.2931611721611722,-0.30544444444444446,0.05528296703296709,1.25,2.25,0.75,0.25,0.5,1.0,1.0,0.0,0.0,0.0
2026-03-09,Jhostynxon_Garcia,hitter,PIT,NYY,2026,831517,5,134,147,0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,8.0,0.07894736842105263,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,0.0,2.8125,1.08,9.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.04228596491228065,-0.0036394736842106923,0.19201535087719301,-0.33440000000000003,-0.1985328947368421,1.2,2.0,0.8,0.2,0.4,1.0,1.0,1.0,0.0,0.0
2026-03-11,Jhostynxon_Garcia,hitter,PIT,BAL,2026,831507,6,134,110,0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.027777777777777776,1.27,1.27,1.0,30.0,65.0,4.1,8.2,5.47423469387755,1.08,6.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.522869387755102,1.0824833333333332,0.41996173469387765,-0.14939999999999998,0.03037840136054415,1.0,1.2,0.4,0.0,0.2,1.0,1.0,0.0,0.0,0.0
2026-03-13,Jhostynxon_Garcia,hitter,PIT,DET,2026,831512,7,134,116,0,2.0,5.0,2.0,1.0,2.0,4.0,4.0,0.0,0.0,7.0,0.09090909090909091,0.7475,0.7475,0.75,30.0,65.0,27.0,0.0,1.9114236603732402,1.0611111111111111,-7.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,0.8507599767179599,0.7472310606060604,-0.1040083624358834,-0.21794444444444444,-0.36626972607224706,1.0,1.2,0.2,0.0,0.0,1.0,2.0,0.0,0.0,0.0
2026-03-15,Jhostynxon_Garcia,hitter,PIT,TB,2026,831511,8,134,139,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.030303030303030304,0.89,0.89,0.0,0.0,65.0,0.0,15.814285714285713,7.111063372717509,1.0611111111111111,6.0,82.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.5170596295934641,0.761174242424242,0.7439849868176938,-0.24044444444444446,0.45718953227223924,1.2,2.0,0.6,0.2,0.4,2.0,5.0,2.0,1.0,2.0
2026-03-16,Jhostynxon_Garcia,hitter,PIT,MIN,2026,831506,9,134,142,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,9.0,0.08571428571428572,0.0,0.0,0.0,0.0,10.0,3.0,9.0,7.13275221019582,1.08,0.0,83.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-07-30T00:31:53.972758+00:00,-0.22028991159216704,-0.12975000000000025,-0.024612389490209052,-0.33440000000000003,-0.06356238949020898,1.2,2.0,0.6,0.2,0.4,1.0,1.0,0.0,0.0,0.0
