Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Joey_Loperfido,694388,hitter,HOU,NYM,2026,831579,0,117,121,0,605280.0,Clay_Holmes,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,5.0,0.07894736842105263,0.5266666666666667,0.5266666666666667,0.0,0.0,63.20000000000001,4.1,8.2,4.0,1.08,4.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.5204526315789475,0.47986052631578957,-0.24410964912280697,-0.4744,-0.3421578947368421,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Joey_Loperfido,694388,hitter,HOU,BAL,2026,831642,1,117,110,0,669358.0,Shane_Baz,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,1.0,0.11428571428571428,0.0,0.0,0.0,0.0,10.0,4.1,8.2,3.9214285714285717,1.08,-8.0,84.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.6019238095238095,0.28145,-0.45317857142857143,-0.4744,-0.4625285714285714,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.0,1.0,0.0,0.016666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5562499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Joey_Loperfido,694388,hitter,HOU,WSH,2026,831524,2,117,120,1,676917.0,Cade_Cavalli,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,4.0,0.07317073170731707,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,0.9500000000000001,1.08,0.0,84.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.05737235772357718,-0.07994756097560968,-0.5,-0.4744,-0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.0,1.0,0.0,0.03333333333333333,-0.4692757936507934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6072023809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3174107142857141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7718055555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46659722222222194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Joey_Loperfido,694388,hitter,HOU,MIA,2026,831523,3,117,146,1,663978.0,Chris_Paddack,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.05128205128205128,0.89,0.89,0.0,0.0,65.0,0.0,13.5,1.0671428571428572,1.08,0.0,77.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.12925517224749433,0.40615958201111113,-0.21578789739726428,-0.4745108105792824,-0.025786836602525898,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.1,0.05,0.9425,0.0,0.0617271875,-0.10293981481481443,-0.994,0.0,0.0,0.0,0.0,-0.0005883525115740718,-5.8835251157407184e-05,-0.3540277777777775,-0.994,0.0,0.0,0.0,0.0,-0.0020234457638888875,-0.000323751322222222,-0.06145833333333303,-0.5899999999999999,0.0,0.0,0.0,0.0,-0.00020849739583333226,-1.0424869791666614e-05,-0.7755092592592592,-0.994,0.0,0.0,0.0,0.0,-0.004432423171296296,-0.00011081057928240741,-0.43418981481481456,-0.79,0.0,0.0,0.0,0.0,-0.0019723072337962952,-0.00011833843402777771
2026-03-09,Joey_Loperfido,694388,hitter,HOU,STL,2026,831516,4,117,138,1,690916.0,Richard_Fitts,2.0,5.0,1.0,1.0,3.0,4.0,4.0,0.0,1.0,5.0,0.0975609756097561,0.7475,0.7475,0.75,30.0,65.0,0.0,12.0,1.873684210526316,1.08,-6.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.43609533590072747,1.6395615853658536,-0.20551396020539148,-0.21189999999999998,-0.19033408215661102,1.0,1.0,0.0,0.0,0.25,2.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.0,1.0,0.0,0.06666666666666667,0.6293055555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24125000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6895833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6956944444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16680555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,Joey_Loperfido,694388,hitter,HOU,BAL,2026,831617,5,117,110,1,694370.0,Levi_Wells,1.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.06818181818181818,0.42333333333333334,0.42333333333333334,0.3333333333333333,28.333333333333332,65.0,4.1,8.2,5.088520408163265,1.08,0.0,84.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.14316524427953015,0.8776045454545462,0.04791844465058748,-0.08023333333333332,0.6926078385899814,1.2,1.8,0.2,0.2,0.8,2.0,5.0,1.0,1.0,3.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.5990694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4750833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6187499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06469444444444451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5034444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-12,Joey_Loperfido,694388,hitter,HOU,WSH,2026,831510,6,117,120,1,663623.0,Jake_Irvin,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.02857142857142857,0.0,0.0,0.0,0.0,10.0,4.1,8.2,3.2571428571428567,1.08,0.0,78.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.44264761904761896,-0.05215000000000014,-0.2783928571428572,-0.33440000000000003,-0.05254285714285711,1.2,2.0,0.4,0.2,0.8,1.0,2.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.0,1.0,0.0,0.1,0.7420151072124753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6366983430799219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7219298245614033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37405092592592587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6292592592592592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-13,Joey_Loperfido,694388,hitter,HOU,STL,2026,831567,7,117,138,0,681517.0,Kyle_Leahy,2.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,5.0,0.08571428571428572,0.8233333333333333,0.8233333333333333,0.0,0.0,65.0,6.75,7.3125,2.919937205651492,1.05,-10.0,72.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.5102619243290017,0.08661829766635587,0.13002168709218875,-0.3439573312549311,0.24509195580324483,1.2,2.0,0.4,0.2,0.8,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.1,0.8855330085889912,0.0,0.14081888731145153,0.7071230158730157,-0.053519230769230916,0.0,0.0,0.0,0.0,-0.0010107922172804683,-0.00010107922172804684,0.5543253968253967,0.1132596153846153,0.0,0.0,0.0,0.0,0.0016768604147237413,0.00026829766635579863,0.6910714285714286,0.47838141025641023,0.0,0.0,0.0,0.0,0.008829869525614846,0.0004414934762807423,0.15206349206349196,0.4202307692307692,0.0,0.0,0.0,0.0,0.0017067498027551289,4.266874506887822e-05,0.46992063492063485,0.3918589743589743,0.0,0.0,0.0,0.0,0.004918258677839311,0.00029509552067035865
2026-03-14,Joey_Loperfido,694388,hitter,HOU,NYM,2026,831508,8,117,121,1,642547.0,Freddy_Peralta,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.02857142857142857,0.89,0.89,0.0,0.0,65.0,6.0,12.0,1.1532467532467532,1.08,0.0,78.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.4410596546553862,-0.5283060979559473,0.3138440661168649,-0.3344172439704861,-0.02680435697754835,1.4,2.2,0.6,0.2,0.6,2.0,2.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.05,0.9425,0.0,0.14506052083333332,0.80850845410628,-0.20665384615384613,0.0,0.0,0.0,0.0,-0.0025619145192307684,-0.00025619145192307683,0.583947765700483,-0.45797115384615394,0.0,0.0,0.0,0.0,-0.004100612224670584,-0.0006560979559472935,0.7332880434782607,-0.12143910256410251,0.0,0.0,0.0,0.0,-0.001365430909455127,-6.827154547275636e-05,0.06196180555555553,-0.7260000000000001,0.0,0.0,0.0,0.0,-0.0006897588194444442,-1.7243970486111105e-05,0.44555555555555554,-0.1627051282051281,0.0,0.0,0.0,0.0,-0.0011115773314339975,-6.669463988603985e-05
2026-03-17,Joey_Loperfido,694388,hitter,HOU,PIT,2026,831560,9,117,134,0,656605.0,Mitch_Keller,1.0,1.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0.06818181818181818,0.7566666666666667,0.7566666666666667,0.0,0.0,65.0,3.0,9.0,4.315620094191522,1.08,-13.0,56.0,0,3.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.48480892630466954,0.19202340220573588,0.30887083407290805,-0.33440000000000003,0.43411936726659284,1.2,2.0,0.6,0.2,0.8,1.0,1.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.3,0.05,0.9425,0.0,0.16172718749999998,0.8506790123456789,-0.041571428571428676,0.0,0.0,0.0,0.0,-0.0006100279960317474,-6.100279960317474e-05,0.5825308641975308,0.2605178571428571,0.0,0.0,0.0,0.0,0.0026178546949404747,0.000418856751190476,0.7694444444444444,0.39791071428571434,0.0,0.0,0.0,0.0,0.005281435751488095,0.0002640717875744048,-0.008117283950617338,0.544,0.0,0.0,0.0,0.0,0.0,0.0,0.4432716049382716,0.3412142857142857,0.0,0.0,0.0,0.0,0.002609072919973545,0.00015654437519841267
