Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-05,John_Schreiber,670167,pitcher,KC,TEX,2026,831733,0,118,140,1,0.0,1.0,4.0,36.0,1.0,8.0,25.0,1.0,5.0,0.0,4.2,4.2,64.0,12.0,0.33322727272727276,0.2922077922077922,1.0611111111111111,19.0,70.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,3.5,36.0,2.5,3.5,36.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.9267821067821072,0.21352272727272759,-2.5782954545454544,1.0,4.0,36.0,1.0,4.0,36.0
2026-03-08,John_Schreiber,670167,pitcher,KC,CWS,2026,831848,1,118,145,0,0.0,0.0,2.0,18.0,1.0,6.0,16.0,0.0,3.0,1.0,16.2,16.2,75.0,0.0,0.29950757575757575,0.2558243727598566,1.0611111111111111,-9.0,85.0,0,3.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,3.5,36.0,2.5,3.5,36.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.217849462365592,0.06178409090909076,-3.9439431818181845,1.0,4.0,36.0,1.0,4.0,36.0
2026-03-11,John_Schreiber,670167,pitcher,KC,SF,2026,831762,2,118,137,1,0.0,1.0,0.0,0.0,1.0,3.0,13.0,0.0,1.0,0.0,1.2000000000000002,1.2000000000000002,77.0,23.07692307692308,0.2670386904761905,0.24385846292540006,1.0611111111111111,6.0,79.0,0,3.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,2.5,27.0,2.5,2.5,27.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.8135767410412442,-0.12432589285714268,-5.618933035714285,0.5,3.0,27.0,0.0,2.0,18.0
2026-03-15,John_Schreiber,670167,pitcher,KC,CWS,2026,831913,3,118,145,1,0.0,2.0,0.0,0.0,1.0,4.0,20.0,1.0,0.0,0.0,2.2,2.2,65.0,30.0,0.3124176379176379,0.2699366032699366,1.0611111111111111,-6.0,86.0,0,4.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,1.5,18.0,2.5,1.5,18.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.3449516182849515,0.039879370629370525,-4.141085664335666,0.6666666666666666,2.0,18.0,1.0,0.0,0.0
2026-03-17,John_Schreiber,670167,pitcher,KC,LAD,2026,831806,4,118,119,1,0.0,1.0,0.0,0.0,1.0,4.0,15.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,60.0,20.0,0.3214444444444445,0.2218361218361218,1.0611111111111111,7.0,91.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,1.5,13.5,2.5,1.5,13.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.3497554697554701,-0.27949999999999964,-2.515499999999996,1.0,1.5,13.5,2.0,0.0,0.0
2026-03-21,John_Schreiber,670167,pitcher,KC,COL,2026,831868,5,118,115,1,0.0,0.0,0.0,0.0,0.6666666666666666,3.0,13.0,0.0,1.0,0.0,3.2,3.2,54.0,0.0,0.4148681657848325,0.18596491228070175,1.0611111111111111,4.0,97.0,0,4.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,1.5,10.8,2.5,1.5,10.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.7767251461988307,-0.07509325396825384,8.436241071428576,1.0,1.2,10.8,1.0,0.0,0.0
2026-03-24,John_Schreiber,670167,pitcher,KC,TEX,2026,831837,6,118,140,0,0.0,1.0,0.0,0.0,1.0,6.0,24.0,1.0,2.0,0.0,4.2,4.2,71.0,12.5,0.2294824660633484,0.2853791369920402,1.08,0.0,74.0,0,3.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,3.6,2.5,0.5,3.6,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.2729669040636784,-0.4717289027149321,-3.345560124434389,0.8,0.4,3.6,0.0,0.0,0.0
2026-03-29,John_Schreiber,670167,pitcher,KC,ATL,2026,824944,7,118,144,0,0.0,1.0,1.0,9.0,1.0,4.0,23.0,0.0,1.0,1.0,14.2,14.2,61.0,13.043478260869565,0.3733518518518519,0.22640977443609023,1.08,0.0,57.0,0,5.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.4607218045112784,-0.11231666666666645,1.9891500000000018,1.0,0.0,0.0,1.0,0.0,0.0
2026-03-30,John_Schreiber,670167,pitcher,KC,MIN,2026,824135,8,118,142,1,0.0,0.0,0.0,0.0,1.0,4.0,15.0,0.0,1.0,0.0,3.2,3.2,60.0,0.0,0.2579768518518519,0.2739756367663344,1.06,0.0,85.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.072194905869325,-0.34190416666666645,-0.37713749999999835,1.0,0.2,1.8,1.0,1.0,9.0
2026-04-02,John_Schreiber,670167,pitcher,KC,MIN,2026,824133,9,118,142,1,0.0,1.0,1.0,9.0,1.0,6.0,27.0,2.0,1.0,0.0,7.2,7.2,48.0,11.11111111111111,0.3105050505050505,0.23353744021111664,1.06,0.0,72.0,0,3.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-1.823700478311067,-0.2655272727272726,0.3102545454545462,0.6,0.2,1.8,0.0,0.0,0.0
