Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Jordan_Lawlar,691783,hitter,AZ,CLE,2026,831888,0,109,114,1,682982.0,,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,6.0,0.073170731707317,0.4599999999999999,0.4599999999999999,0.0,0.0,55.2,4.1,8.2,4.0,1.0611111111111111,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.26577235772357727,-0.32551422764227655,-0.2980548780487806,-0.48044444444444445,-0.3689512195121952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Jordan_Lawlar,691783,hitter,AZ,MEX,2026,831800,1,109,867,1,592836.0,,2.0,4.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,6.0,0.0697674418604651,0.8366666666666668,0.8366666666666668,0.6666666666666666,30.0,65.0,4.1,8.2,4.0,1.0611111111111111,0.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.30344186046511623,0.6402693798449612,-0.09517635658914725,-0.2387777777777778,-0.259953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,0.991111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5651388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203611111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Jordan_Lawlar,691783,hitter,AZ,CHC,2026,831961,2,109,112,0,607067.0,Colin_Rea,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0833333333333333,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,18.0,1.0277777777777777,-10.0,79.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,1.2111666666666665,0.3960833333333331,0.8349166666666665,-0.49111111111111116,0.794,1.0,2.0,0.5,0.0,0.5,2.0,4.0,1.0,0.0,1.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,0.76875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8458333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8124999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Jordan_Lawlar,691783,hitter,AZ,MIL,2026,831954,3,109,158,0,694477.0,Chad_Patrick,1.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,3.0,0.1052631578947368,0.3175,0.3175,0.25,21.25,49.35,4.5,9.0,4.5736607142857135,1.0722222222222222,-7.0,70.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.505642683316738,0.12389396114790463,-0.0639611221590925,-0.361304716484375,-0.11862418067372604,1.0,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.05,0.9425,0.0,0.0617271875,0.5152314814814813,-0.1369999999999999,0.0,0.0,0.0,0.0,-0.000405873599537,-4.0587359953703694e-05,0.5735185185185184,-0.338125,0.0,0.0,0.0,0.0,-0.0011150454571759,-0.0001784072731481,0.4986111111111111,0.1111250000000001,0.0,0.0,0.0,0.0,0.0003185969184027,1.592984592013891e-05,0.5568981481481481,-0.51,0.0,0.0,0.0,0.0,-0.0016331038194444,-4.082759548611111e-05,0.7103703703703704,-0.0544999999999998,0.0,0.0,0.0,0.0,-0.0002226123148148,-1.335673888888886e-05
2026-03-08,Jordan_Lawlar,691783,hitter,AZ,CIN,2026,831960,4,109,113,0,663903.0,Brady_Singer,2.0,5.0,1.0,1.0,2.0,4.0,4.0,0.0,0.0,1.0,0.1081081081081081,0.7475,0.7475,0.75,30.0,65.0,22.5,4.5,12.960000000000003,1.08,-10.0,85.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,1.144181261336832,1.1162605277465043,0.5621685758316011,-0.21191325993424476,0.3765739702462464,1.0,1.75,0.25,0.0,0.25,1.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.05,0.9425,0.0,0.0783938541666666,0.1875427350427348,0.8972500000000001,0.0,0.0,0.0,0.0,0.0012900908457977,0.0001290090845797,0.3689289529914528,0.401,0.0,0.0,0.0,0.0,0.0011342105778133,0.0001814736924501,0.3057692307692307,0.6600000000000001,0.0,0.0,0.0,0.0,0.0015471923076923,7.735961538461538e-05,0.6988107638888889,-0.099,0.0,0.0,0.0,0.0,-0.0005303973697916,-1.325993424479167e-05,0.7330555555555555,0.56,0.0,0.0,0.0,0.0,0.0031472518518518,0.0001888351111111
2026-03-10,Jordan_Lawlar,691783,hitter,AZ,LAD,2026,831956,5,109,119,0,607192.0,Tyler_Glasnow,1.0,4.0,1.0,1.0,1.0,4.0,4.0,0.0,1.0,1.0,0.1142857142857142,0.525,0.525,0.75,30.0,65.0,10.125,13.5,4.355357142857143,1.0611111111111111,-7.0,73.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.43002522521981,0.836431593267974,0.2532904016454337,0.02189151817129631,0.44471630474257207,1.2,2.4,0.4,0.2,0.6,2.0,5.0,1.0,1.0,2.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.05,0.9425,0.0,0.0950605208333333,0.4895081699346401,0.2,0.0,0.0,0.0,0.0,0.0009382239923747,9.38223992374727e-05,0.657848039215686,-0.2,0.0,0.0,0.0,0.0,-0.0012608754084967,-0.0002017400653594,0.5242647058823527,0.0897435897435897,0.0,0.0,0.0,0.0,0.0004508900515334,2.254450257667168e-05,0.9781111111111112,-0.7,0.0,0.0,0.0,0.0,-0.0065614953703703,-0.0001640373842592,0.8881111111111111,0.0948717948717948,0.0,0.0,0.0,0.0,0.0008074599952516,4.844759971509972e-05
2026-03-12,Jordan_Lawlar,691783,hitter,AZ,COL,2026,831869,6,109,115,1,807743.0,,1.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.1111111111111111,0.2225,0.2225,0.0,0.0,26.7,4.1,8.2,3.6642857142857146,1.0611111111111111,0.0,87.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.5,3.5,0.5,0.5,0.5,1.5,3.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.1359844142913358,-0.8471199579727182,0.176170354750124,-0.10057648627314814,0.29132755617586004,1.4,3.2,0.6,0.4,0.8,1.0,4.0,1.0,1.0,1.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,0.4993187830687827,0.193,0.0,0.0,0.0,0.0,0.0011082380390211,0.0001108238039021,0.666081349206349,-0.1318749999999999,0.0,0.0,0.0,0.0,-0.0010101539961557,-0.0001616246393849,0.5422619047619046,-0.5417916666666666,0.0,0.0,0.0,0.0,-0.0033786192832341,-0.0001689309641617,0.998425925925926,-0.4599999999999999,0.0,0.0,0.0,0.0,-0.0052816731481481,-0.0001320418287037,0.9234259259259258,-0.4761666666666665,0.0,0.0,0.0,0.0,-0.0050566034182098,-0.0003033962050925
2026-03-14,Jordan_Lawlar,691783,hitter,AZ,SF,2026,831953,7,109,137,0,605288.0,Adrian_Houser,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,2.0,0.1219512195121951,0.0,0.0,0.0,0.0,10.0,6.0,9.0,3.1993006993006996,1.038888888888889,4.0,87.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.32538037360065397,-0.7381977275579072,0.03446626895675087,-0.20770885055555555,-0.08154712655496965,1.2,2.6,0.6,0.4,0.6,1.0,1.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.05,0.9425,0.0,0.1283938541666666,0.445892857142857,0.0768461538461539,0.0,0.0,0.0,0.0,0.0004597241105769,4.597241105769232e-05,0.6266071428571427,-0.2119711538461538,0.0,0.0,0.0,0.0,-0.0017820370743189,-0.000285125931891,0.5553571428571429,0.2488173076923077,0.0,0.0,0.0,0.0,0.0018539481270032,9.269740635016028e-05,0.9521428571428572,-0.48,0.0,0.0,0.0,0.0,-0.0061318,-0.000153295,0.8878571428571428,0.102423076923077,0.0,0.0,0.0,0.0,0.0012200722275641,7.320433365384624e-05
2026-03-16,Jordan_Lawlar,691783,hitter,AZ,CIN,2026,831903,8,109,113,1,671096.0,Andrew_Abbott,1.0,1.0,2.0,0.0,0.0,4.0,3.0,1.0,2.0,1.0,0.0930232558139534,0.395,0.395,0.0,0.0,47.400000000000006,10.636363636363637,11.965909090909092,7.527551020408162,1.0611111111111111,-4.0,89.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.4017657799885074,-0.8426307692285024,0.30259216461737515,-0.19990330022903946,0.22119060370878607,1.0,2.4,0.6,0.4,0.6,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.15,0.8374759526419164,0.0,0.1704447127035381,0.4129861111111107,0.4925909090909091,0.0,0.0,0.0,0.0,0.0088167433779062,0.0008816743377906,0.5998437499999998,0.5900909090909091,0.0,0.0,0.0,0.0,0.0153406380582941,0.002454502089327,0.5776041666666665,0.8031818181818182,0.0,0.0,0.0,0.0,0.0201062254277173,0.0010053112713858,0.8463845486111111,0.5900909090909091,0.0,0.0,0.0,0.0,0.0216457686162034,0.000541144215405,0.833298611111111,0.885,0.0,0.0,0.0,0.0,0.0319617308528128,0.0019177038511687
2026-03-18,Jordan_Lawlar,691783,hitter,AZ,CHC,2026,831932,9,109,112,1,665795.0,Edward_Cabrera,1.0,1.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,6.0,0.0851063829787234,0.5675,0.5675,0.0,0.0,65.0,1.2272727272727273,7.056818181818182,3.352040816326531,1.0611111111111111,0.0,95.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.6350162750958925,-0.7638909929906426,0.6618193255572051,-0.20186214320374996,0.0493310393839449,1.0,2.2,1.0,0.4,0.6,1.0,1.0,2.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.1,0.6559973664153292,0.0,0.1769640322614122,0.2964733115468411,-0.2170737026131763,0.0,0.0,0.0,0.0,-0.0066416477831638,-0.0006641647783163,0.5191766521423384,-0.4415752208317997,0.0,0.0,0.0,0.0,-0.0236593533546388,-0.0037854965367422,0.5104575163398694,-0.7182124125874124,0.0,0.0,0.0,0.0,-0.0378351562462654,-0.0018917578123132,0.7743634259259259,-0.709604066985646,0.0,0.0,0.0,0.0,-0.0567079503722228,-0.0014176987593055,0.8374999999999999,-0.695375874125874,0.0,0.0,0.0,0.0,-0.0601017969226739,-0.0036061078153604
