Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Jose_Siri,642350,hitter,LAA,LAD,2026,831827,0,108,119,0,689017.0,Landon_Knack,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,9.0,0.081081081081081,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.0611111111111111,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.2541441441441442,-0.5,-0.5,-0.48044444444444445,-0.4976486486486487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Jose_Siri,642350,hitter,LAA,SEA,2026,831817,1,108,136,0,693433.0,Bryan_Woo,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,5.0,0.0714285714285714,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.5,1.0722222222222222,3.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.271,-0.5,-0.5,-0.4768888888888889,-0.48400000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Jose_Siri,642350,hitter,LAA,ITA,2026,831844,2,108,841,1,838341.0,,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,9.0,0.0789473684210526,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,4.1,8.2,0.0,1.038888888888889,-3.0,81.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.46061403508771925,-0.40337280701754386,-0.5,-0.4875555555555555,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Jose_Siri,642350,hitter,LAA,CLE,2026,831826,3,108,114,0,668909.0,Gavin_Williams,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,0.0833333333333333,0.24,0.24,0.0,0.0,28.8,3.0,9.0,2.714285714285714,1.08,0.0,69.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.055392846428571396,-0.05768333333333331,-0.49058790651661716,-0.4744,-0.48731340916071436,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.05,0.9425,0.0,0.0617271875,-1.0,-0.3436666666666667,0.0,0.0,0.0,0.0,-0.0019760833333333,-0.0001976083333333,-1.0,0.0477083333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.9166666666666669,-0.1980416666666666,0.0,0.0,0.0,0.0,-0.0010438446180555,-5.219223090277778e-05,-0.95625,0.48,0.0,0.0,0.0,0.0,0.0,0.0,-0.9499999999999998,-0.0844999999999999,0.0,0.0,0.0,0.0,-0.0004615812499999,-2.7694874999999983e-05
2026-03-07,Jose_Siri,642350,hitter,LAA,MIL,2026,831795,4,108,158,1,605540.0,Brandon_Woodruff,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0238095238095238,0.89,0.89,0.0,0.0,65.0,4.1,8.2,3.6589285714285706,1.038888888888889,0.0,75.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.2533095238095237,-0.041583333333333306,-0.1608035714285715,-0.4875555555555555,-0.3150535714285715,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.0,1.0,0.0,0.0666666666666666,-0.987777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9908333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9440277777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9409027777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Jose_Siri,642350,hitter,LAA,TEX,2026,831813,5,108,140,0,543135.0,Nathan_Eovaldi,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,6.0,0.0652173913043478,0.0,0.0,0.0,0.0,10.0,4.1,8.2,3.7028571428571433,1.0611111111111111,-18.0,84.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.10398385093167695,-0.15319927536231892,-0.5,-0.48044444444444445,-0.5,0.4,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.0,1.0,0.0,0.0833333333333333,-0.6700138888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7289166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.641875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8464722222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6250138888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Jose_Siri,642350,hitter,LAA,SF,2026,831816,6,108,137,0,592662.0,Robbie_Ray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,3.375,6.75,6.182517482517483,1.038888888888889,5.0,77.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.003805957264549409,-0.3758271980700757,-0.5,-0.4876945904557291,-0.48414326322153745,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,-0.9148842592592592,-0.2597840909090909,0.0,0.0,0.0,0.0,-0.002733232319155,-0.0002733232319155,-0.9348611111111113,-0.4324431818181818,0.0,0.0,0.0,0.0,-0.0046491546046401,-0.0007438647367424,-0.890625,-0.3591022727272726,0.0,0.0,0.0,0.0,-0.0036779928089488,-0.0001838996404474,-0.883287037037037,-0.5475,0.0,0.0,0.0,0.0,-0.0055613960069444,-0.0001390349001736,-0.8586342592592593,-0.4542727272727271,0.0,0.0,0.0,0.0,-0.0044856224568602,-0.0002691373474116
2026-03-10,Jose_Siri,642350,hitter,LAA,SD,2026,831771,7,108,135,1,621111.0,Walker_Buehler,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.027027027027027,0.89,0.89,0.0,0.0,65.0,6.0,12.0,0.96,1.038888888888889,-6.0,72.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.45921121239064056,0.05356650704962462,-0.26183051341556407,-0.4877770504670138,-0.44644240161297544,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.05,0.9425,0.0,0.1283938541666666,-0.9533333333333334,-0.5271666666666668,0.0,0.0,0.0,0.0,-0.006742754537037,-0.0006742754537037,-0.965,-0.6582916666666668,0.0,0.0,0.0,0.0,-0.0085229570659722,-0.0013636731305555,-0.9107142857142856,-0.2202638888888889,0.0,0.0,0.0,0.0,-0.0026913493923611,-0.000134567469618,-0.9095833333333332,-0.7260000000000001,0.0,0.0,0.0,0.0,-0.0088597964583333,-0.0002214949114583,-0.8997619047619047,-0.3122777777777777,0.0,0.0,0.0,0.0,-0.0037697566126543,-0.0002261853967592
2026-03-11,Jose_Siri,642350,hitter,LAA,CWS,2026,831824,8,108,145,0,641743.0,Anthony_Kay,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.024390243902439,0.0,0.0,0.0,0.0,10.0,1.6875,6.375,2.357142857142857,1.0611111111111111,0.0,79.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.05766625074615184,-0.19778252032520327,-0.5,-0.48044444444444445,-0.5,0.4,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.1,0.672329122469439,0.0,0.1600973015830827,-0.6578645833333334,-0.0678088235294117,0.0,0.0,0.0,0.0,-0.0038978874281458,-0.0003897887428145,-0.7178125000000001,0.1042279411764706,0.0,0.0,0.0,0.0,0.0,0.0,-0.5835937500000001,0.1282083333333334,0.0,0.0,0.0,0.0,0.0,0.0,-0.8529166666666667,0.2823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,-0.5922395833333334,0.0325833333333334,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-13,Jose_Siri,642350,hitter,LAA,CLE,2026,831879,9,108,114,1,676282.0,Joey_Cantillo,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0303030303030303,0.0,0.0,0.0,0.0,10.0,9.0,6.0,1.5306122448979593,1.038888888888889,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,-0.05623005565862693,-0.3419924242424242,-0.5,-0.4875555555555555,-0.5,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.05,0.9425,0.0,0.1617271874999999,-0.7787114197530864,0.1317307692307691,0.0,0.0,0.0,0.0,0.0,0.0,-0.8271759259259259,0.4376442307692307,0.0,0.0,0.0,0.0,0.0,0.0,-0.7475694444444446,0.7165865384615384,0.0,0.0,0.0,0.0,0.0,0.0,-0.8767438271604938,0.91,0.0,0.0,0.0,0.0,0.0,0.0,-0.7641280864197533,0.6221153846153846,0.0,0.0,0.0,0.0,0.0,0.0
