Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,José_Tena,677588,hitter,WSH,MIA,2026,831475,0,120,146,1,663978.0,Chris_Paddack,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,0.06060606060606061,0.345,0.345,0.0,0.0,41.4,4.1,8.2,4.0,1.08,-6.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.3311757575757575,-0.3819181818181818,-0.36713636363636365,-0.4744,-0.4182272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,José_Tena,677588,hitter,WSH,NYM,2026,831479,1,120,121,1,663795.0,Justin_Hagenman,1.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0,0.0,5.0,0.08333333333333333,1.16,1.16,3.0,30.0,65.0,4.1,8.2,3.1473684210526316,1.08,0.0,84.0,0,4.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.294538596491228,3.6096500000000002,0.06711842105263155,0.3506,-0.18963157894736843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.0,1.0,0.0,0.016666666666666666,-0.2809722222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4091666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13125000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7184722222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13097222222222235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,José_Tena,677588,hitter,WSH,NYY,2026,831568,2,120,147,1,701542.0,Will_Warren,1.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,8.0,0.08823529411764706,0.7566666666666667,0.7566666666666667,0.0,0.0,65.0,0.0,7.363636363636364,1.6875,1.08,0.0,75.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.13392687314103024,0.6331592152370771,0.128369908088235,-0.024470398585858644,0.6219513614379084,0.5,2.0,1.5,0.5,1.0,1.0,4.0,3.0,1.0,2.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.05,0.9425,0.0,0.04506052083333333,0.612638888888889,-0.6977272727272729,0.0,0.0,0.0,0.0,-0.001638576967592593,-0.0001638576967592593,0.7391666666666667,-0.7581818181818183,0.0,0.0,0.0,0.0,-0.002148287121212122,-0.0003437259393939395,0.5125000000000001,-1.0,0.0,0.0,0.0,0.0,-0.0019645833333333334,-9.822916666666667e-05,0.9688888888888889,-0.7581818181818183,0.0,0.0,0.0,0.0,-0.0028159434343434345,-7.039858585858586e-05,0.8188888888888888,-1.0,0.0,0.0,0.0,0.0,-0.0031390740740740736,-0.00018834444444444442
2026-03-08,José_Tena,677588,hitter,WSH,HOU,2026,831572,3,120,117,1,686613.0,Hunter_Brown,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,6.0,0.06896551724137931,0.0,0.0,0.0,0.0,10.0,4.1,8.2,3.13125,1.08,-15.0,82.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.2676959770114944,-0.35470632183908046,-0.6064576149425288,-0.24106666666666665,-0.10200071839080449,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,0.9249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8124999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,José_Tena,677588,hitter,WSH,MIA,2026,831471,4,120,146,0,691587.0,Eury_Pérez,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,7.0,0.047619047619047616,0.345,0.345,0.0,0.0,41.4,4.1,8.2,1.9408163265306122,1.05,-13.0,83.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.0743673469387755,-0.6355,0.1335408163265306,-0.309,-0.19645918367346937,0.5,1.25,1.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.0,1.0,0.0,0.06666666666666667,0.5254166666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6737500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5535416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6941666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,José_Tena,677588,hitter,WSH,STL,2026,831465,5,120,138,1,669160.0,Dustin_May,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.08823529411764706,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,0.0,3.0,2.5408163265306127,1.08,11.0,83.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.21561741230305476,0.24610058122091505,0.07005309420643269,-0.33445556014699074,-0.20145693377259788,0.4,1.0,0.8,0.2,0.4,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.05,0.9425,0.0,0.09506052083333333,0.32913888888888876,-0.384,0.0,0.0,0.0,0.0,-0.0012112311111111107,-0.00012112311111111107,0.5421666666666666,-0.48399999999999993,0.0,0.0,0.0,0.0,-0.002514749722222221,-0.0004023599555555554,0.31249999999999994,-0.5399999999999998,0.0,0.0,0.0,0.0,-0.0016171874999999988,-8.085937499999994e-05,0.4791388888888889,-0.48399999999999993,0.0,0.0,0.0,0.0,-0.002222405879629629,-5.556014699074072e-05,0.6778888888888888,-0.6733333333333333,0.0,0.0,0.0,0.0,-0.0043742663580246905,-0.0002624559814814814
2026-03-13,José_Tena,677588,hitter,WSH,NYM,2026,831464,6,120,121,1,605218.0,Carl_Edwards_Jr,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,6.0,0.11764705882352941,0.1725,0.1725,0.0,0.0,20.7,6.75,16.875,1.9714285714285715,1.08,0.0,77.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.20955168067226881,-0.5132544117647058,0.010431722689075662,-0.33440000000000003,-0.23232563025210085,0.6,1.2,0.8,0.2,0.4,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.0,1.0,0.0,0.1,0.5000462962962964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6547222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4395833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4187962962962964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6625462962962962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14,José_Tena,677588,hitter,WSH,MIA,2026,831459,7,120,146,1,806188.0,Cade_Gibson,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,0.08333333333333333,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,7.5,10.5,2.892857142857143,1.08,0.0,80.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.16638571428571414,-0.1308499999999999,0.015559523809523745,-0.4744,-0.46135714285714285,0.4,0.4,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.0,1.0,0.0,0.11666666666666667,0.42506996658312446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6017794486215539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4147556390977443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35204365079365085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6279365079365078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-16,José_Tena,677588,hitter,WSH,NYM,2026,831457,8,120,121,0,656849.0,David_Peterson,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,0.06521739130434782,0.0,0.0,0.0,0.0,10.0,1.125,9.375,2.824675324675325,1.08,0.0,84.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.01842900017898763,-0.14572118976157028,-0.2442549565624032,-0.4744203308670166,-0.5,0.4,0.4,0.4,0.0,0.0,1.0,1.0,1.0,0.0,0.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.1,0.7764064018253338,0.0,0.158822354910973,0.18588383838383843,-0.6715000000000001,0.0,0.0,0.0,0.0,-0.007442446920834592,-0.0007442446920834593,0.4418276515151515,-0.3768846153846154,0.0,0.0,0.0,0.0,-0.00992863166198882,-0.0015885810659182111,0.2994318181818182,-0.4622435897435897,0.0,0.0,0.0,0.0,-0.008252716792954272,-0.0004126358396477136,0.3226736111111112,-0.042269230769230684,0.0,0.0,0.0,0.0,-0.0008132346806670402,-2.0330867016676007e-05,0.6461111111111111,-0.4901923076923076,0.0,0.0,0.0,0.0,-0.01888433946074135,-0.001133060367644481
2026-03-17,José_Tena,677588,hitter,WSH,STL,2026,831454,9,120,138,1,669160.0,Dustin_May,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,0.06896551724137931,0.89,0.89,0.0,0.0,65.0,1.2272727272727273,5.181818181818182,2.745211930926217,1.08,0.0,64.0,0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.002569189776083447,0.1199341437750141,0.1110896666225486,-0.4764792749044645,-0.31175083720764996,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.1,0.7471478499276576,1.0,0.19459743883838618,0.18367669753086424,-0.46900000000000003,0.06172839506172839,0.0,0.0,0.0,0.047389779517828405,0.004738977951782841,0.42043981481481485,-0.5539999999999999,0.016460905349794237,0.0,0.0,0.0,-0.0032887565785751534,-0.0005262010525720245,0.24982638888888892,-0.4899999999999999,-0.1111111111111111,0.0,0.0,0.0,-0.10634963295800402,-0.005317481647900201,0.2682253086419754,-0.5539999999999999,-0.08230452674897118,0.0,0.0,0.0,-0.0831709961785822,-0.002079274904464555,0.5107600308641976,-0.6566666666666666,-0.04938271604938271,0.0,0.0,0.0,-0.0685813671637141,-0.004114882029822846
