Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-03,Juan_Morillo,pitcher,AZ,MEX,2026,831800,0,109,867,1,1.0,4.0,36.0,1.0,8.0,18.0,0.0,5.0,0.0,1.2000000000000002,1.2000000000000002,78.0,16.666666666666664,0.315,0.225,1.0611111111111111,0.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,4.0,36.0,2.5,4.0,36.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.4644444444444444,-0.36850000000000005,-3.316499999999998,1.0,4.0,36.0,1.0,4.0,36.0
2026-03-06,Juan_Morillo,pitcher,AZ,CWS,2026,831919,1,109,145,1,0.0,0.0,0.0,1.0,3.0,11.0,0.0,0.0,0.0,3.2,3.2,73.0,0.0,0.3288489469862019,0.19424079950395737,1.0611111111111111,0.0,67.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,4.0,36.0,2.5,4.0,36.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.7105180484127858,-0.30617973856209124,-2.75561764705882,1.0,4.0,36.0,1.0,4.0,36.0
2026-03-09,Juan_Morillo,pitcher,AZ,SEA,2026,831748,2,109,136,1,2.0,0.0,0.0,1.0,5.0,26.0,1.0,1.0,0.0,2.2,2.2,65.0,23.076923076923077,0.2948184458968773,0.3066327651693505,1.0611111111111111,0.0,78.0,0,3.0,1.0,6.123233995736766e-17,0.0,1.0,2.5,2.0,18.0,2.5,2.0,18.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.3113823230896406,-0.5393169934640523,-4.85385294117647,0.5,2.0,18.0,0.0,0.0,0.0
2026-03-12,Juan_Morillo,pitcher,AZ,COL,2026,831869,3,109,115,1,1.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,80.0,30.0,0.3192970225127088,0.22382192970428264,1.0611111111111111,0.0,87.0,0,3.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,1.5,12.0,2.5,1.5,12.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.3338690068101835,-0.40916339869281027,-2.182470588235292,1.0,1.3333333333333333,12.0,2.0,0.0,0.0
2026-03-14,Juan_Morillo,pitcher,AZ,SF,2026,831953,4,109,137,0,0.0,0.0,0.0,1.0,3.0,10.0,0.0,1.0,0.0,3.2,3.2,50.0,0.0,0.2748655354862251,0.18790662074244166,1.038888888888889,4.0,87.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,1.0,9.0,2.5,1.0,9.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.7523025896160225,-0.365105090311987,-3.285945812807883,1.0,1.0,9.0,1.0,0.0,0.0
2026-03-18,Juan_Morillo,pitcher,AZ,CHC,2026,831932,5,109,112,1,3.0,0.0,0.0,1.3333333333333333,4.0,26.0,0.0,0.0,0.0,-1.2999999999999998,-1.2999999999999998,69.0,34.61538461538461,0.33194912065703475,0.3192436622669181,1.0611111111111111,0.0,95.0,0,4.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,2.5,1.0,7.2,2.5,1.0,7.2,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.9944951463090999,-0.23622895704334357,-2.0445454600425688,0.8,0.8,7.2,0.0,0.0,0.0
2026-03-22,Juan_Morillo,pitcher,AZ,SD,2026,831947,6,109,135,0,0.0,1.0,9.0,1.0,4.0,11.0,0.0,1.0,1.0,16.2,16.2,55.00000000000001,0.0,0.3717123456790124,0.23118439294909884,1.0722222222222222,0.0,94.0,0,4.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-0.9954137452960983,-0.12529444444444415,1.8723500000000026,1.2,0.0,0.0,3.0,0.0,0.0
2026-03-24,Juan_Morillo,pitcher,AZ,CLE,2026,831887,7,109,114,1,0.0,1.0,13.5,0.6666666666666666,3.0,13.0,0.0,1.0,0.0,3.2,3.2,62.0,0.0,0.34566794300566234,0.20119047619047617,1.08,0.0,74.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.6584761904761907,0.06710574352548071,5.85592753759399,1.2,0.2,1.8,0.0,1.0,9.0
2026-03-26,Juan_Morillo,pitcher,AZ,LAD,2026,823974,8,109,119,0,1.0,0.0,0.0,1.0,5.0,17.0,1.0,1.0,0.0,4.2,4.2,59.0,17.647058823529413,0.2801543209876543,0.2699382016308919,1.08,7.0,76.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,2.5,0.5,4.5,2.5,0.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.396494386952865,-0.08370555555555559,-0.7533500000000002,0.8,0.4,4.5,0.0,1.0,13.5
2026-03-28,Juan_Morillo,pitcher,AZ,LAD,2026,823973,9,109,119,0,0.0,2.0,27.0,0.6666666666666666,4.0,22.0,1.0,1.0,1.0,27.2,27.2,55.00000000000001,0.0,0.28393209876543213,0.19054505005561737,1.08,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,4.5,2.5,0.5,4.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-04-26T14:41:56.895697+00:00,-1.8916395995550612,-0.22670555555555533,-0.8105249999999966,0.8,0.4,4.5,1.0,0.0,0.0
