Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Was_Starter,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-03,Kevin_Gausman,592332,pitcher,TOR,CAN,2026,831437,0,141,784,1,1.0,2.0,0.0,0.0,2.0,8.0,37.0,1.0,1.0,0.0,2.7,2.7,65.0,16.216216216216218,0.315,0.225,1.08,-7.0,79.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.6120000000000001,-0.3748999999999999,-0.9370499999999995,2.0,0.0,0.0,2.0,0.0,0.0
2026-03-08,Kevin_Gausman,592332,pitcher,TOR,DET,2026,831627,1,141,116,1,1.0,3.0,0.0,0.0,3.333333333333333,14.0,52.0,0.0,3.0,0.0,1.4000000000000004,1.4000000000000004,65.0,17.307692307692307,0.30536419753086425,0.203852247969895,1.08,5.0,79.0,0,5.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.78118201624084,-0.4182611111111108,-1.279304999999999,2.0,0.0,0.0,2.0,0.0,0.0
2026-03-21,Kevin_Gausman,592332,pitcher,TOR,PIT,2026,831553,2,141,134,0,1.0,2.0,3.0,5.4,5.0,24.0,78.0,3.0,6.0,1.0,6.800000000000001,6.800000000000001,63.0,7.6923076923076925,0.21614957264957266,0.31834473769957644,1.08,2.0,76.0,0,13.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.5,0.5,1.5,2.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.6347579015966112,-0.5,-1.5,2.5,0.0,0.0,3.0,0.0,0.0
2026-03-27,Kevin_Gausman,592332,pitcher,TOR,ATH,2026,822839,3,141,133,1,1.0,11.0,1.0,1.5,6.0,19.0,83.0,0.0,1.0,1.0,1.7000000000000002,1.7000000000000002,72.0,39.75903614457831,0.40803177609427616,0.21288250148544266,1.08,0.0,68.0,0,6.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,2.5,0.5,1.8,2.5,0.5,1.8,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.46893998811645865,1.2437429924242427,0.8156144886363641,2.3333333333333335,1.0,1.8,2.0,3.0,5.4
2026-04-01,Kevin_Gausman,592332,pitcher,TOR,COL,2026,822835,4,141,115,1,1.0,10.0,0.0,0.0,6.0,21.0,89.0,0.0,2.0,0.0,-0.1333333333333333,-0.1333333333333333,75.0,33.70786516853933,0.28178972416472425,0.22773237058951348,1.08,0.0,68.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,4.5,0.5,1.7,4.5,0.5,1.7,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,0.46985896471610733,0.35565375874125926,-0.4165193618881111,4.5,1.0,1.725,11.0,1.0,1.5
2026-04-07,Kevin_Gausman,592332,pitcher,TOR,LAD,2026,822831,5,141,119,1,1.0,5.0,2.0,3.375,5.333333333333333,24.0,84.0,2.0,5.0,0.0,2.45,2.45,63.0,17.857142857142858,0.41591186868686875,0.19066942719116634,1.08,0.0,68.0,0,6.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,5.5,0.5,1.5,5.5,0.5,1.5,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.17464458247066883,0.6552034090909096,0.4494057528409099,5.6,0.8,1.3800000000000001,10.0,0.0,0.0
2026-04-14,Kevin_Gausman,592332,pitcher,TOR,MIL,2026,823802,6,141,158,0,1.0,5.0,3.0,5.4,5.0,24.0,97.0,3.0,6.0,1.0,5.6,5.6,64.0,15.463917525773196,0.24744696969696967,0.1734892787524366,1.0733333333333333,0.0,76.0,0,7.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,6.5,1.5,2.1,6.5,1.5,2.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.577419103313841,-0.4996886363636366,-0.299439545454546,6.2,1.2,2.055,5.0,2.0,3.375
2026-04-19,Kevin_Gausman,592332,pitcher,TOR,AZ,2026,825100,7,141,109,0,1.0,4.0,2.0,3.0,6.0,25.0,86.0,1.0,7.0,0.0,2.3666666666666667,2.3666666666666667,63.0,13.953488372093023,0.3162376543209877,0.14448763955342905,1.08,0.0,78.0,0,5.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,6.5,1.5,3.1,6.5,1.5,3.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.5240988835725675,0.40666944444444497,-0.23999583333333252,6.6,1.8,3.1350000000000002,5.0,3.0,5.4
2026-04-25,Kevin_Gausman,592332,pitcher,TOR,CLE,2026,822826,8,141,114,1,1.0,3.0,2.0,2.7,6.666666666666667,25.0,91.0,0.0,6.0,1.0,4.25,4.25,69.0,9.89010989010989,0.31108030303030304,0.2145438121047877,1.08,0.0,68.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,6.5,1.5,2.7,6.5,1.5,2.7,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-0.8156495031616986,0.07946136363636369,-0.5677271590909094,7.0,1.6,2.6550000000000002,4.0,2.0,3.0
2026-04-30,Kevin_Gausman,592332,pitcher,TOR,MIN,2026,823714,9,141,142,0,1.0,2.0,4.0,6.352941176470588,5.666666666666667,23.0,94.0,2.0,4.0,2.0,8.141176470588235,8.141176470588235,62.0,6.382978723404255,0.3299796296296296,0.19942669942669944,1.08,0.0,50.0,0,5.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,5.5,1.5,2.9,5.5,1.5,2.9,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-08-28T01:24:59.045926+00:00,-1.2285864045864052,0.3085083333333336,-0.027663235294117516,5.4,1.8,2.8950000000000005,3.0,2.0,2.7
