Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Konnor_Griffin,804606,hitter,PIT,STL,2026,831477,0,134,138,0,681517.0,Kyle_Leahy,1.0,4.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,2.0,0.073170731707317,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,4.1,8.2,4.0,1.05,0.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,3.5,0.5,0.5,1.5,0.5,3.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.4928943089430893,1.0171524390243905,0.6539451219512196,0.6409999999999998,0.3830487804878049,1.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Konnor_Griffin,804606,hitter,PIT,COL,2026,831430,1,134,792,1,527054.0,,1.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,0.075,0.4233333333333333,0.4233333333333333,0.3333333333333333,28.33333333333333,65.0,4.1,8.2,4.0,1.08,-6.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,3.5,0.5,0.5,1.5,0.5,3.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.5379833333333333,0.10905000000000031,0.5040833333333334,0.4797666666666667,0.30220000000000025,1.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,batter_pitcher_profile_network_v2,0.0333333333333333,0.0,1.0,0.0,0.0166666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Konnor_Griffin,804606,hitter,PIT,TOR,2026,831525,2,134,141,0,621244.0,,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0769230769230769,0.24,0.24,0.0,0.0,28.8,4.1,8.2,7.5,1.08,0.0,84.0,0,3.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,2.5,0.5,0.5,1.5,0.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.6901435897435899,-0.27135,0.12067307692307694,-0.12440000000000001,-0.07553846153846155,1.0,3.0,0.5,0.5,1.5,1.0,2.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.0666666666666666,0.0,1.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,Konnor_Griffin,804606,hitter,PIT,DET,2026,831518,3,134,116,0,663554.0,Casey_Mize,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,2.0,0.1025641025641025,0.2225,0.2225,0.0,0.0,26.7,3.0,6.0,8.651785714285715,1.0611111111111111,9.0,83.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.503507326007326,-0.16029166666666672,0.09427838827838819,-0.24711111111111111,0.5069546703296703,0.6666666666666666,2.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,0.965925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9744444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.965925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.928425925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Konnor_Griffin,804606,hitter,PIT,NYY,2026,831517,4,134,147,0,608331.0,Max_Fried,1.0,2.0,0.0,0.0,2.0,4.0,4.0,0.0,2.0,2.0,0.1052631578947368,0.3175,0.3175,0.25,21.25,49.35,4.1,8.2,2.7,1.08,9.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.3604701754385964,0.17947236842105285,-0.20099342105263163,-0.18377500000000002,0.07103947368421049,0.75,1.75,0.25,0.25,0.75,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1333333333333333,0.0,1.0,0.0,0.0666666666666666,0.7098824786324786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7976762820512819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8748263888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,Konnor_Griffin,804606,hitter,PIT,BAL,2026,831507,5,134,110,0,680694.0,Kyle_Bradish,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,9.0,0.0833333333333333,0.24,0.24,0.0,0.0,28.8,4.1,8.2,3.097402597402598,1.08,6.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.37346277056277055,-0.008349999999999858,-0.35337987012987016,-0.33440000000000003,0.5318701298701298,0.8,1.8,0.2,0.2,1.0,1.0,2.0,0.0,0.0,2.0,batter_pitcher_profile_network_v2,0.1666666666666666,0.0,1.0,0.0,0.0833333333333333,0.3483553921568623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5452647058823527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5311397058823526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8996666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7994583333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-13,Konnor_Griffin,804606,hitter,PIT,DET,2026,831512,6,134,116,0,663554.0,Casey_Mize,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,3.0,0.0909090909090909,0.2225,0.2225,0.0,0.0,26.7,4.2,4.35,5.329591836734695,1.0611111111111111,-7.0,76.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.36179244049849835,0.2013396492180205,-0.31164148931731883,-0.4831992642391492,0.048675332978773245,0.6,1.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,1.0,0.1304771875,0.344490740740741,0.5263333333333333,0.037037037037037,0.0,0.0,0.0,0.0380573672608024,0.0038057367260802,0.5076157407407409,0.1222083333333333,-0.037037037037037,0.0,0.0,0.0,-0.0352588211752507,-0.0056414113880401,0.4145833333333336,0.0296805555555555,-0.037037037037037,0.0,0.0,0.0,-0.035830713990162,-0.0017915356995081,0.7671469907407407,-0.258,-0.1111111111111111,0.0,0.0,0.0,-0.1101927917881944,-0.0027548197947048,0.6042129629629631,0.0279444444444444,-0.1111111111111111,0.0,0.0,0.0,-0.1077224961175411,-0.0064633497670524
2026-03-15,Konnor_Griffin,804606,hitter,PIT,TB,2026,831511,7,134,139,0,663556.0,Shane_McClanahan,1.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,9.0,0.0909090909090909,0.7000000000000001,0.7000000000000001,1.0,30.0,65.0,0.0,4.5,7.3829670329670325,1.0611111111111111,6.0,82.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.6006351686303613,1.637792866397413,-0.004639115937541405,-0.15554455988563365,0.16486837343188454,0.6,0.8,0.0,0.0,0.4,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2333333333333333,0.05,0.9425,0.0,0.1283938541666666,0.045421626984127,0.2208214285714284,0.0,0.0,0.0,0.0,0.0001345700864955,1.3457008649553584e-05,0.2113789682539683,-0.1392678571428572,0.0,0.0,0.0,0.0,-0.0003949638040467,-6.319420864748683e-05,0.1828125000000003,-0.6761607142857142,0.0,0.0,0.0,0.0,-0.0016584426269531,-8.292213134765637e-05,0.5155109126984126,-0.5790000000000001,0.0,0.0,0.0,0.0,-0.0040046176475694,-0.0001001154411892,0.3992906746031748,-0.5882142857142857,0.0,0.0,0.0,0.0,-0.0031511520926339,-0.000189069125558
2026-03-16,Konnor_Griffin,804606,hitter,PIT,MIN,2026,831506,8,134,142,0,657746.0,Joe_Ryan,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0285714285714285,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.733766233766234,1.08,0.0,83.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.7776619180152462,-0.02056413742738905,-0.29262479835877064,-0.23451987280555547,0.04501457687884991,0.8,1.6,0.2,0.2,0.6,1.0,4.0,1.0,1.0,1.0,batter_pitcher_profile_network_v2,0.2666666666666666,0.05,0.9425,0.0,0.1450605208333333,0.2413498263888887,-0.2397692307692307,0.0,0.0,0.0,0.0,-0.0008873133540331,-8.87313354033119e-05,0.473700810185185,-0.3563557692307691,0.0,0.0,0.0,0.0,-0.0025883589211812,-0.000414137427389,0.3684534143518517,-0.2234134615384614,0.0,0.0,0.0,0.0,-0.0012622009416455,-6.311004708227605e-05,0.814353298611111,-0.3839999999999999,0.0,0.0,0.0,0.0,-0.0047949122222222,-0.0001198728055555,0.7120095486111112,-0.4178846153846154,0.0,0.0,0.0,0.0,-0.0045622468243634,-0.0002737348094618
2026-03-18,Konnor_Griffin,804606,hitter,PIT,DET,2026,831558,9,134,116,1,663554.0,Casey_Mize,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,9.0,0.1052631578947368,0.345,0.345,0.0,0.0,41.4,8.799999999999999,4.8999999999999995,1.4142857142857144,1.08,-10.0,70.0,0,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-26T14:02:39.082451+00:00,0.1819753971417839,-0.4740061524183061,-0.3559472439233956,-0.338265482911392,-0.09607320224128174,0.6,1.4,0.2,0.2,0.6,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.1,0.7801379395276749,2.0,0.2129433102407859,-0.0866407627865961,0.9862041467304624,0.0666666666666666,0.0,0.0,0.0,0.0593379313175891,0.0059337931317589,0.2160152116402116,0.7437171052631579,-0.074074074074074,0.0,0.0,0.0,-0.0553345052459928,-0.0088535208393588,0.0549851190476189,0.8975189393939393,-0.0888888888888888,0.0,0.0,0.0,-0.0758621717009941,-0.0037931085850497,0.7052739197530864,0.502902711323764,-0.2,0.0,0.0,0.0,-0.1546193164556819,-0.003865482911392,0.4785378086419753,0.8468939393939394,-0.2,0.0,0.0,0.0,-0.1512826939962988,-0.0090769616397779
