Date,Player,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,K,ER,ERA,IP,BF,Pitches,BB_allowed,H_allowed,HR_allowed,FIP,xFIP,CSW%,Whiff%,Opp_Lineup_wOBA_3,Opp_Lineup_K_rate_3,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_K,Market_ER,Market_ERA,Synthetic_Market_K,Synthetic_Market_ER,Synthetic_Market_ERA,Market_Source_K,Market_Source_ER,Market_Source_ERA,Market_K_books,Market_ER_books,Market_ERA_books,Market_K_over_price,Market_ER_over_price,Market_ERA_over_price,Market_K_under_price,Market_ER_under_price,Market_ERA_under_price,Market_K_line_std,Market_ER_line_std,Market_ERA_line_std,Market_Fetched_At_UTC,K_market_gap,ER_market_gap,ERA_market_gap,K_rolling_avg,ER_rolling_avg,ERA_rolling_avg,K_lag1,ER_lag1,ERA_lag1
2026-03-10,Lance_McCullers_Jr,pitcher,HOU,BAL,2026,831617,0,117,110,1,4.0,2.0,6.0,3.0,13.0,52.0,1.0,3.0,1.0,5.866666666666667,5.866666666666667,65.0,23.076923076923077,0.1943604756717502,0.28573975044563277,1.08,0.0,84.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,3.5,1.5,6.0,3.5,1.5,6.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.5939180035650615,-0.15777785947712397,-1.9733335784313715,4.0,2.0,6.0,4.0,2.0,6.0
2026-03-17,Lance_McCullers_Jr,pitcher,HOU,PIT,2026,831560,1,117,134,0,1.0,1.0,2.25,4.0,16.0,58.0,3.0,3.0,0.0,4.95,4.95,53.0,5.172413793103448,0.2882897603485839,0.32236652236652236,1.08,-13.0,56.0,0,7.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,3.5,1.5,6.0,3.5,1.5,6.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.8869321789321791,0.26490392156862774,-2.0289661764705875,4.0,2.0,6.0,4.0,2.0,6.0
2026-03-24,Lance_McCullers_Jr,pitcher,HOU,SUG,2026,831441,2,117,5434,1,7.0,2.0,3.8571428571428568,4.666666666666667,21.0,86.0,2.0,6.0,0.0,1.485714285714286,1.485714285714286,63.0,24.418604651162788,0.15520833333333334,0.2777777777777778,1.08,15.0,78.0,0,7.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.5,1.5,4.1,2.5,1.5,4.1,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.03022222222222215,-0.8539624999999998,-2.854070535714285,2.5,1.5,4.125,1.0,1.0,2.25
2026-03-30,Lance_McCullers_Jr,pitcher,HOU,BOS,2026,824214,3,117,111,1,9.0,1.0,1.2857142857142858,7.0,24.0,96.0,1.0,4.0,0.0,1.0571428571428574,1.0571428571428574,66.0,28.125,0.34134545454545456,0.2261198208286674,1.08,0.0,73.0,0,6.0,1.0,6.123233995736766e-17,0.0,1.0,3.5,1.5,4.0,3.5,1.5,4.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.5369585666293393,0.2636545454545456,-1.7324441558441555,4.0,1.6666666666666667,4.035714285714286,7.0,2.0,3.8571428571428568
2026-04-05,Lance_McCullers_Jr,pitcher,HOU,ATH,2026,825025,4,117,133,0,4.0,3.0,6.75,4.0,18.0,79.0,3.0,5.0,0.0,3.45,3.45,56.99999999999999,15.18987341772152,0.2618758417508417,0.24173669467787115,1.08,4.0,78.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,5.5,1.5,3.3,5.5,1.5,3.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.1581064425770311,-0.373958712121212,-0.7664071022727268,5.25,1.5,3.3482142857142856,9.0,1.0,1.2857142857142858
2026-04-11,Lance_McCullers_Jr,pitcher,HOU,SEA,2026,823155,5,117,136,0,4.0,6.0,12.461538461538462,4.333333333333333,19.0,79.0,2.0,5.0,1.0,5.738461538461539,5.738461538461539,57.99999999999999,15.18987341772152,0.25619444444444445,0.30128310128310126,1.08,0.0,55.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,4.5,1.5,4.0,4.5,1.5,4.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.4382648102648101,0.13647500000000012,-0.601167307692307,5.0,1.8,4.0285714285714285,4.0,3.0,6.75
2026-04-18,Lance_McCullers_Jr,pitcher,HOU,STL,2026,824206,6,117,138,1,4.0,4.0,7.2,5.0,25.0,91.0,3.0,5.0,1.0,6.0,6.0,64.0,13.186813186813188,0.349462037037037,0.20241321460833653,1.08,0.0,73.0,0,7.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,4.5,2.5,5.3,4.5,2.5,5.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.35269428313330753,0.612179166666666,0.301922499999999,5.0,2.6,5.3208791208791215,4.0,6.0,12.461538461538462
2026-04-24,Lance_McCullers_Jr,pitcher,HOU,NYY,2026,824204,7,117,147,1,3.0,5.0,9.0,5.0,23.0,92.0,4.0,6.0,2.0,9.600000000000001,9.600000000000001,55.00000000000001,9.782608695652174,0.30170664983164985,0.3104575163398693,1.08,0.0,73.0,0,6.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,5.5,3.5,6.3,5.5,3.5,6.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.05633986928104484,-0.4907200757575758,-0.8832961363636365,5.6,3.2,6.310879120879121,4.0,4.0,7.2
2026-04-30,Lance_McCullers_Jr,pitcher,HOU,BAL,2026,824850,8,117,110,0,9.0,3.0,4.5,6.0,24.0,99.0,4.0,2.0,0.0,2.2,2.2,57.99999999999999,27.27272727272727,0.23524494949494953,0.23737373737373738,1.08,14.0,65.0,0,6.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,4.5,3.5,7.3,4.5,3.5,7.3,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,-0.35701010101010144,-0.19779772727272782,-2.346696590909092,4.8,3.8,7.339450549450549,3.0,5.0,9.0
2026-05-06,Lance_McCullers_Jr,pitcher,HOU,LAD,2026,824198,9,117,119,1,4.0,6.0,20.25,2.6666666666666665,15.0,70.0,3.0,4.0,1.0,8.45,8.45,56.00000000000001,17.142857142857142,0.35995117845117847,0.1787037037037037,1.08,0.0,73.0,0,6.0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,4.5,4.5,8.0,4.5,4.5,8.0,synthetic,synthetic,synthetic,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,2026-06-27T13:02:04.627707+00:00,0.013629629629630102,-0.6686196969696971,4.9309085227272735,4.8,4.2,7.9823076923076925,9.0,3.0,4.5
