Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,LuJames_Groover,694410,hitter,AZ,CLE,2026,831888,0,109,114,1,682982.0,Daniel_Espino,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,5.0,0.04878048780487805,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.0,1.0611111111111111,0.0,88.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.30162601626016255,-0.5,-0.5,-0.48044444444444445,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,LuJames_Groover,694410,hitter,AZ,MEX,2026,831800,1,109,867,1,592836.0,Taijuan_Walker,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.046511627906976744,0.89,0.89,0.0,0.0,65.0,4.1,8.2,4.0,1.0611111111111111,0.0,81.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.3376279069767441,-0.16112596899224807,-0.07514534883720936,-0.48044444444444445,-0.27130232558139533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.0,1.0,0.0,0.016666666666666666,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,LuJames_Groover,694410,hitter,AZ,ATH,2026,831963,2,109,133,0,605488.0,Jeffrey_Springs,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,3.0,0.1,0.0,0.0,0.0,0.0,10.0,4.1,8.2,4.35,1.0611111111111111,3.0,79.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.7056666666666667,0.3967833333333334,-0.46975000000000006,-0.48044444444444445,-0.4579,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.0,1.0,0.0,0.03333333333333333,0.25069444444444433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016666666666666732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41874999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7618055555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06319444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,LuJames_Groover,694410,hitter,AZ,MIL,2026,831954,3,109,158,0,694477.0,Chad_Patrick,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,4.0,0.07894736842105263,0.0,0.0,0.0,0.0,10.0,4.5,9.0,3.797932330827068,1.0722222222222222,-7.0,70.0,0,2.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.06925302996538663,-0.10775701015990502,-0.5,-0.47695220577256947,-0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.05,0.9425,0.0,0.0617271875,-0.6376157407407407,-0.13699999999999998,0.0,0.0,0.0,0.0,-0.0005022817997685184,-5.022817997685184e-05,-0.6993055555555555,-0.338125,0.0,0.0,0.0,0.0,-0.0013596029730902777,-0.00021753647569444445,-0.34062499999999984,0.11112500000000011,0.0,0.0,0.0,0.0,0.0,0.0,-0.8636574074074074,-0.51,0.0,0.0,0.0,0.0,-0.002532675347222222,-6.331688368055556e-05,-0.4501157407407407,-0.05449999999999988,0.0,0.0,0.0,0.0,-0.00014105502025462928,-8.463301215277757e-06
2026-03-08,LuJames_Groover,694410,hitter,AZ,CIN,2026,831960,4,109,113,0,663903.0,Brady_Singer,2.0,4.0,0.0,0.0,2.0,4.0,4.0,0.0,1.0,7.0,0.10810810810810811,0.635,0.635,0.5,30.0,65.0,22.5,4.5,9.149025974025975,1.08,-10.0,85.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.5116132912132914,0.7104540540540543,0.08966751491751501,-0.27441735421874996,0.312086433836434,0.5,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.05,0.9425,0.0,0.07839385416666667,-0.687310606060606,0.8972500000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.7880681818181818,0.401,0.0,0.0,0.0,0.0,0.0,0.0,-0.5068181818181818,0.6600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.9145833333333333,-0.09900000000000003,0.0,0.0,0.0,0.0,-0.0006941687500000001,-1.7354218750000004e-05,-0.7708333333333333,0.56,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,LuJames_Groover,694410,hitter,AZ,LAD,2026,831956,5,109,119,0,607192.0,Tyler_Glasnow,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,9.0,0.08571428571428572,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,10.125,13.5,6.074436090225563,1.0611111111111111,-7.0,73.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.3246441102756894,-0.08140738888888865,-0.29836152882205513,-0.48049440755208334,0.4285218045112782,0.8,1.2,0.0,0.0,0.6,2.0,4.0,0.0,0.0,2.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.05,0.9425,0.0,0.09506052083333333,-0.26666666666666655,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-0.2958333333333332,-0.2,0.0,0.0,0.0,0.0,-0.0005670138888888886,-9.072222222222218e-05,-0.1354166666666666,0.08974358974358973,0.0,0.0,0.0,0.0,0.0,0.0,-0.2979166666666666,-0.7,0.0,0.0,0.0,0.0,-0.001998524305555555,-4.996310763888888e-05,-0.22041666666666665,0.09487179487179488,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-12,LuJames_Groover,694410,hitter,AZ,COL,2026,831869,6,109,115,1,807743.0,Sean_Sullivan,2.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,8.0,0.08333333333333333,0.7200000000000001,0.7200000000000001,0.3333333333333333,28.333333333333332,65.0,4.2,6.9,7.918197901170038,1.0611111111111111,0.0,87.0,0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.7862279160468015,0.2104626318090277,0.03354907467710011,-0.32633034715277776,0.32481494494513385,1.0,1.4,0.0,0.0,0.6,1.0,1.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,-0.5160763888888887,0.19300000000000006,0.0,0.0,0.0,0.0,0.0,0.0,-0.49743055555555543,-0.1318749999999999,0.0,0.0,0.0,0.0,-0.0007543845269097215,-0.00012070152430555544,-0.35572916666666654,-0.5417916666666666,0.0,0.0,0.0,0.0,-0.002216407628038193,-0.00011082038140190966,-0.3975,-0.45999999999999996,0.0,0.0,0.0,0.0,-0.002102775,-5.2569375e-05,-0.28899305555555554,-0.4761666666666665,0.0,0.0,0.0,0.0,-0.0015825018894675919,-9.495011336805551e-05
2026-03-16,LuJames_Groover,694410,hitter,AZ,CIN,2026,831903,7,109,113,1,671096.0,Andrew_Abbott,2.0,5.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,5.0,0.09302325581395349,0.92,0.92,1.0,30.0,65.0,10.636363636363637,11.965909090909092,4.432247899159663,1.0611111111111111,-4.0,89.0,0,4.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.5570719808007771,1.5151647286821701,0.011571697283564553,-0.15544444444444444,0.2222044364919571,1.0,1.6,0.0,0.0,0.6,2.0,3.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.15,0.8374759526419164,0.0,0.15377804603687145,-0.20440476190476178,0.4925909090909091,0.0,0.0,0.0,0.0,0.0,0.0,-0.16138888888888878,0.5900909090909091,0.0,0.0,0.0,0.0,0.0,0.0,-0.0449404761904762,0.8031818181818182,0.0,0.0,0.0,0.0,0.0,0.0,-0.06630952380952382,0.5900909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09767857142857138,0.885,0.0,0.0,0.0,0.0,0.003278211612742143,0.00019669269676452858
2026-06-05,LuJames_Groover,694410,hitter,AZ,WSH,2026,825073,8,109,120,1,656492.0,Foster_Griffin,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,0.11428571428571428,0.0,0.0,0.0,0.0,10.0,4.800000000000002,9.0,5.2982731554160125,1.08,0.0,75.0,0,81.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,1.5,2.5,0.5,0.5,1.5,1.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.01304239047421385,-0.16645173649470335,0.11165987582850656,-0.23410040186288195,-0.09762831024974927,1.4,2.6,0.4,0.2,1.2,2.0,5.0,2.0,1.0,3.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.75,0.521092333564461,0.0,0.3479579751870985,0.023749999999999667,-0.1318241940206336,0.0,0.0,0.0,0.0,-0.00039983357520838775,-3.998335752083878e-05,0.24993055555555535,0.01924121062116424,0.0,0.0,0.0,0.0,0.0006141469081006908,9.826350529611053e-05,0.1734374999999998,-0.00341492655091713,0.0,0.0,0.0,0.0,-7.563884588161742e-05,-3.781942294080871e-06,0.5036979166666666,0.18629809916605589,0.0,0.0,0.0,0.0,0.011983925484721806,0.00029959813711804515,0.5544791666666666,0.013658731859815577,0.0,0.0,0.0,0.0,0.0009671996574981796,5.8031979449890774e-05
2026-06-06,LuJames_Groover,694410,hitter,AZ,WSH,2026,825075,9,109,120,1,641793.0,Zack_Littell,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,8.0,0.0967741935483871,0.2966666666666667,0.2966666666666667,0.0,0.0,35.6,2.62857142857143,7.3,4.747252747252747,1.08,0.0,75.0,0,1.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1.5,2.5,0.5,0.5,0.5,1.5,2.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.2551482776468157,-0.7492909487146446,-0.08395483530263276,-0.3336492719607821,0.3290851371444067,1.4,2.6,0.4,0.2,1.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.3,0.5,0.640310657002864,0.0,0.2857809722585746,0.10599563644103874,0.5568287772223514,0.0,1.0,0.0,0.0,0.006368812802788456,0.0006368812802788457,0.23991272882077483,0.6956910389056808,0.0,1.0,0.0,0.0,0.018010199565729638,0.002881631930516742,0.22978927203065147,0.669771442687747,0.0,1.0,0.0,0.0,0.016607535941909793,0.0008303767970954897,0.31663580246913586,0.8788885026737967,0.0,1.0,0.0,0.0,0.03002912156871495,0.0007507280392178737,0.4101543209876544,0.7215377470355732,0.0,1.0,0.0,0.0,0.0319341361477672,0.001916048168866032
